dataset,arm,fold,config,inner_mean,exploratory
oral_diseases,vs,2,"g=0.1,t=0.0",0.7369340976483834,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
oral_diseases,vs,2,"g=0.1,t=0.5",0.7405055262198118,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
oral_diseases,vs,2,"g=0.1,t=1.0",0.7425463425463426,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
oral_diseases,vs,2,"g=0.1,t=1.5",0.7461177711177711,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
oral_diseases,vs,2,"g=0.2,t=0.0",0.7442130092130093,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
oral_diseases,vs,2,"g=0.2,t=0.5",0.7442130092130093,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
oral_diseases,vs,2,"g=0.2,t=1.0",0.7509590409590411,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
oral_diseases,vs,2,"g=0.2,t=1.5",0.7526257076257077,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
oral_diseases,vs,2,"g=0.3,t=0.0",0.7509590409590411,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
oral_diseases,vs,2,"g=0.3,t=0.5",0.7505848912991772,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
oral_diseases,vs,2,"g=0.3,t=1.0",0.7491563198706055,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
oral_diseases,vs,2,"g=0.3,t=1.5",0.7581029288172145,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
oral_diseases,vs,2,"g=0.4,t=0.0",0.7534420341563199,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
oral_diseases,vs,2,"g=0.4,t=0.5",0.7536007643150501,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
oral_diseases,vs,2,"g=0.4,t=1.0",0.7561981669124527,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
oral_diseases,vs,2,"g=0.4,t=1.5",0.7503478267763983,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
oral_diseases,vs,3,"g=0.0,t=0.0",0.7486289900575616,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
oral_diseases,vs,3,"g=0.0,t=0.5",0.7475405546834117,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
oral_diseases,vs,3,"g=0.0,t=1.0",0.7456357927786499,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
oral_diseases,vs,3,"g=0.0,t=1.5",0.7454997383568812,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
oral_diseases,vs,3,"g=0.1,t=0.0",0.7475405546834117,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
oral_diseases,vs,3,"g=0.1,t=0.5",0.7484929356357928,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
oral_diseases,vs,3,"g=0.1,t=1.0",0.7464521193092621,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
oral_diseases,vs,3,"g=0.1,t=1.5",0.7446664050235479,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
oral_diseases,vs,3,"g=0.2,t=0.0",0.7425065410779697,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
oral_diseases,vs,3,"g=0.2,t=0.5",0.7425065410779697,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
oral_diseases,vs,3,"g=0.2,t=1.0",0.7385230245944532,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
oral_diseases,vs,3,"g=0.2,t=1.5",0.7461420722135008,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
oral_diseases,vs,3,"g=0.3,t=0.0",0.7452690563404849,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
oral_diseases,vs,3,"g=0.3,t=0.5",0.7500309611023896,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
oral_diseases,vs,3,"g=0.3,t=1.0",0.7521171289028432,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
oral_diseases,vs,3,"g=0.3,t=1.5",0.7481715506715506,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
oral_diseases,vs,3,"g=0.4,t=0.0",0.7513008023722308,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
oral_diseases,vs,3,"g=0.4,t=0.5",0.7521171289028432,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
oral_diseases,vs,3,"g=0.4,t=1.0",0.7494413919413919,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
oral_diseases,vs,3,"g=0.4,t=1.5",0.7494413919413919,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
oral_diseases,vs,4,"g=0.0,t=0.0",0.7181100645386358,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
oral_diseases,vs,4,"g=0.0,t=0.5",0.7193799058084771,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
