dataset,n_train,n_test,draw,bacc,mcc
oral_diseases,407,27,0,0.9142857142857144,0.8804534914227515
oral_diseases,407,27,1,0.6785714285714286,0.6138941775057717
oral_diseases,407,27,2,0.6666666666666667,0.6248641036526132
oral_diseases,407,27,3,0.7714285714285715,0.7439309980306164
oral_diseases,407,27,4,0.7523809523809524,0.7422996227300999
oral_diseases,407,27,5,0.6880952380952381,0.655306210491093
oral_diseases,407,27,6,0.7428571428571429,0.7151557952277331
oral_diseases,407,27,7,0.6476190476190478,0.6101539756067195
oral_diseases,407,27,8,0.7238095238095239,0.7015073601081913
oral_diseases,407,27,9,0.7071428571428572,0.6585639231116845
oral_diseases,407,27,10,0.838095238095238,0.7912662795129467
oral_diseases,407,27,11,0.630952380952381,0.5658723604240704
oral_diseases,407,27,12,0.7476190476190476,0.702269049710877
oral_diseases,407,27,13,0.7357142857142858,0.7019879152143297
oral_diseases,407,27,14,0.7833333333333332,0.7415195459872348
oral_diseases,407,27,15,0.7904761904761904,0.7406894686274329
oral_diseases,407,27,16,0.819047619047619,0.7893124096751856
oral_diseases,407,27,17,0.6952380952380953,0.6581015559745608
oral_diseases,407,27,18,0.6309523809523808,0.5698172082816471
oral_diseases,407,27,19,0.7357142857142858,0.699690076266068
oral_diseases,407,27,20,0.7642857142857142,0.7431139905568971
oral_diseases,407,27,21,0.6880952380952382,0.6547889394430697
oral_diseases,407,27,22,0.8309523809523809,0.785483870967742
oral_diseases,407,27,23,0.8952380952380953,0.8739914474490066
oral_diseases,407,27,24,0.7071428571428572,0.6542819523416777
oral_diseases,407,27,25,0.6309523809523808,0.5688884102587066
oral_diseases,407,27,26,0.838095238095238,0.782258064516129
oral_diseases,407,27,27,0.6214285714285716,0.5293412353704342
oral_diseases,407,27,28,0.7261904761904762,0.662359507308859
oral_diseases,407,27,29,0.6880952380952381,0.658022913414809
oral_diseases,407,27,30,0.7476190476190476,0.7072018160342566
oral_diseases,407,27,31,0.8214285714285714,0.749597100954416
oral_diseases,407,27,32,0.7642857142857143,0.748035329044751
oral_diseases,407,27,33,0.7714285714285714,0.7504567614414197
oral_diseases,407,27,34,0.6309523809523808,0.5663460078313525
oral_diseases,407,27,35,0.819047619047619,0.7866825128735991
oral_diseases,407,27,36,0.7904761904761904,0.7415195459872348
oral_diseases,407,27,37,0.8023809523809523,0.7524789253573557
oral_diseases,407,27,38,0.7428571428571428,0.699690076266068
oral_diseases,407,27,39,0.7904761904761906,0.7427223359845451
oral_diseases,407,27,40,0.7642857142857142,0.748035329044751
oral_diseases,407,27,41,0.7238095238095239,0.6966196459467091
oral_diseases,407,27,42,0.8285714285714285,0.8320281485546175
oral_diseases,407,27,43,0.761904761904762,0.7037046160873355
oral_diseases,407,27,44,0.6809523809523811,0.6580535274975289
oral_diseases,407,27,45,0.6952380952380953,0.6536506197227696
oral_diseases,407,27,46,0.819047619047619,0.7902700205922363
oral_diseases,407,27,47,0.8404761904761904,0.8345383760350802
oral_diseases,407,27,48,0.8095238095238095,0.7459845637787657
oral_diseases,407,27,49,0.8666666666666666,0.8276983356267515
oral_diseases,407,27,50,0.819047619047619,0.7828293508688186
oral_diseases,407,27,51,0.6785714285714286,0.6238082866057733
oral_diseases,407,27,52,0.780952380952381,0.7043627931382013
oral_diseases,407,27,53,0.6595238095238096,0.615864017872523
oral_diseases,407,27,54,0.6500000000000001,0.5682372004903812
oral_diseases,407,27,55,0.7904761904761904,0.7467958330332642
oral_diseases,407,27,56,0.7142857142857144,0.6537850666623757
oral_diseases,407,27,57,0.6880952380952382,0.6530986789690496
oral_diseases,407,27,58,0.819047619047619,0.7867538538034495
oral_diseases,407,27,59,0.7738095238095237,0.7011317711513287
oral_diseases,407,27,60,0.7428571428571428,0.702203842801309
oral_diseases,407,27,61,0.7071428571428572,0.6585529993706903
oral_diseases,407,27,62,0.819047619047619,0.7873542621555522
oral_diseases,407,27,63,0.8690476190476192,0.8740719162142168
oral_diseases,407,27,64,0.7428571428571429,0.7034118804908225
oral_diseases,407,27,65,0.7047619047619049,0.701513929173501
oral_diseases,407,27,66,0.6785714285714286,0.6201865958934575
oral_diseases,407,27,67,0.8476190476190476,0.8325478406239196
oral_diseases,407,27,68,0.6976190476190477,0.6185195337758049
oral_diseases,407,27,69,0.6857142857142858,0.6193548387096774
oral_diseases,407,27,70,0.6142857142857142,0.5316108221220962
oral_diseases,407,27,71,0.6476190476190476,0.6152727120761944
oral_diseases,407,27,72,0.692857142857143,0.6563831318593384
oral_diseases,407,27,73,0.65,0.6609825727426814
oral_diseases,407,27,74,0.6476190476190476,0.6085225478644555
oral_diseases,407,27,75,0.7047619047619048,0.6203562214795167
oral_diseases,407,27,76,0.8857142857142856,0.8309189517186845
oral_diseases,407,27,77,0.7357142857142857,0.6977720365540565
oral_diseases,407,27,78,0.7928571428571428,0.7860148702166304
oral_diseases,407,27,79,0.65,0.5833172882501788
oral_diseases,407,27,80,0.7261904761904762,0.662359507308859
oral_diseases,407,27,81,0.7071428571428572,0.6526664413482415
oral_diseases,407,27,82,0.8380952380952381,0.7932158977771946
oral_diseases,407,27,83,0.7071428571428572,0.6537850666623757
oral_diseases,407,27,84,0.6690476190476191,0.6574819407738837
oral_diseases,407,27,85,0.6595238095238096,0.6094075277985006
oral_diseases,407,27,86,0.8095238095238095,0.7479922005605528
oral_diseases,407,27,87,0.6928571428571428,0.6613130279818831
oral_diseases,407,27,88,0.8023809523809523,0.7548860451594469
oral_diseases,407,27,89,0.7357142857142858,0.6962852381710201
oral_diseases,407,27,90,0.6857142857142857,0.6171251994926442
oral_diseases,407,27,91,0.8142857142857143,0.749597100954416
oral_diseases,407,27,92,0.9142857142857143,0.8709677419354839
oral_diseases,407,27,93,0.6761904761904762,0.6564001266746707
oral_diseases,407,27,94,0.8761904761904763,0.8721728520602827
oral_diseases,407,27,95,0.6380952380952382,0.5716885342000689
oral_diseases,407,27,96,0.5571428571428572,0.5224746600231636
oral_diseases,407,27,97,0.742857142857143,0.7001703510876389
oral_diseases,407,27,98,0.630952380952381,0.5716885342000689
oral_diseases,407,27,99,0.7666666666666667,0.7078071305150944
oral_diseases,407,27,100,0.6047619047619047,0.570147246886626
oral_diseases,407,27,101,0.8595238095238095,0.8284833028847213
oral_diseases,407,27,102,0.7833333333333333,0.7447616514559338
oral_diseases,407,27,103,0.6476190476190478,0.6094075277985006
oral_diseases,407,27,104,0.6690476190476191,0.6541862711944931
oral_diseases,407,27,105,0.6476190476190476,0.6162863304497055
oral_diseases,407,27,106,0.6404761904761906,0.6115575918685362
oral_diseases,407,27,107,0.6380952380952382,0.5751219136633019
oral_diseases,407,27,108,0.6880952380952381,0.6612693586473731
oral_diseases,407,27,109,0.7047619047619048,0.615509688499208
oral_diseases,407,27,110,0.5738095238095238,0.48142227604399995
oral_diseases,407,27,111,0.7714285714285715,0.7471939059568917
oral_diseases,407,27,112,0.7047619047619048,0.6977720365540565
oral_diseases,407,27,113,0.7714285714285714,0.7394860730826516
oral_diseases,407,27,114,0.7833333333333333,0.7427064717812861
oral_diseases,407,27,115,0.8023809523809524,0.7562195230167943
oral_diseases,407,27,116,0.7333333333333334,0.674377583296362
oral_diseases,407,27,117,0.6880952380952381,0.6591297651868508
oral_diseases,407,27,118,0.7333333333333333,0.6618104904959674
oral_diseases,407,27,119,0.8380952380952381,0.80114289708253
oral_diseases,407,27,120,0.7047619047619048,0.6235872434663892
oral_diseases,407,27,121,0.6642857142857144,0.611402320458191
oral_diseases,407,27,122,0.8404761904761904,0.8306585539659121
oral_diseases,407,27,123,0.6380952380952379,0.5640261161539314
oral_diseases,407,27,124,0.7714285714285715,0.7488253336991557
oral_diseases,407,27,125,0.8,0.7876489967659374
oral_diseases,407,27,126,0.8761904761904763,0.8731995906543845
oral_diseases,407,27,127,0.8499999999999999,0.7842200183856576
oral_diseases,407,27,128,0.7142857142857142,0.6650626304984045
oral_diseases,407,27,129,0.7166666666666667,0.6987304306889731
oral_diseases,407,27,130,0.7714285714285715,0.7406894686274329
oral_diseases,407,27,131,0.7904761904761906,0.7500640861318781
oral_diseases,407,27,132,0.6,0.5654077860601957
oral_diseases,407,27,133,0.8857142857142858,0.8328017328392254
oral_diseases,407,27,134,0.7904761904761904,0.7447505679741073
oral_diseases,407,27,135,0.6309523809523808,0.5679830616598001
oral_diseases,407,27,136,0.7999999999999998,0.797995465641234
oral_diseases,407,27,137,0.6595238095238096,0.6100355570069139
oral_diseases,407,27,138,0.7714285714285714,0.7456060376376679
oral_diseases,407,27,139,0.8047619047619048,0.7879795995134906
oral_diseases,407,27,140,0.619047619047619,0.5686760391588096
oral_diseases,407,27,141,0.6785714285714285,0.6162805304618468
oral_diseases,407,27,142,0.7880952380952381,0.7443404674354918
oral_diseases,407,27,143,0.6309523809523808,0.5719442922574234
oral_diseases,407,27,144,0.7714285714285715,0.7427064717812861
oral_diseases,407,27,145,0.7999999999999999,0.7853918105885804
oral_diseases,407,27,146,0.7547619047619047,0.6995162601578926
oral_diseases,407,27,147,0.819047619047619,0.7847937537091598
oral_diseases,407,27,148,0.7071428571428572,0.6552793150163645
oral_diseases,407,27,149,0.8095238095238095,0.7459845637787657
oral_diseases,407,27,150,0.8952380952380953,0.8721728520602827
oral_diseases,407,27,151,0.9142857142857143,0.8707604254621342
oral_diseases,407,27,152,0.7904761904761904,0.7402753475111996
oral_diseases,407,27,153,0.819047619047619,0.7873542621555522
oral_diseases,407,27,154,0.7238095238095237,0.6953080569828637
oral_diseases,407,27,155,0.6642857142857143,0.6245254525145412
oral_diseases,407,27,156,0.7928571428571428,0.7902701321196633
oral_diseases,407,27,157,0.7333333333333334,0.6711039057075447
oral_diseases,407,27,158,0.7238095238095238,0.6998825014312371
oral_diseases,407,27,159,0.7809523809523811,0.7834250283482426
oral_diseases,407,27,160,0.6476190476190476,0.6084174255559672
oral_diseases,407,27,161,0.8952380952380953,0.870554720609336
oral_diseases,407,27,162,0.8476190476190476,0.8284833028847213
oral_diseases,407,27,163,0.7071428571428572,0.6629197117355015
oral_diseases,407,27,164,0.6880952380952381,0.6536801404898744
oral_diseases,407,27,165,0.5547619047619048,0.4803262159799615
oral_diseases,407,27,166,0.7904761904761904,0.7399040349937985
oral_diseases,407,27,167,0.7904761904761904,0.7399040349937985
oral_diseases,407,27,168,0.7952380952380952,0.7443404674354918
oral_diseases,407,27,169,0.5071428571428572,0.443748345895796
oral_diseases,407,27,170,0.6880952380952382,0.6536506197227696
oral_diseases,407,27,171,0.6595238095238096,0.6269092582585113
oral_diseases,407,27,172,0.6761904761904762,0.5853852004386935
oral_diseases,407,27,173,0.65,0.5778040944262519
oral_diseases,407,27,174,0.7904761904761904,0.7471725274337999
oral_diseases,407,27,175,0.6500000000000001,0.5784807984546511
oral_diseases,407,27,176,0.7166666666666667,0.700325375511029
oral_diseases,407,27,177,0.5738095238095238,0.48941509847019554
oral_diseases,407,27,178,0.7904761904761904,0.7439623172364965
oral_diseases,407,27,179,0.6023809523809524,0.5274193548387097
oral_diseases,407,27,180,0.7714285714285715,0.740668194987836
oral_diseases,407,27,181,0.819047619047619,0.786070880272002
oral_diseases,407,27,182,0.8119047619047619,0.7844501155704103
oral_diseases,407,27,183,0.7904761904761904,0.7427223359845451
oral_diseases,407,27,184,0.6619047619047619,0.5824197039882322
oral_diseases,407,27,185,0.6023809523809524,0.5333509603996985
oral_diseases,407,27,186,0.7166666666666667,0.6161290322580645
oral_diseases,407,27,187,0.7142857142857143,0.6607439963154227
oral_diseases,407,27,188,0.780952380952381,0.7879795995134906
oral_diseases,407,27,189,0.719047619047619,0.6580118741220167
oral_diseases,407,27,190,0.7714285714285715,0.7467689909104206
oral_diseases,407,27,191,0.6119047619047618,0.5668023074120342
oral_diseases,407,27,192,0.6595238095238095,0.6127974559900965
oral_diseases,407,27,193,0.819047619047619,0.7847937537091598
oral_diseases,407,27,194,0.7238095238095239,0.6975840305227764
oral_diseases,407,27,195,0.7071428571428572,0.6591284853219865
oral_diseases,407,27,196,0.7333333333333333,0.6618485312070047
oral_diseases,407,27,197,0.7999999999999999,0.7886439505910177
oral_diseases,407,27,198,0.7261904761904762,0.6612693586473731
oral_diseases,407,27,199,0.7999999999999999,0.7879795995134906
oral_diseases,407,54,0,0.7762471655328799,0.7283368277213296
oral_diseases,407,54,1,0.7762471655328798,0.7641778276734151
oral_diseases,407,54,2,0.7571995464852607,0.7190663534337863
