family,dataset,arm,base,n_folds,mean_base,mean_arm,mean_diff,sd,wins,ci_lo,ci_hi,ttest_p_nb,se_nb,mde_floor,mde_post,tost_p,equivalent,holm_p,sig_nb,sig_holm,passes_mde_gate,tost_significant,verdict_code,verdict
aptos_w1_dedup,aptos2019,B1,B0,15,0.6469888242969176,0.6537778903801315,0.006789066083213716,0.01598742578475638,9,-0.012506779819255086,0.02608491198568252,0.4629806934105688,0.008996627035764357,0.019,0.02710541101875282,0.08204739010942007,False,0.9259613868211376,False,False,False,False,undetectable,검출 불가 (검정력 부족)
aptos_w1_dedup,aptos2019,B2,B0,15,0.6469888242969176,0.6517272989848347,0.004738474687916979,0.012779145013070514,11,-0.010685172386812436,0.020162121762646392,0.520635306690231,0.00719122659685237,0.019,0.021666025707390013,0.02606972804941603,True,0.9259613868211376,False,False,False,True,undetectable,검출 불가 (검정력 부족 · TOST 유의)
aptos_w1_dedup,aptos2019,B3,B0,15,0.6469888242969176,0.6717749372357247,0.02478611293880698,0.01584154159811791,14,0.005666340334371366,0.043905885543242595,0.014737318976237538,0.008914533418238165,0.019,0.02685807596349067,0.700113221730826,False,0.05894927590495015,True,False,False,False,undetectable,검출 불가 (검정력 부족)
aptos_w1_dedup,aptos2019,B4,B0,15,0.6469888242969176,0.6627267975809363,0.01573797328401876,0.014489112261412912,11,-0.001749499760351353,0.03322544632838887,0.07409226565366113,0.008153478918384771,0.019,0.024565139405801642,0.3046695546797807,False,0.2222767969609834,False,False,False,False,undetectable,검출 불가 (검정력 부족)
aptos_d2_dedup,aptos2019,B1d,B0d,15,0.6206438764461792,0.6312559543163989,0.01061207787021956,0.010087074197670402,13,-0.001562404247508262,0.02278655998794738,0.0826079922567397,0.0056763137268196215,0.019,0.01710183338991362,0.0601955452110515,False,0.2478239767702191,False,False,False,False,not_detected,개선 검출 안 됨
aptos_d2_dedup,aptos2019,B3d,B0d,15,0.6206438764461792,0.6302836833804903,0.009639806934311167,0.023769803042508968,10,-0.019048892723491584,0.03832850659211392,0.482968325168986,0.013376015348945605,0.019,0.040299813739640436,0.22574891276823378,False,0.6886821759553684,False,False,False,False,undetectable,검출 불가 (검정력 부족)
aptos_d2_dedup,aptos2019,B4d,B0d,15,0.6206438764461792,0.6338416011965311,0.013197724750351724,0.023963522727834554,11,-0.015724782729088033,0.042120232229791485,0.3443410879776842,0.013485027505237937,0.019,0.04062825008479489,0.31090190855423677,False,0.6886821759553684,False,False,False,False,undetectable,검출 불가 (검정력 부족)
