mean_diff,sd,se_nb,wins,ci_lo,ci_hi,p_nb,tost_p,equivalent,mde_post,arm,dataset,base,contrast,what,n_folds,mde_floor,passes_floor,seed,backbone
-0.013379729432360972,0.03184726895634515,0.017921459324683878,5,-0.05181743682000335,0.025057977955281405,0.4676725720420432,0.35867677302474305,False,0.05399451584692105,A3n,oral_diseases,A0,A3n-A0,손실 단독,15,0.032,False,0,panderm
-0.011107284528337195,0.024002813905249193,0.01350713788584296,3,-0.040077214057763405,0.017862645001089014,0.4246755687459504,0.26048998386505073,False,0.04069486515638759,A3n,oral_diseases,A0,A3n-A0,손실 단독,15,0.032,False,1,panderm
-0.011815289973184684,0.026725641627464398,0.015039358634149206,6,-0.04407150616652959,0.02044092622016022,0.44518075331596196,0.2974263185051515,False,0.045311203367275,A3n,oral_diseases,A0,A3n-A0,손실 단독,15,0.032,False,2,panderm
-0.01726214818320084,0.030123372048161894,0.016951368345695893,5,-0.05361921735304064,0.01909492098663896,0.32579562547656327,0.4369988641081189,False,0.05107178551626223,A3n,oral_diseases,A0,A3n-A0,손실 단독,15,0.032,False,3,panderm
-0.024508863456231912,0.02912220103676953,0.01638797794690485,2,-0.05965758039864398,0.010639853486180156,0.15697216357478433,0.6063833163851071,False,0.04937437955928039,A3n,oral_diseases,A0,A3n-A0,손실 단독,15,0.032,False,4,panderm
0.0017169185590238574,0.01387768240652835,0.00780940811943396,5,-0.01503259601605531,0.018466433134103025,0.8291593656911984,0.01727010539167816,True,0.02352850863428716,A4n,oral_diseases,A0,A4n-A0,손실 단독,15,0.032,False,0,panderm
-0.005292460950355678,0.017076968826653653,0.00960974715399553,5,-0.025903318720501292,0.015318396819789935,0.5904934587229622,0.07408811826180595,False,0.02895264473672925,A4n,oral_diseases,A0,A4n-A0,손실 단독,15,0.032,False,1,panderm
-0.0037996116943485037,0.01574726307658996,0.008861479930635493,4,-0.022805595884826294,0.015206372496129286,0.6746086372408704,0.0444530706365301,True,0.02669823421594105,A4n,oral_diseases,A0,A4n-A0,손실 단독,15,0.032,False,2,panderm
-0.004861950914582487,0.017395186036486373,0.00978881798076717,4,-0.02585687741018235,0.016132975581017377,0.6271196914705436,0.07214717491319216,False,0.029492156749600065,A4n,oral_diseases,A0,A4n-A0,손실 단독,15,0.032,False,3,panderm
4.514978199188224e-05,0.01871133505886539,0.01052945640731861,7,-0.0225382881514359,0.022628587715419663,0.9966392234477242,0.03945595304575852,True,0.031723582915001124,A4n,oral_diseases,A0,A4n-A0,손실 단독,15,0.032,False,4,panderm
0.02169240764053868,0.018023957345376325,0.010142647360995845,13,-6.140739956985233e-05,0.04344622268064721,0.05056640820343501,0.5650670818476632,False,0.030558188579471735,B3n,aptos2019,B0,B3n-B0,손실 단독,15,0.019,False,0,panderm
0.021387496502442226,0.016789120478598346,0.009447765840356928,13,0.0011240540974801205,0.04165093890740433,0.040001430755699466,0.5573317032973482,False,0.0284646207177188,B3n,aptos2019,B0,B3n-B0,손실 단독,15,0.019,True,1,panderm
0.021196204111228214,0.01929428385269995,0.010857500017946583,13,-0.0020908173913309347,0.04448322561378736,0.07120634133993442,0.5430820670697288,False,0.03271192630889746,B3n,aptos2019,B0,B3n-B0,손실 단독,15,0.019,False,2,panderm
0.024347572957715977,0.0190334172049383,0.010710702155202513,13,0.0013754015569850953,0.04731974435844686,0.03929437373501644,0.6545273866272536,False,0.0322696476203918,B3n,aptos2019,B0,B3n-B0,손실 단독,15,0.019,True,3,panderm
0.020129772906603036,0.01908894415599311,0.010741948915988078,12,-0.0029094161307012777,0.04316896194390735,0.08196153362388041,0.5047342478720473,False,0.03236378915707332,B3n,aptos2019,B0,B3n-B0,손실 단독,15,0.019,False,4,panderm
-0.004413581010816725,0.01733818600233436,0.009756742269818104,5,-0.025339711948567534,0.016512549926934083,0.6579382380364316,0.0662361289089294,False,0.029395517717489817,B4n,aptos2019,B0,B4n-B0,손실 단독,15,0.019,False,0,panderm
-0.0037981362078442753,0.017727352969976268,0.009975738755534518,6,-0.02519396789286043,0.017597695477171882,0.7091130126361546,0.06332108940968674,False,0.030055319411325568,B4n,aptos2019,B0,B4n-B0,손실 단독,15,0.019,False,1,panderm
-0.00571293167338632,0.015347071464842344,0.008636279531133554,4,-0.02423590904489858,0.012810045698125942,0.519028943581722,0.060151194528958264,False,0.02601974111337922,B4n,aptos2019,B0,B4n-B0,손실 단독,15,0.019,False,2,panderm
-0.005785150189062604,0.017762542243404438,0.009995540865827634,4,-0.027223453176628117,0.015653152798502906,0.5719368788735646,0.08844376923899559,False,0.03011498003039979,B4n,aptos2019,B0,B4n-B0,손실 단독,15,0.019,False,3,panderm
-0.008301560801723803,0.018294830896785564,0.010295076422978132,4,-0.030382303664823744,0.013779182061376136,0.43351873287181925,0.13745133529057063,False,0.031017433178565177,B4n,aptos2019,B0,B4n-B0,손실 단독,15,0.019,False,4,panderm
0.01944156773040697,0.022363194907088286,0.012584472736005516,12,-0.007549441868242204,0.046432577329056146,0.1446737639925822,0.4826162221932047,False,0.03791502133051776,B3nd,aptos2019,B0d,B3nd-B0d,손실 단독,15,0.019,False,0,dinov2
-0.01588381841121982,0.02426404342798342,0.013654139949740665,4,-0.04516903601039027,0.013401399187950632,0.264153640364317,0.3837473860184162,False,0.04113775907059704,B3nd,aptos2019,B0d,(B3d-B0d)-(B1d-B0d)-(B3nd-B0d),상호작용,15,0.019,False,0,dinov2
-0.012430972575780097,0.014787465783916385,0.008321371823903655,4,-0.030278540088902954,0.0054165949373427575,0.15740546146028547,0.1892164577126926,False,0.025070974113979617,B4nd,aptos2019,B0d,B4nd-B0d,손실 단독,15,0.019,False,0,dinov2
0.017377943262870683,0.012169558655558986,0.0068481931918216235,13,0.0026900296687623303,0.03206585685697903,0.023680013914480724,0.3537785036818204,False,0.02063252043929809,B4nd,aptos2019,B0d,(B4d-B0d)-(B1d-B0d)-(B4nd-B0d),상호작용,15,0.019,False,0,dinov2
