family,dataset,base_arm,arm,tau,imbalance_ratio,mean_base,mean_arm,n_folds,mean_diff,sd,wins,ci_lo,ci_hi,ttest_p_nb,se_nb,mde_floor,mde_post,tost_p,equivalent,zero_var,all_zero,noise_flag,mcc_base,mcc_arm,mcc_diff,mae_sample_base,mae_sample_arm,mae_sample_diff,mae_class_base,mae_class_arm,mae_class_diff,holm_family,holm_n,holm_p,sig_nb,sig_holm,gate_pass,verdict,exploratory
dinov2,aptos2019,B0d,B0d+LA(τ=0.5),0.5,9.352331606217616,0.6282280398333026,0.6371831325007362,15,0.008955092667433773,0.006038217835429726,13,0.0016673327461910062,0.01624285258867654,0.019575992771959105,0.003397894980557647,0.019,0.010237318906345792,0.002903377299223359,True,False,False,False,0.6945387638224507,0.6850977934924225,-0.009440970330028109,0.2727117641650328,0.28700216442148313,0.014290400256450392,0.4898024428557136,0.4834931358376143,-0.006309307018099283,dinov2,4,0.06533349570129607,True,False,False,하한 미달,탐색적/exploratory
dinov2,aptos2019,B0d,B0d+LA(τ=1.0),1.0,9.352331606217616,0.6282280398333026,0.6447138294699685,15,0.016485789636666158,0.010738782942563203,13,0.003524734890921319,0.029446844382411,0.016333373925324017,0.0060430507232995066,0.019,0.018206753821299007,0.28506463749323196,False,False,False,False,0.6945387638224507,0.673068555633301,-0.021470208189149628,0.2727117641650328,0.3042085697174821,0.03149680555244932,0.4898024428557136,0.47627606690388574,-0.013526375951827799,dinov2,4,0.06533349570129607,True,False,False,하한 미달,탐색적/exploratory
dinov2,oral_diseases,A0d,A0d+LA(τ=0.5),0.5,1.7407407407407407,0.6974539495592127,0.6974450890240365,15,-8.860535176347106e-06,0.0093535156826674,2,-0.01129798235434767,0.011280261283994977,0.9986806043800858,0.0052635172918436,0.032,0.015858143172166328,0.0009791536464268849,True,False,False,True,0.6519530942309589,0.6506039911397993,-0.0013491030911596388,0.6065969629076425,0.6117625093353248,0.005165546427682351,0.6026000899685111,0.60581996950418,0.003219879535668994,dinov2,4,1.0,False,False,False,잡음 수준 — 부호 해석 금지,탐색적/exploratory
dinov2,oral_diseases,A0d,A0d+LA(τ=1.0),1.0,1.7407407407407407,0.6974539495592127,0.6970498458656355,15,-0.0004041036935774104,0.00992574676446212,3,-0.012383873458426259,0.011575666071271438,0.9433481525694634,0.005585529709007574,0.032,0.016828315536283903,0.0017385757573127722,True,False,False,True,0.6519530942309589,0.6491849853168402,-0.002768108914118635,0.6065969629076425,0.6143639531989046,0.007766990291262132,0.6026000899685111,0.6076319489477384,0.005031858979227392,dinov2,4,1.0,False,False,False,잡음 수준 — 부호 해석 금지,탐색적/exploratory
panderm,aptos2019,B0,B0+LA(τ=0.5),0.5,9.352331606217616,0.6457036359493563,0.6554947750047297,15,0.00979113905537335,0.007179639235042543,13,0.0011257532590688724,0.018456524851677827,0.02951322103402525,0.004040208681412969,0.019,0.012172508260694808,0.012089810895665217,True,False,False,False,0.721080062144484,0.7047538559648084,-0.016326206179675586,0.24831977774298805,0.26788803653921184,0.019568258796223825,0.4714770601117651,0.4621815524115249,-0.009295507700240105,panderm,4,0.118052884136101,True,False,False,하한 미달,탐색적/exploratory
panderm,aptos2019,B0,B0+LA(τ=1.0),1.0,9.352331606217616,0.6457036359493563,0.666426818578659,15,0.02072318262930275,0.017076322148843814,14,0.00011310535975398578,0.04133325989885151,0.04891568467033363,0.009609383248064348,0.019,0.028951548345848798,0.5294628547677943,False,False,False,False,0.721080062144484,0.6900856341035125,-0.030994428040971418,0.24831977774298805,0.2868176543237487,0.03849787658076075,0.4714770601117651,0.45027024455788234,-0.02120681555388272,panderm,4,0.14674705401100088,True,False,False,하한 이상 · Holm 미달,탐색적/exploratory
panderm,oral_diseases,A0,A0+LA(τ=0.5),0.5,1.7407407407407407,0.7438928663928664,0.7486345185029396,15,0.004741652110073158,0.01025942642616518,5,-0.007640848614699788,0.017124152834846106,0.42523715649958554,0.005773301743491373,0.032,0.017394042908584425,0.009647063066511715,True,False,False,True,0.7006528034518757,0.7045540494302872,0.0039012459784115937,0.4587005227781927,0.45482325118247446,-0.003877271595718194,0.45101877654509237,0.4454113235692183,-0.005607452975874035,panderm,4,0.8504743129991711,False,False,False,잡음 수준 — 부호 해석 금지,탐색적/exploratory
panderm,oral_diseases,A0,A0+LA(τ=1.0),1.0,1.7407407407407407,0.7438928663928664,0.747732009705694,15,0.0038391433128275236,0.011510383568995546,6,-0.010053186235148634,0.01773147286080368,0.5628264055547787,0.006477254650187648,0.032,0.019514941418436585,0.01285649543161347,True,False,False,True,0.7006528034518757,0.7024717837449405,0.001818980293064835,0.4587005227781927,0.45805949713716704,-0.0006410256410256424,0.45101877654509237,0.44776442855390225,-0.003254347991190106,panderm,4,0.8504743129991711,False,False,False,잡음 수준 — 부호 해석 금지,탐색적/exploratory
