variant,family,dataset,arm,base,n_folds,mean_base,mean_arm,mean_diff,sd,wins,ci_lo,ci_hi,ttest_p_nb,se_nb,mde_floor,mde_post,tost_p,equivalent,holm_p,sig_nb,sig_holm,passes_mde_gate,tost_significant,verdict_code,verdict,mean_diff_full,delta_delta_vs_full
full,aptos_w1,aptos2019,B1,B0,15,0.6457036359493563,0.6554548011915637,0.009751165242207397,0.013488027591129157,11,-0.006528059783176615,0.026030390267591408,0.21974223648336125,0.007590137106449578,0.019,0.022867879833313978,0.09917537822264239,False,0.4394844729667225,False,False,False,False,undetectable,검출 불가 (검정력 부족),0.009751165242207397,0.0
full,aptos_w1,aptos2019,B2,B0,15,0.6457036359493563,0.646060137363265,0.00035650141390869785,0.01950572869875835,7,-0.023185721096076195,0.02389872392389359,0.9745488470798206,0.010976486679353688,0.019,0.033070414256699196,0.047582631482110956,True,0.9745488470798206,False,False,False,True,undetectable,검출 불가 (검정력 부족 · TOST 유의),0.00035650141390869785,0.0
full,aptos_w1,aptos2019,B3,B0,15,0.6457036359493563,0.6636538848253793,0.01795024887602316,0.012030525455120893,15,0.0034301398582799666,0.03247035789376635,0.018975038676836788,0.006769954839583402,0.019,0.020396800687171365,0.38325790307367735,False,0.07590015470734715,True,False,False,False,undetectable,검출 불가 (검정력 부족),0.01795024887602316,0.0
full,aptos_w1,aptos2019,B4,B0,15,0.6457036359493563,0.6649790345496154,0.019275398600259064,0.021035300831050235,12,-0.006112923998556643,0.044663721199074774,0.12573345815091055,0.011837224998567633,0.019,0.03566368235919337,0.4760271245144942,False,0.3772003744527317,False,False,False,False,undetectable,검출 불가 (검정력 부족),0.019275398600259064,0.0
full,aptos_mixup,aptos2019,B5,B0,15,0.6457036359493563,0.644048393316875,-0.0016552426324812687,0.019968223198021776,7,-0.025755667739224143,0.022445182474261603,0.8849906933119693,0.01123674687208171,0.019,0.03385453695820379,0.062420250110027546,False,1.0,False,False,False,False,undetectable,검출 불가 (검정력 부족),-0.0016552426324812687,0.0
full,aptos_mixup,aptos2019,B5s,B0,15,0.6457036359493563,0.6462757317609816,0.0005720958116253394,0.015445457849307164,7,-0.018069627913370814,0.01921381953662149,0.9484507552895772,0.008691644642336838,0.019,0.026186547416374585,0.02110580044152368,True,1.0,False,False,False,True,undetectable,검출 불가 (검정력 부족 · TOST 유의),0.0005720958116253394,0.0
full,aptos_d2,aptos2019,B1d,B0d,15,0.6282280398333026,0.632086311758716,0.0038582719254135257,0.009019965354650434,11,-0.0070282750316890095,0.01474481888251606,0.45978825330634493,0.005075818037490424,0.019,0.015292635074861501,0.0033397019661394736,True,0.9343755315538635,False,False,False,True,equivalent_within_prespecified_margin,등가 (TOST · 사후 MDE ≤ 하한),0.0038582719254135257,0.0
full,aptos_d2,aptos2019,B3d,B0d,15,0.6282280398333026,0.635644061077903,0.007416021244600679,0.016501940142293493,12,-0.012500812044537343,0.0273328545337387,0.43785513735950765,0.009286160437928504,0.019,0.027977729259591213,0.0984189999968443,False,0.9343755315538635,False,False,False,False,undetectable,검출 불가 (검정력 부족),0.007416021244600679,0.0
full,aptos_d2,aptos2019,B4d,B0d,15,0.6282280398333026,0.6370332824458066,0.008805242612504113,0.014900688695028015,13,-0.009178978035079078,0.026789463260087305,0.31145851051795453,0.008385085915020567,0.019,0.025262934569886573,0.10157734795880781,False,0.9343755315538635,False,False,False,False,undetectable,검출 불가 (검정력 부족),0.008805242612504113,0.0
leakfree,aptos_w1,aptos2019,B1,B0,15,0.6385801757462615,0.643905962483478,0.005325786737216494,0.012546842199498844,10,-0.00981748503796577,0.020469058512398757,0.4631646370186155,0.007060502501478883,0.019,0.02127217473178914,0.028274927046216734,True,0.926329274037231,False,False,False,True,undetectable,검출 불가 (검정력 부족 · TOST 유의),0.009751165242207397,-0.004425378504990903
leakfree,aptos_w1,aptos2019,B2,B0,15,0.6385801757462615,0.6401902748810381,0.0016100991347767213,0.021413218834424402,8,-0.024234347398877178,0.02745454566843062,0.8956052878514994,0.012049891338492097,0.019,0.036304412327279316,0.07462212352066415,False,0.926329274037231,False,False,False,False,undetectable,검출 불가 (검정력 부족),0.00035650141390869785,0.0012535977208680234
leakfree,aptos_w1,aptos2019,B3,B0,15,0.6385801757462615,0.6611390940207452,0.0225589182744837,0.014979022590056713,14,0.004480153402723088,0.040637683146244316,0.018076125382886027,0.008429166860090776,0.019,0.02539574346920776,0.6170433039536285,False,0.07230450153154411,True,False,False,False,undetectable,검출 불가 (검정력 부족),0.01795024887602316,0.004608669398460542
leakfree,aptos_w1,aptos2019,B4,B0,15,0.6385801757462615,0.6578299057251494,0.019249729978888002,0.022546124430203138,12,-0.007962064375015631,0.04646152433279163,0.15146151686595055,0.0126874129288453,0.019,0.03822516381238124,0.4768402017672007,False,0.45438455059785166,False,False,False,False,undetectable,검출 불가 (검정력 부족),0.019275398600259064,-2.5668621371061767e-05
leakfree,aptos_mixup,aptos2019,B5,B0,15,0.6385801757462615,0.6377459673567131,-0.0008342083895482855,0.01991215474405067,7,-0.02486696229878995,0.02319854551969338,0.9417069393447937,0.01120519539058361,0.019,0.03375947734632294,0.05462145373503563,False,1.0,False,False,False,False,undetectable,검출 불가 (검정력 부족),-0.0016552426324812687,0.0008210342429329832
leakfree,aptos_mixup,aptos2019,B5s,B0,15,0.6385801757462615,0.6390343986968383,0.000454222950576888,0.01804688730944154,7,-0.02132726715486789,0.022235713056021667,0.964956954902494,0.010155550772552877,0.019,0.030597064512908462,0.03742014608553462,True,1.0,False,False,False,True,undetectable,검출 불가 (검정력 부족 · TOST 유의),0.0005720958116253394,-0.00011787286104845144
leakfree,aptos_d2,aptos2019,B1d,B0d,15,0.616071307647959,0.619929695971084,0.003858388323125032,0.009677335662285722,11,-0.007821564422236638,0.0155383410684867,0.4902555829906924,0.005445740973290341,0.019,0.016407154236349513,0.005127994312889252,True,1.0,False,False,False,True,equivalent_within_prespecified_margin,등가 (TOST · 사후 MDE ≤ 하한),0.0038582719254135257,1.1639771150618108e-07
leakfree,aptos_d2,aptos2019,B3d,B0d,15,0.616071307647959,0.6261660401627437,0.010094732514784648,0.017979557479473742,13,-0.011605494600533426,0.03179495963010272,0.3353418711132498,0.010117662160792797,0.019,0.03048291213217685,0.17209592103483495,False,1.0,False,False,False,False,undetectable,검출 불가 (검정력 부족),0.007416021244600679,0.0026787112701839684
leakfree,aptos_d2,aptos2019,B4d,B0d,15,0.616071307647959,0.6252979569180811,0.009226649270122133,0.01728458375672258,12,-0.01163478703290284,0.030088085573147107,0.35891145284179604,0.009726578601286274,0.019,0.029304639366065616,0.14334678335542392,False,1.0,False,False,False,False,undetectable,검출 불가 (검정력 부족),0.008805242612504113,0.00042140665761801997
conflict_excluded,aptos_w1,aptos2019,B1,B0,15,0.6397721564837303,0.644215631031624,0.0044434745478938295,0.012572840617708818,10,-0.010731175729258774,0.01961812482504643,0.5400873628590521,0.007075132628636564,0.019,0.021316252985593497,0.0226025766557713,True,1.0,False,False,False,True,undetectable,검출 불가 (검정력 부족 · TOST 유의),0.009751165242207397,-0.005307690694313568
