metric,variant,family,arm,base,n_folds,mean_base,mean_arm,mean_diff,sd,se_nb,ci_lo,ci_hi,ttest_p_nb,tost_p,improves,holm_p,sig_holm
classmean_mae,full,aptos_w1,B1,B0,15,0.4714770601117651,0.4653475496865559,-0.006129510425209095,0.01754107464681488,0.009870914087642797,-0.02730051555796568,0.015041494707547492,0.5445994602115805,0.09088290837173599,True,1.0,False
classmean_mae,full,aptos_w1,B2,B0,15,0.4714770601117651,0.46154483484265074,-0.00993222526911431,0.029066952420177202,0.016356887813670454,-0.04501426050763965,0.025149809969411033,0.5534266761405944,0.274048081802689,True,1.0,False
classmean_mae,full,aptos_w1,B3,B0,15,0.4714770601117651,0.41321372645473,-0.058263333657035,0.022866967968434713,0.012867961673162643,-0.08586236655427075,-0.030664300759799257,0.00047336112885571613,0.9949671326326922,True,0.0018934445154228645,True
classmean_mae,full,aptos_w1,B4,B0,15,0.4714770601117651,0.4422627449833029,-0.029214315128462114,0.0315021502116359,0.017727250158617838,-0.06723548528205442,0.008806855025130199,0.12160649336147768,0.6943321640344737,True,0.36481948008443305,False
classmean_mae,full,aptos_mixup,B5,B0,15,0.4714770601117651,0.48367295869268206,0.012195898580917078,0.03973274509587722,0.022358864619439405,-0.03575909661181294,0.06015089377364709,0.5940208693458819,0.36612721604056425,False,1.0,False
classmean_mae,full,aptos_mixup,B5s,B0,15,0.4714770601117651,0.47686974208243976,0.005392681970674721,0.030707831676255303,0.017280262150252686,-0.03166979425291713,0.04245515819426657,0.759585392026354,0.20607382348325312,False,1.0,False
classmean_mae,full,aptos_d2,B1d,B0d,15,0.4898024428557136,0.48633357034620706,-0.0034688725095064856,0.016404195238765226,0.009231156308212446,-0.023267733673449,0.016329988654436026,0.7127140542093441,0.04748249637694564,True,0.7446810402128612,False
classmean_mae,full,aptos_d2,B3d,B0d,15,0.4898024428557136,0.4456799034394671,-0.044122539416246415,0.026188742482481,0.014737228608448514,-0.0757307511524482,-0.012514327680044623,0.009666712894300487,0.9380317424129005,True,0.02900013868290146,True
classmean_mae,full,aptos_d2,B4d,B0d,15,0.4898024428557136,0.4780430293074099,-0.011759413548303814,0.022674425029197146,0.012759611708883725,-0.03912605888451777,0.01560723178791014,0.3723405201064306,0.264415741017225,True,0.7446810402128612,False
classmean_mae,leakfree,aptos_w1,B1,B0,15,0.48130037252725005,0.48300464264297693,0.0017042701157268876,0.018030172436689265,0.010146144788242016,-0.020057046159781194,0.023465586391234968,0.8690075300621096,0.04645601442634174,False,0.8750555940518324,False
classmean_mae,leakfree,aptos_w1,B2,B0,15,0.48130037252725005,0.4662982341421659,-0.015002138385084152,0.03335800190373827,0.01877159624236678,-0.05526320811668029,0.02525893134651199,0.4375277970259162,0.39696544484437074,True,0.8750555940518324,False
classmean_mae,leakfree,aptos_w1,B3,B0,15,0.48130037252725005,0.41765174044634007,-0.06364863208090991,0.028683930382665392,0.01614134927329719,-0.09826838312730944,-0.029028881034510387,0.0014712763479191138,0.9914415228630491,True,0.005885105391676455,True
