dataset,arm,mode,fold,bacc,per_class_recall,n_train,n_test,exploratory
aptos2019,B0,offset,7,0.6846423636181371,"[0.9833795013850416, 0.7297297297297297, 0.525, 0.7105263157894737, 0.4745762711864407]",2930,732,탐색적/exploratory (w17_afl · 판정 아님 / not a verdict)
aptos2019,B0,scale,7,0.6732588968140872,"[0.9861495844875346, 0.6756756756756757, 0.51, 0.7368421052631579, 0.4576271186440678]",2930,732,탐색적/exploratory (w17_afl · 판정 아님 / not a verdict)
aptos2019,B0,none,8,0.6385841893351165,"[0.9778393351800554, 0.6351351351351351, 0.72, 0.3684210526315789, 0.4915254237288136]",2930,732,탐색적/exploratory (w17_afl · 판정 아님 / not a verdict)
aptos2019,B0,full,8,0.6727137817661786,"[0.9722991689750693, 0.7162162162162162, 0.535, 0.631578947368421, 0.5084745762711864]",2930,732,탐색적/exploratory (w17_afl · 판정 아님 / not a verdict)
aptos2019,B0,offset,8,0.6766698296963567,"[0.9722991689750693, 0.7297297297297297, 0.56, 0.5789473684210527, 0.5423728813559322]",2930,732,탐색적/exploratory (w17_afl · 판정 아님 / not a verdict)
aptos2019,B0,scale,8,0.6749860011191999,"[0.9806094182825484, 0.7162162162162162, 0.555, 0.631578947368421, 0.4915254237288136]",2930,732,탐색적/exploratory (w17_afl · 판정 아님 / not a verdict)
aptos2019,B0,none,9,0.5892626060102722,"[0.9722991689750693, 0.5405405405405406, 0.7537688442211056, 0.20512820512820512, 0.4745762711864407]",2930,732,탐색적/exploratory (w17_afl · 판정 아님 / not a verdict)
aptos2019,B0,full,9,0.6334224862287023,"[0.9695290858725761, 0.6756756756756757, 0.5527638190954773, 0.358974358974359, 0.6101694915254238]",2930,732,탐색적/exploratory (w17_afl · 판정 아님 / not a verdict)
aptos2019,B0,offset,9,0.6258415686145679,"[0.9695290858725761, 0.6351351351351351, 0.5979899497487438, 0.3333333333333333, 0.5932203389830508]",2930,732,탐색적/exploratory (w17_afl · 판정 아님 / not a verdict)
aptos2019,B0,scale,9,0.6214680144613156,"[0.9722991689750693, 0.6081081081081081, 0.5577889447236181, 0.358974358974359, 0.6101694915254238]",2930,732,탐색적/exploratory (w17_afl · 판정 아님 / not a verdict)
aptos2019,B0,none,10,0.6643416500574583,"[0.9916897506925207, 0.581081081081081, 0.805, 0.38461538461538464, 0.559322033898305]",2929,733,탐색적/exploratory (w17_afl · 판정 아님 / not a verdict)
