comparison,arm,base,mean_diff,ci_lo,ci_hi,ttest_p_nb,se_nb,mde_post,r3_adopt
B3 - B1,B3,B1,0.017997046855593262,-0.0026086287045755316,0.038602722415762056,0.0820608564425375,0.009607330965007592,0.028945365142348304,False
B4 - B1,B4,B1,0.008948907200805042,-0.007515256816795719,0.025413071218405803,0.2631831054153951,0.007676364325808297,0.023127668775595463,False
B3d - B1d,B3d,B1d,-0.0009722709359083926,-0.027522917826479996,0.02557837595466321,0.9385092859447253,0.012379155018137225,0.03729643159570616,False
B4d - B1d,B4d,B1d,0.0025856468801321642,-0.022658817039336338,0.02783011079960067,0.8292924798101278,0.011770151344969539,0.03546160007412382,False
