row_kind,dataset,base_arm,class_idx,class_name,n_pool,pool_share,m_test_mean,recall_mean,var_term,var_share,exploratory,var_single_split,var_between_fold_base,arm,base,n_boot,n_folds_boot,var_total_between_fold,var_eval_boot,var_eval_closed_form,boot_vs_closed_rel_err,var_eval_boot_fpc,var_residual_fpc_raw,var_residual_raw,residual_negative,var_residual_train_split,share_eval,share_residual,share_residual_fpc,sd_total,sd_eval,sd_residual,mde80_R3_current,mde80_R3_infinite_test
analytic_class_share,aptos2019,B0,0.0,no_dr,1805.0,0.4929000546149645,361.0,0.9819021237303784,1.9639268030003874e-06,0.0034685277251362725,탐색적/exploratory,0.0005662133788834651,0.0005655511011529091,,,,,,,,,,,,,,,,,,,,,
analytic_class_share,aptos2019,B0,1.0,mild,370.0,0.1010376843255052,74.0,0.6036036036036035,0.0001276396922854191,0.22542683914872524,탐색적/exploratory,0.0005662133788834651,0.0005655511011529091,,,,,,,,,,,,,,,,,,,,,
analytic_class_share,aptos2019,B0,2.0,moderate,999.0,0.272801747678864,199.8,0.7727638190954774,3.4980786054038104e-05,0.061780218127338984,탐색적/exploratory,0.0005662133788834651,0.0005655511011529091,,,,,,,,,,,,,,,,,,,,,
analytic_class_share,aptos2019,B0,3.0,severe,193.0,0.052703440742763515,38.6,0.3595141700404858,0.0002348349003449933,0.4147462937171708,탐색적/exploratory,0.0005662133788834651,0.0005655511011529091,,,,,,,,,,,,,,,,,,,,,
analytic_class_share,aptos2019,B0,4.0,proliferative_dr,295.0,0.08055707263790278,59.0,0.5107344632768361,0.00016679407339601418,0.29457812128162875,탐색적/exploratory,0.0005662133788834651,0.0005655511011529091,,,,,,,,,,,,,,,,,,,,,
analytic_class_share,oral_diseases,A0,0.0,CaS,79.0,0.15310077519379844,15.8,0.8902777777777778,0.00011927998630007557,0.07130466343636618,탐색적/exploratory,0.0016728216718465208,0.0015365633663501628,,,,,,,,,,,,,,,,,,,,,
analytic_class_share,oral_diseases,A0,1.0,CoS,75.0,0.14534883720930233,15.0,0.9733333333333334,3.386243386243386e-05,0.02024270394886461,탐색적/exploratory,0.0016728216718465208,0.0015365633663501628,,,,,,,,,,,,,,,,,,,,,
analytic_class_share,oral_diseases,A0,2.0,Gum,61.0,0.1182170542635659,12.2,0.6769230769230768,0.00035763555240872805,0.21379179767198797,탐색적/exploratory,0.0016728216718465208,0.0015365633663501628,,,,,,,,,,,,,,,,,,,,,
analytic_class_share,oral_diseases,A0,3.0,MC,90.0,0.1744186046511628,18.0,0.6148148148148148,0.00026408368560044043,0.157867207273167,탐색적/exploratory,0.0016728216718465208,0.0015365633663501628,,,,,,,,,,,,,,,,,,,,,
analytic_class_share,oral_diseases,A0,4.0,OC,54.0,0.10465116279069768,10.8,0.6793939393939393,0.00036989936470455955,0.22112301085641203,탐색적/exploratory,0.0016728216718465208,0.0015365633663501628,,,,,,,,,,,,,,,,,,,,,
analytic_class_share,oral_diseases,A0,5.0,OLP,94.0,0.1821705426356589,18.8,0.6592592592592592,0.00023197007480842133,0.13866993637903102,탐색적/exploratory,0.0016728216718465208,0.0015365633663501628,,,,,,,,,,,,,,,,,,,,,
analytic_class_share,oral_diseases,A0,6.0,OT,63.0,0.12209302325581395,12.6,0.7132478632478633,0.0002960905741618618,0.17700068043417108,탐색적/exploratory,0.0016728216718465208,0.0015365633663501628,,,,,,,,,,,,,,,,,,,,,
delta_var_decomposition,aptos2019,,,,,,,,,,탐색적/exploratory,,,B1,B0,2000.0,15.0,0.0001819268882990614,0.00020604906143830315,0.00020481467769186752,0.006026832453349369,0.00016482434739153925,1.7102540907522156e-05,-2.412217313924175e-05,True,0.0,1.1325926770076362,-0.13259267700763616,0.0940077690957263,0.013488027591129157,0.014354409128846201,,0.022867879833313978,
delta_var_decomposition,aptos2019,,,,,,,,,,탐색적/exploratory,,,B2,B0,2000.0,15.0,0.00038047345206956515,0.0003392963811154476,0.00034466855168208745,0.015586483131176452,0.00027144150949619646,0.00010903194257336869,4.117707095411757e-05,False,4.117707095411757e-05,0.8917741284440818,0.10822587155591823,0.2865691206056434,0.01950572869875835,0.018419999487389992,0.0064169362591596285,0.033070414256699196,0.010879405923591616
delta_var_decomposition,aptos2019,,,,,,,,,,탐색적/exploratory,,,B3,B0,2000.0,15.0,0.00014473354272631175,0.0004536109914275615,0.0004545637771792664,0.0020960441626416476,0.0003629212586414661,-0.00021818771591515434,-0.0003088774487012497,True,0.0,3.1341110214190695,-2.1341110214190695,-1.5075131293354918,0.012030525455120893,0.02129814525792238,,0.020396800687171365,
