dataset,arm,fold,variant,n,sample_mae,classmean_mae
aptos2019,B4d,6,conflict_excluded,695,0.2719424460431655,0.4687030217245166
aptos2019,B4d,7,full,732,0.3005464480874317,0.5021374864699903
aptos2019,B4d,7,leakfree,695,0.2949640287769784,0.5123402909550917
aptos2019,B4d,7,conflict_excluded,695,0.2949640287769784,0.5123402909550917
aptos2019,B4d,8,full,732,0.273224043715847,0.491586651067237
aptos2019,B4d,8,leakfree,685,0.2671532846715328,0.5037927828069335
aptos2019,B4d,8,conflict_excluded,683,0.2664714494875549,0.501903112025581
aptos2019,B4d,9,full,732,0.2827868852459016,0.47439540708986677
aptos2019,B4d,9,leakfree,691,0.2735166425470333,0.47278021172057033
aptos2019,B4d,9,conflict_excluded,689,0.2714078374455733,0.47413971491837864
aptos2019,B4d,10,full,733,0.286493860845839,0.5050313627470302
aptos2019,B4d,10,leakfree,688,0.28488372093023256,0.5319265372301878
aptos2019,B4d,10,conflict_excluded,688,0.28488372093023256,0.5319265372301878
aptos2019,B4d,11,full,733,0.29740791268758526,0.4977501101776419
aptos2019,B4d,11,leakfree,699,0.2947067238912732,0.5146552646552647
aptos2019,B4d,11,conflict_excluded,697,0.29411764705882354,0.5157568150385831
aptos2019,B4d,12,full,732,0.26639344262295084,0.4714255725747815
aptos2019,B4d,12,leakfree,693,0.26406926406926406,0.48578297690657235
aptos2019,B4d,12,conflict_excluded,689,0.25834542815674894,0.47655860910577896
aptos2019,B4d,13,full,732,0.2786885245901639,0.47859528108793337
aptos2019,B4d,13,leakfree,688,0.2761627906976744,0.5017374298955066
aptos2019,B4d,13,conflict_excluded,684,0.2719298245614035,0.4939390121446182
aptos2019,B4d,14,full,732,0.2786885245901639,0.4659761073433265
aptos2019,B4d,14,leakfree,689,0.2728592162554427,0.47651098411946224
aptos2019,B4d,14,conflict_excluded,687,0.27074235807860264,0.4721820968717778
aptos2019,B5,0,full,733,0.22373806275579808,0.4858830180080943
aptos2019,B5,0,leakfree,694,0.21902017291066284,0.4969787179236908
aptos2019,B5,0,conflict_excluded,692,0.21820809248554912,0.499698040776199
aptos2019,B5,1,full,733,0.2551159618008186,0.5019288250968612
aptos2019,B5,1,leakfree,702,0.25213675213675213,0.5052749469325424
aptos2019,B5,1,conflict_excluded,698,0.24785100286532952,0.5040085390172419
aptos2019,B5,2,full,732,0.2568306010928962,0.47463636536672826
aptos2019,B5,2,leakfree,690,0.2492753623188406,0.4698111540848971
aptos2019,B5,2,conflict_excluded,686,0.2478134110787172,0.4705121703853955
aptos2019,B5,3,full,732,0.26229508196721313,0.45162688769806475
aptos2019,B5,3,leakfree,696,0.26436781609195403,0.4686647125578799
aptos2019,B5,3,conflict_excluded,690,0.2608695652173913,0.46176201836462705
aptos2019,B5,4,full,732,0.2540983606557377,0.4794557292804904
aptos2019,B5,4,leakfree,689,0.25544267053701014,0.5001300589288055
aptos2019,B5,4,conflict_excluded,685,0.25255474452554744,0.49516071274217827
aptos2019,B5,5,full,733,0.2605729877216917,0.5482265121521425
aptos2019,B5,5,leakfree,698,0.25787965616045844,0.5592177433980712
aptos2019,B5,5,conflict_excluded,695,0.25611510791366904,0.5584850334850335
aptos2019,B5,6,full,733,0.2592087312414734,0.4955692597725088
aptos2019,B5,6,leakfree,697,0.2582496413199426,0.5035277947091596
aptos2019,B5,6,conflict_excluded,695,0.25611510791366904,0.4989948392268861
aptos2019,B5,7,full,732,0.2540983606557377,0.47320451410610576
aptos2019,B5,7,leakfree,695,0.2460431654676259,0.4830136441673444
aptos2019,B5,7,conflict_excluded,695,0.2460431654676259,0.4830136441673444
aptos2019,B5,8,full,732,0.2568306010928962,0.44573468618625667
aptos2019,B5,8,leakfree,685,0.24817518248175183,0.45055151287393913
aptos2019,B5,8,conflict_excluded,683,0.24743777452415813,0.44865871234906896
aptos2019,B5,9,full,732,0.2978142076502732,0.5555439391215765
aptos2019,B5,9,leakfree,691,0.28798842257597684,0.5516028324603592
aptos2019,B5,9,conflict_excluded,689,0.28592162554426703,0.5484088981607013
aptos2019,B5,10,full,733,0.22373806275579808,0.46332266306185266
aptos2019,B5,10,leakfree,688,0.2180232558139535,0.4688524046682822
aptos2019,B5,10,conflict_excluded,688,0.2180232558139535,0.4688524046682822
aptos2019,B5,11,full,733,0.2673942701227831,0.5157773428045271
aptos2019,B5,11,leakfree,699,0.2703862660944206,0.5312524212524213
aptos2019,B5,11,conflict_excluded,697,0.2697274031563845,0.5319083767150066
aptos2019,B5,12,full,732,0.2650273224043716,0.5002366498617496
aptos2019,B5,12,leakfree,693,0.2611832611832612,0.5066610189643898
aptos2019,B5,12,conflict_excluded,689,0.25834542815674894,0.5022675908996664
aptos2019,B5,13,full,732,0.23087431693989072,0.4364835070292603
aptos2019,B5,13,leakfree,688,0.22965116279069767,0.46044805830568797
aptos2019,B5,13,conflict_excluded,684,0.22514619883040934,0.4521776111533732
aptos2019,B5,14,full,732,0.24453551912568305,0.42746448084401295
aptos2019,B5,14,leakfree,689,0.23367198838896952,0.4248358721270997
aptos2019,B5,14,conflict_excluded,687,0.2314410480349345,0.4258187936191426
aptos2019,B5s,0,full,733,0.21828103683492497,0.45016821419685404
aptos2019,B5s,0,leakfree,694,0.21902017291066284,0.4732450185017589
aptos2019,B5s,0,conflict_excluded,692,0.21820809248554912,0.475433429424909
aptos2019,B5s,1,full,733,0.2660300136425648,0.509457056781579
aptos2019,B5s,1,leakfree,702,0.26495726495726496,0.5182449171770175
aptos2019,B5s,1,conflict_excluded,698,0.2607449856733524,0.517497674264065
aptos2019,B5s,2,full,732,0.24726775956284153,0.4673610066707864
aptos2019,B5s,2,leakfree,690,0.23768115942028986,0.4607183579921011
aptos2019,B5s,2,conflict_excluded,686,0.23615160349854228,0.456919190089829
aptos2019,B5s,3,full,732,0.26229508196721313,0.4638171846667081
aptos2019,B5s,3,leakfree,696,0.2600574712643678,0.4738716842354398
aptos2019,B5s,3,conflict_excluded,690,0.2565217391304348,0.46709162234345375
aptos2019,B5s,4,full,732,0.26639344262295084,0.4966002619301982
aptos2019,B5s,4,leakfree,689,0.26850507982583455,0.5188604374370391
aptos2019,B5s,4,conflict_excluded,685,0.2656934306569343,0.5140733910228796
aptos2019,B5s,5,full,733,0.24965893587994542,0.49539440625223996
aptos2019,B5s,5,leakfree,698,0.2492836676217765,0.5127709176069832
aptos2019,B5s,5,conflict_excluded,695,0.2474820143884892,0.5110472860472861
aptos2019,B5s,6,full,733,0.23328785811732605,0.4340040706754637
aptos2019,B5s,6,leakfree,697,0.23529411764705882,0.44576095485864464
aptos2019,B5s,6,conflict_excluded,695,0.23309352517985613,0.44137313725735805
aptos2019,B5s,7,full,732,0.27049180327868855,0.5110951256435082
aptos2019,B5s,7,leakfree,695,0.25611510791366904,0.5108276859130749
aptos2019,B5s,7,conflict_excluded,695,0.25611510791366904,0.5108276859130749
aptos2019,B5s,8,full,732,0.2581967213114754,0.45666693398878005
aptos2019,B5s,8,leakfree,685,0.25401459854014596,0.46862888013584225
aptos2019,B5s,8,conflict_excluded,683,0.25329428989751096,0.46919326342455764
aptos2019,B5s,9,full,732,0.296448087431694,0.5432825479409873
aptos2019,B5s,9,leakfree,691,0.28364688856729375,0.5367771074003915
aptos2019,B5s,9,conflict_excluded,689,0.28156748911465895,0.5335106041602401
aptos2019,B5s,10,full,733,0.23874488403819918,0.49392359598219027
aptos2019,B5s,10,leakfree,688,0.23401162790697674,0.5066424219466249
aptos2019,B5s,10,conflict_excluded,688,0.23401162790697674,0.5066424219466249
aptos2019,B5s,11,full,733,0.24693042291950887,0.48712866913510133
aptos2019,B5s,11,leakfree,699,0.24892703862660945,0.5003558403558404
aptos2019,B5s,11,conflict_excluded,697,0.24820659971305595,0.5008435294623139
aptos2019,B5s,12,full,732,0.25546448087431695,0.48174693140015457
aptos2019,B5s,12,leakfree,693,0.25252525252525254,0.49375291167425994
aptos2019,B5s,12,conflict_excluded,689,0.24963715529753266,0.48922992102237384
aptos2019,B5s,13,full,732,0.23087431693989072,0.43874972939980683
aptos2019,B5s,13,leakfree,688,0.22965116279069767,0.4626578039060195
aptos2019,B5s,13,conflict_excluded,684,0.22514619883040934,0.4544392846284648
aptos2019,B5s,14,full,732,0.24180327868852458,0.42365039657223846
aptos2019,B5s,14,leakfree,689,0.23076923076923078,0.4155845824655917
aptos2019,B5s,14,conflict_excluded,687,0.22852983988355166,0.41640332208502695
