dataset,arm,fold,variant,n,sample_mae,classmean_mae
aptos2019,B0d,14,full,732,0.26639344262295084,0.47100359420910964
aptos2019,B0d,14,leakfree,689,0.2641509433962264,0.4855888025304108
aptos2019,B0d,14,conflict_excluded,687,0.26200873362445415,0.4815529320159181
aptos2019,B1,0,full,733,0.2605729877216917,0.4435177435215465
aptos2019,B1,0,leakfree,694,0.2564841498559078,0.4625507303964234
aptos2019,B1,0,conflict_excluded,692,0.25578034682080925,0.46326861406658226
aptos2019,B1,1,full,733,0.2987721691678035,0.47518527355144097
aptos2019,B1,1,leakfree,702,0.29772079772079774,0.4838027247848505
aptos2019,B1,1,conflict_excluded,698,0.29369627507163326,0.48233993818670695
aptos2019,B1,2,full,732,0.26229508196721313,0.43577325797556793
aptos2019,B1,2,leakfree,690,0.2579710144927536,0.4410994126915915
aptos2019,B1,2,conflict_excluded,686,0.2565597667638484,0.4418532671689365
aptos2019,B1,3,full,732,0.2691256830601093,0.4355113081060778
aptos2019,B1,3,leakfree,696,0.27298850574712646,0.4629629022763547
aptos2019,B1,3,conflict_excluded,690,0.26956521739130435,0.4612626556440976
aptos2019,B1,4,full,732,0.2855191256830601,0.4907579893343493
aptos2019,B1,4,leakfree,689,0.28592162554426703,0.5105970288334495
aptos2019,B1,4,conflict_excluded,685,0.2832116788321168,0.5055959443331692
aptos2019,B1,5,full,733,0.286493860845839,0.4802965367828037
aptos2019,B1,5,leakfree,698,0.28796561604584525,0.5064994992863845
aptos2019,B1,5,conflict_excluded,695,0.28776978417266186,0.5139364339364338
aptos2019,B1,6,full,733,0.2551159618008186,0.3931938457217578
aptos2019,B1,6,leakfree,697,0.2568149210903874,0.4095212696346742
aptos2019,B1,6,conflict_excluded,695,0.25467625899280577,0.40448584336469046
aptos2019,B1,7,full,732,0.27049180327868855,0.4655565646401366
aptos2019,B1,7,leakfree,695,0.260431654676259,0.4788744917321767
aptos2019,B1,7,conflict_excluded,695,0.260431654676259,0.4788744917321767
aptos2019,B1,8,full,732,0.29508196721311475,0.48209854034512467
aptos2019,B1,8,leakfree,685,0.28905109489051095,0.4953588869791819
aptos2019,B1,8,conflict_excluded,683,0.2884333821376281,0.4963043988810494
aptos2019,B1,9,full,732,0.31420765027322406,0.5494087607980468
aptos2019,B1,9,leakfree,691,0.3140376266280753,0.5648436759675735
aptos2019,B1,9,conflict_excluded,689,0.31204644412191584,0.5667775233646863
aptos2019,B1,10,full,733,0.24283765347885403,0.40865503691833566
aptos2019,B1,10,leakfree,688,0.24273255813953487,0.43055638408320374
aptos2019,B1,10,conflict_excluded,688,0.24273255813953487,0.43055638408320374
aptos2019,B1,11,full,733,0.3246930422919509,0.5282701947849607
aptos2019,B1,11,leakfree,699,0.3290414878397711,0.5547577097577099
aptos2019,B1,11,conflict_excluded,697,0.3285509325681492,0.5558551390319346
aptos2019,B1,12,full,732,0.2814207650273224,0.5052317111702999
aptos2019,B1,12,leakfree,693,0.2784992784992785,0.5214961276759029
aptos2019,B1,12,conflict_excluded,689,0.2757619738751814,0.5170994257315012
aptos2019,B1,13,full,732,0.25,0.4465145819560111
aptos2019,B1,13,leakfree,688,0.25,0.47764191007598694
aptos2019,B1,13,conflict_excluded,684,0.24561403508771928,0.4694996698350149
aptos2019,B1,14,full,732,0.27049180327868855,0.4402418996918798
