bacc,mcc,macro_mae,per_class_recall,rank_violation_rows,head,lr,epochs,train_loss,grad_norm,w_norm,bias_ordered,biases,arm,setting,dataset,fold,n_train,n_test,feats,lever,recall_no_dr,recall_mild,recall_moderate,recall_severe,recall_prolif
0.6140653371556231,0.6027042958061886,0.32878581173260574,"[0.9168975069252078, 0.6486486486486487, 0.5, 0.5641025641025641, 0.4406779661016949]",0,coral_true,0.03,800,0.6210575103759766,2.191340446472168,8.607149124145508,True,"[1.6285039186477661, -2.461878776550293, -5.367456436157227, -7.712128162384033]",B3c_conv,conv,aptos2019,0,2929,733,panderm,rebalance,0.9168975069252078,0.6486486486486487,0.5,0.5641025641025641,0.4406779661016949
0.6410265681284038,0.6876586508114823,0.2605729877216917,"[0.96398891966759, 0.5945945945945946, 0.71, 0.5128205128205128, 0.423728813559322]",535,legacy,0.03,800,0.12772034108638763,0.008642557077109814,25.40703773498535,True,"[1.0994521379470825, -2.0247573852539062, -5.288633346557617, -5.338787078857422]",B3_conv,conv,aptos2019,0,2929,733,panderm,rebalance,0.96398891966759,0.5945945945945946,0.71,0.5128205128205128,0.423728813559322
0.6174300897198217,0.606931186114076,0.3219645293315143,"[0.925207756232687, 0.6621621621621622, 0.495, 0.5641025641025641, 0.4406779661016949]",0,coral_true,0.3,400,0.7183222770690918,0.5381616950035095,19.326873779296875,True,"[4.272093772888184, -7.529016971588135, -15.902654647827148, -21.827390670776367]",B3c_convAlt,convAlt,aptos2019,0,2929,733,panderm,rebalance,0.925207756232687,0.6621621621621622,0.495,0.5641025641025641,0.4406779661016949
0.626195969364287,0.6827096280218581,0.26875852660300137,"[0.9667590027700831, 0.5945945945945946, 0.71, 0.4358974358974359, 0.423728813559322]",439,legacy,0.3,400,0.05047721788287163,0.002524613868445158,66.97635650634766,True,"[5.873361587524414, -4.33522891998291, -12.05581283569336, -13.865856170654297]",B3_convAlt,convAlt,aptos2019,0,2929,733,panderm,rebalance,0.9667590027700831,0.5945945945945946,0.71,0.4358974358974359,0.423728813559322
0.5120047579822218,0.462933117783259,0.519781718963165,"[0.7617728531855956, 0.4864864864864865, 0.37, 0.1282051282051282, 0.8135593220338984]",0,coral_true,0.01,200,1.227859377861023,0.21260082721710205,1.6738680601119995,True,"[1.0814437866210938, -0.33610859513282776, -1.38619863986969, -1.7025140523910522]",B3c_prereg,prereg,aptos2019,0,2929,733,panderm,rebalance,0.7617728531855956,0.4864864864864865,0.37,0.1282051282051282,0.8135593220338984
0.6945449340783865,0.6889457172180967,0.2551159618008186,"[0.9473684210526315, 0.6756756756756757, 0.615, 0.6923076923076923, 0.5423728813559322]",550,legacy,0.01,200,0.5519562363624573,0.09710586816072464,6.081305503845215,True,"[0.38364318013191223, -0.6837833523750305, -1.437422752380371, -1.4783607721328735]",B3_prereg,prereg,aptos2019,0,2929,733,panderm,rebalance,0.9473684210526315,0.6756756756756757,0.615,0.6923076923076923,0.5423728813559322
0.5916057235694778,0.6026120358831935,0.3274215552523875,"[0.9335180055401662, 0.7027027027027027, 0.48, 0.3333333333333333, 0.5084745762711864]",0,coral_true,0.03,800,0.5721808075904846,0.16216100752353668,8.487961769104004,True,"[1.6870006322860718, -2.5118284225463867, -5.436434745788574, -7.7296576499938965]",B3c_conv,conv,aptos2019,1,2929,733,panderm,rebalance,0.9335180055401662,0.7027027027027027,0.48,0.3333333333333333,0.5084745762711864
0.639155157190511,0.6795477248142316,0.2660300136425648,"[0.961218836565097, 0.6486486486486487, 0.675, 0.48717948717948717, 0.423728813559322]",534,legacy,0.03,800,0.12839798629283905,0.008561386726796627,24.5623779296875,True,"[1.1494200229644775, -2.4189682006835938, -5.16945219039917, -5.385040760040283]",B3_conv,conv,aptos2019,1,2929,733,panderm,rebalance,0.961218836565097,0.6486486486486487,0.675,0.48717948717948717,0.423728813559322
0.549034991280308,0.5629744114205429,0.39290586630286495,"[0.9473684210526315, 0.40540540540540543, 0.415, 0.3333333333333333, 0.6440677966101694]",0,coral_true,0.3,400,1.6858099699020386,7.010480880737305,18.044601440429688,True,"[4.163874626159668, -6.092705249786377, -13.325053215026855, -20.038955688476562]",B3c_convAlt,convAlt,aptos2019,1,2929,733,panderm,rebalance,0.9473684210526315,0.40540540540540543,0.415,0.3333333333333333,0.6440677966101694
0.6170879361232899,0.6628512738659259,0.2810368349249659,"[0.961218836565097, 0.5945945945945946, 0.67, 0.4358974358974359, 0.423728813559322]",424,legacy,0.3,400,0.05421946197748184,0.00284560420550406,68.70542907714844,True,"[6.17356014251709, -5.030440807342529, -13.576801300048828, -14.46611213684082]",B3_convAlt,convAlt,aptos2019,1,2929,733,panderm,rebalance,0.961218836565097,0.5945945945945946,0.67,0.4358974358974359,0.423728813559322
