family,arm,d_macro_true,p,holm,tag
aptos_w1,B1,-0.006129510425209087,0.544599460211581,1.0,—
aptos_w1,B2,-0.009932225269114303,0.5534266761405946,1.0,—
aptos_w1,B3,-0.058263333657035024,0.0004733611288557135,0.001893444515422854,🟢 유의 개선
aptos_w1,B4,-0.029214315128462107,0.12160649336147751,0.36481948008443255,—
aptos_mixup,B5,0.012195898580917101,0.594020869345881,1.0,—
aptos_mixup,B5s,0.005392681970674744,0.759585392026353,1.0,—
aptos_d2,B1d,-0.003468872509506482,0.7127140542093445,0.7446810402128625,—
aptos_d2,B3d,-0.04412253941624641,0.009666712894300487,0.02900013868290146,🟢 유의 개선
aptos_d2,B4d,-0.011759413548303803,0.37234052010643126,0.7446810402128625,—
