bacc,mcc,macro_mae,per_class_recall,train_acc,train_bacc,train_loss,weight_norm,dataset,fold,setting,wd,epochs,n_train,n_test,ref_cell,exploratory
0.6741722333991454,0.7680883536238835,0.2019099590723056,"[0.9861495844875346, 0.6216216216216216, 0.87, 0.38461538461538464, 0.5084745762711864]",0.899624445203141,0.7901787270635492,0.28950032591819763,4.020959377288818,aptos2019,0,baseline,0.0,50,2929,733,False,탐색적/exploratory
0.6711051026214648,0.7514505306807671,0.21964529331514324,"[0.9833795013850416, 0.5675675675675675, 0.835, 0.41025641025641024, 0.559322033898305]",0.9648344144759303,0.9248910437663855,0.13599324226379395,8.057662010192871,aptos2019,0,baseline,0.0,200,2929,733,False,탐색적/exploratory
0.6542280772033812,0.7175453707655223,0.252387448840382,"[0.9806094182825484, 0.6081081081081081, 0.755, 0.4358974358974359, 0.4915254237288136]",0.9921474906111301,0.9832911791276061,0.01760083995759487,31.809640884399414,aptos2019,0,baseline,0.0,2000,2929,733,False,탐색적/exploratory
0.6741722333991454,0.7680883536238835,0.2019099590723056,"[0.9861495844875346, 0.6216216216216216, 0.87, 0.38461538461538464, 0.5084745762711864]",0.899624445203141,0.7901787270635492,0.2894997000694275,4.020823001861572,aptos2019,0,baseline,0.0001,50,2929,733,False,탐색적/exploratory
0.6711051026214648,0.7514505306807671,0.21964529331514324,"[0.9833795013850416, 0.5675675675675675, 0.835, 0.41025641025641024, 0.559322033898305]",0.9648344144759303,0.9248910437663855,0.1360013484954834,8.05700969696045,aptos2019,0,baseline,0.0001,200,2929,733,True,탐색적/exploratory
0.6542280772033812,0.7175453707655223,0.252387448840382,"[0.9806094182825484, 0.6081081081081081, 0.755, 0.4358974358974359, 0.4915254237288136]",0.9921474906111301,0.9832911791276061,0.017613593488931656,31.78910255432129,aptos2019,0,baseline,0.0001,2000,2929,733,False,탐색적/exploratory
0.6741722333991454,0.7680883536238835,0.2019099590723056,"[0.9861495844875346, 0.6216216216216216, 0.87, 0.38461538461538464, 0.5084745762711864]",0.899624445203141,0.7901787270635492,0.2894386053085327,4.007645606994629,aptos2019,0,baseline,0.01,50,2929,733,False,탐색적/exploratory
0.6711051026214648,0.7514505306807671,0.21964529331514324,"[0.9833795013850416, 0.5675675675675675, 0.835, 0.41025641025641024, 0.559322033898305]",0.9648344144759303,0.9248910437663855,0.1367948204278946,7.993923187255859,aptos2019,0,baseline,0.01,200,2929,733,False,탐색적/exploratory
0.6515253745006786,0.7152643451824154,0.25375170532060026,"[0.9806094182825484, 0.5945945945945946, 0.755, 0.4358974358974359, 0.4915254237288136]",0.9921474906111301,0.9832911791276061,0.01888931356370449,29.97359848022461,aptos2019,0,baseline,0.01,2000,2929,733,False,탐색적/exploratory
0.6768749361018481,0.7701583461844986,0.20054570259208732,"[0.9861495844875346, 0.6351351351351351, 0.87, 0.38461538461538464, 0.5084745762711864]",0.900307272106521,0.7905675441097877,0.2889759838581085,3.8907010555267334,aptos2019,0,baseline,0.1,50,2929,733,False,탐색적/exploratory
