dataset,arm,fold,selected,inner_mean,exploratory
oral_diseases,vs,11,"g=0.1,t=1.5",0.7571605378748236,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
oral_diseases,wd_ce,11,wd=1.0,0.7748774241631384,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
oral_diseases,wd_wce,11,wd=1.0,0.7743462886320029,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
oral_diseases,affine_taunorm,12,tau=0.0,0.7382125017839303,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
oral_diseases,vs,12,"g=0.4,t=1.5",0.7567300160157304,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
oral_diseases,wd_ce,12,wd=1.0,0.7411273646987933,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
oral_diseases,wd_wce,12,wd=0.0001,0.7476902462616748,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
oral_diseases,affine_taunorm,13,tau=0.1,0.7339185417756846,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
oral_diseases,vs,13,"g=0.2,t=0.0",0.7510047095761381,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
oral_diseases,wd_ce,13,wd=0.3,0.7408006279434851,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
oral_diseases,wd_wce,13,wd=0.3,0.7384650270364557,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
oral_diseases,affine_taunorm,14,tau=0.0,0.7653680446537588,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
oral_diseases,vs,14,"g=0.3,t=0.5",0.7748124890982033,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
oral_diseases,wd_ce,14,wd=0.01,0.7721140763997905,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
oral_diseases,wd_wce,14,wd=1.0,0.769394732251875,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
