mean_diff,sd,se_nb,wins,ci_lo,ci_hi,p_nb,tost_p,equivalent,mde_post,n_folds,arm,base,dataset,family,holm_p,sig_holm,mde_floor,passes_gate,verdict_code
0.08131834997801386,0.02767416813122478,0.015573124313675064,15,0.0479173202607545,0.11471937969527322,0.00012935145899360754,0.9992559909474917,False,0.04691935474153313,15,w16_ft2_noaug,w16_ft0_noaug,aptos2019,w16_noaug,0.0003880543769808226,True,0.019,True,gate_passed
-0.008965060950311651,0.01661003536243686,0.009346989016154397,4,-0.029012358564273533,0.011082236663650233,0.35376126618251685,0.12871826931352304,False,0.0281609961225994,15,w16_ft0,w16_ft0_noaug,aptos2019,w16_noaug,0.38452045134970264,False,0.019,False,undetectable
-0.01845799653956546,0.023942230344242945,0.013473045611688895,2,-0.04735480541322519,0.010438812334094268,0.19226022567485132,0.45525275508371793,False,0.0405921505390275,15,w16_ft2,w16_ft2_noaug,aptos2019,w16_noaug,0.38452045134970264,False,0.019,False,undetectable
0.09028341092832551,0.02589670696502055,0.014572891042966695,15,0.05902766821489394,0.12153915364175708,2.3326120418514024e-05,0.9998646614417644,False,0.04390581046439412,15,w16_ft2_noaug,w16_ft0,aptos2019,w16_noaug_secondary,4.665224083702805e-05,True,0.019,True,gate_passed
0.0628603534384484,0.02921626140319661,0.016440908671774807,15,0.027598111381953408,0.09812259549494338,0.0018627134422301104,0.989651948993533,False,0.04953385144217797,15,w16_ft2,w16_ft0_noaug,aptos2019,w16_noaug_secondary,0.0018627134422301104,True,0.019,True,gate_passed
0.040649842360368685,0.05447072562473264,0.030652389534807124,10,-0.025092994666756643,0.10639267938749401,0.20601793100658136,0.7442571554010453,False,0.0923507903289753,15,w16_ft2_noaug,w16_ft0_noaug,oral_diseases,w16_noaug,0.6180537930197441,False,0.032,False,undetectable
-0.00014467501309605167,0.03294012899503878,0.01853644602127841,5,-0.039901397680840923,0.039612047654648826,0.9938827857290092,0.15111045192282968,False,0.055847373269596635,15,w16_ft0,w16_ft0_noaug,oral_diseases,w16_noaug,1.0,False,0.032,False,undetectable
0.006580222896012367,0.04478596485910413,0.025202470222466057,9,-0.04747369973977769,0.06063414553180242,0.7978213214929607,0.3013719246556436,False,0.07593104741946023,15,w16_ft2,w16_ft2_noaug,oral_diseases,w16_noaug,1.0,False,0.032,False,undetectable
0.040794517373464734,0.05856458542949886,0.032956133132810636,10,-0.029889358255034387,0.11147839300196385,0.2361322038681109,0.7308890900054863,False,0.09929160457607834,15,w16_ft2_noaug,w16_ft0,oral_diseases,w16_noaug_secondary,0.2632450385376547,False,0.032,False,undetectable
0.04723006525638105,0.05241304940748187,0.029494470446631057,12,-0.01602928232473832,0.11048941283750041,0.13162251926882734,0.8142360621948962,False,0.08886216368182151,15,w16_ft2,w16_ft0_noaug,oral_diseases,w16_noaug_secondary,0.2632450385376547,False,0.032,False,undetectable
