cls,n_pos,prevalence,mean_p,ovr_intercept,ovr_slope,ovr_converged,ovr_brier,cw_ece_em,cw_ece_db,dataset,arm,scaling,repeat,exploratory
0,1805,0.4929000546149645,0.49270150308176863,0.25322948360156483,0.6080269501379715,True,0.016477957167984954,0.005184399032297329,0.006767845021553808,aptos2019,B0,none,0,탐색적/exploratory
1,370,0.1010376843255052,0.10103963604026468,-0.4270641706126538,0.48498300972465364,True,0.057993637350667954,0.040814122080374604,0.0715206777411743,aptos2019,B0,none,0,탐색적/exploratory
2,999,0.272801747678864,0.27049479313903063,0.062276074630461926,0.47366670229808416,True,0.10233901018596342,0.06753810073441949,0.10043015679970144,aptos2019,B0,none,0,탐색적/exploratory
3,193,0.052703440742763515,0.05518560692823952,-0.9545366138103211,0.4044628064299673,True,0.04713867463032135,0.03456084360674909,0.07491465058501204,aptos2019,B0,none,0,탐색적/exploratory
4,295,0.08055707263790278,0.08057846081069647,-0.7276399741326112,0.43316484242846093,True,0.05331077892621547,0.036593763538925496,0.0632560564036835,aptos2019,B0,none,0,탐색적/exploratory
0,1805,0.4929000546149645,0.49440934804874576,0.16336797264568897,0.6094651944580856,True,0.016416210018874236,0.0057543073623744076,0.006028187060894377,aptos2019,B0,none,1,탐색적/exploratory
1,370,0.1010376843255052,0.09984679064982646,-0.443048742222708,0.45980467141473874,True,0.05894915371890775,0.03995227968037662,0.06470189517125133,aptos2019,B0,none,1,탐색적/exploratory
2,999,0.272801747678864,0.2690690182645708,0.06623799370598342,0.4551532319261391,True,0.10644323071551408,0.07475497144701408,0.10704480876050389,aptos2019,B0,none,1,탐색적/exploratory
3,193,0.052703440742763515,0.054633361523041976,-0.925807144945797,0.41153664079629226,True,0.047841803416226916,0.034513177593002084,0.07412825253051489,aptos2019,B0,none,1,탐색적/exploratory
4,295,0.08055707263790278,0.08204148151381488,-0.7679843969693915,0.42142693440188744,True,0.055505460229475403,0.03605368203686159,0.06948827075146467,aptos2019,B0,none,1,탐색적/exploratory
0,1805,0.4929000546149645,0.4926683692553947,0.22675388411982583,0.6295618092241979,True,0.014423944434185368,0.005106728974716517,0.007401213770008521,aptos2019,B0,none,2,탐색적/exploratory
1,370,0.1010376843255052,0.10302304398320264,-0.5108114077502817,0.45192761587626634,True,0.059960499406671884,0.042071521461947495,0.07183919811657345,aptos2019,B0,none,2,탐색적/exploratory
2,999,0.272801747678864,0.27254655894928914,0.05014070979258312,0.47042128921089815,True,0.1007262424325523,0.06529666890539064,0.0984007301266603,aptos2019,B0,none,2,탐색적/exploratory
3,193,0.052703440742763515,0.053602611061372644,-0.9160282514592855,0.40866209549301225,True,0.04700803732880404,0.03571552864265235,0.07564249945914531,aptos2019,B0,none,2,탐색적/exploratory
4,295,0.08055707263790278,0.0781594167507408,-0.7205004761013324,0.41966197576039893,True,0.0552512317783577,0.03806674567376872,0.06555702045592547,aptos2019,B0,none,2,탐색적/exploratory
0,1805,0.4929000546149645,0.49341509802536887,0.20246781275449574,0.5761288008770956,True,0.018048228064514338,0.007980644369360112,0.010870711851822453,aptos2019,B0d,none,0,탐색적/exploratory
1,370,0.1010376843255052,0.0973265553286024,-0.547755562565919,0.37242990711580176,True,0.06757624531085107,0.05093130436788976,0.08792707221413894,aptos2019,B0d,none,0,탐색적/exploratory
2,999,0.272801747678864,0.2696182462334586,0.016843975608660258,0.3502092718759295,True,0.12217026831563657,0.10184796015040612,0.14880296807763863,aptos2019,B0d,none,0,탐색적/exploratory
3,193,0.052703440742763515,0.05551982079574144,-1.0622636705884734,0.3393608414171109,True,0.051007154135750465,0.04459107124637303,0.097252007764882,aptos2019,B0d,none,0,탐색적/exploratory
4,295,0.08055707263790278,0.08412027961682858,-0.9265416556687867,0.3241356972640564,True,0.058753601548052606,0.05148499253011972,0.09046780948195937,aptos2019,B0d,none,0,탐색적/exploratory
0,1805,0.4929000546149645,0.49615368030896284,0.10216303453431899,0.5575949585020751,True,0.019222951615517483,0.009608177486499557,0.013359905114664984,aptos2019,B0d,none,1,탐색적/exploratory
1,370,0.1010376843255052,0.09443339888566371,-0.5500677396465956,0.3606584153520734,True,0.06774898963144867,0.0506095862835745,0.08908153250517448,aptos2019,B0d,none,1,탐색적/exploratory
2,999,0.272801747678864,0.270702244494365,0.011955643329828654,0.33528079337279365,True,0.1260366573623976,0.1055053141206377,0.15065443532970327,aptos2019,B0d,none,1,탐색적/exploratory
3,193,0.052703440742763515,0.05615795464022928,-1.185884328316387,0.30162464856403626,True,0.05639207423111379,0.04991087640744861,0.11038599800730431,aptos2019,B0d,none,1,탐색적/exploratory
4,295,0.08055707263790278,0.08255272167077916,-0.9054837665013772,0.326422548099966,True,0.05716138202198928,0.04398075125285139,0.08032041701942262,aptos2019,B0d,none,1,탐색적/exploratory
0,1805,0.4929000546149645,0.4921612945902619,0.2741833475813159,0.5576770348487177,True,0.018676489245605814,0.007455503993077748,0.009525616501014722,aptos2019,B0d,none,2,탐색적/exploratory
1,370,0.1010376843255052,0.10291046275657986,-0.6352510831020552,0.3572263440598708,True,0.07147990425857588,0.05718553167892579,0.10122590499289065,aptos2019,B0d,none,2,탐색적/exploratory
2,999,0.272801747678864,0.26813586651674925,0.010980823383535745,0.3385754848228622,True,0.12436890048940673,0.10000553301058616,0.1458019802885196,aptos2019,B0d,none,2,탐색적/exploratory
3,193,0.052703440742763515,0.05514779112590769,-1.1064831623999083,0.32106700394907417,True,0.052975152141535795,0.042303266988019506,0.09108598335671793,aptos2019,B0d,none,2,탐색적/exploratory
4,295,0.08055707263790278,0.08164458501050122,-0.9143665052199935,0.3106961992086146,True,0.06168605978652731,0.04814062865550115,0.09153298178734819,aptos2019,B0d,none,2,탐색적/exploratory
0,1805,0.4929000546149645,0.48596366709615396,0.7227818964841166,0.6256263095357337,True,0.01639312128014901,0.008597317047352122,0.020185842141050507,aptos2019,B1,none,0,탐색적/exploratory
1,370,0.1010376843255052,0.11876737780483528,-0.7398029101992971,0.473461111775407,True,0.06164420748293453,0.047927893157249185,0.09282121612719456,aptos2019,B1,none,0,탐색적/exploratory
2,999,0.272801747678864,0.23122992067671813,0.3751668771908315,0.45582154423105387,True,0.111529575538531,0.08271339267267305,0.13358474573791848,aptos2019,B1,none,0,탐색적/exploratory
3,193,0.052703440742763515,0.07027181329689193,-1.2836355535679183,0.34677104491740685,True,0.0545719231582486,0.04386119560758673,0.1130528113167987,aptos2019,B1,none,0,탐색적/exploratory
4,295,0.08055707263790278,0.09376722112540069,-0.9814608410739949,0.3755380809318973,True,0.05902873137127219,0.05014643237143572,0.09300585139334461,aptos2019,B1,none,0,탐색적/exploratory
0,1805,0.4929000546149645,0.48675920895935193,0.6562148684971315,0.6258004687863895,True,0.016189769756353042,0.008386866497377656,0.019234524299169956,aptos2019,B1,none,1,탐색적/exploratory
1,370,0.1010376843255052,0.11843592911615002,-0.7524085687884504,0.4459299722016899,True,0.06308565580559462,0.045820637261066034,0.08841179564100504,aptos2019,B1,none,1,탐색적/exploratory
2,999,0.272801747678864,0.22976209108604173,0.3571284610938026,0.4351435255615031,True,0.1159004015313515,0.0848802898439409,0.13236982921436666,aptos2019,B1,none,1,탐색적/exploratory
3,193,0.052703440742763515,0.06943479593362242,-1.2473968573954806,0.35448004476405925,True,0.054733462621538886,0.04276042007531924,0.10676238661874934,aptos2019,B1,none,1,탐색적/exploratory
4,295,0.08055707263790278,0.09560797490483385,-1.0149040548834785,0.3694363250326805,True,0.06215890378083605,0.04890866901944968,0.09855089206210003,aptos2019,B1,none,1,탐색적/exploratory
