row_kind,design_K,rho,family,dataset,arm,base,source,n_folds_archived,mean_diff,abs_obs_delta,wins,sd,sd_ci_lo,sd_ci_hi,se_nb_design_R3,ttest_p_nb,r10_noise,r10_note,mde_inf,mde_inf_lo,mde_inf_hi,irreducible_share_n15,mde_floor_target,R_min_floor,R_min_floor_status,R_min_obs_delta,R_min_obs_delta_status,exploratory,mde80_R3,mde80_R5,mde80_R10,mde80_R20,mde80_R50,mde80_R100,note
sensitivity_K10_exploratory,10,0.1111111111111111,oral_wave1,oral_diseases,A2,A0,arm_stats.csv,15,0.003133908002329059,0.003133908002329059,4,0.01302350416528001,0.009534853625598359,0.020539355556144116,0.004949693132642843,0.6754327424381351,True,잡음 수준 — 부호 해석 금지,0.012162152252493716,0.008904234991449067,0.019180918305219938,0.625,0.032,1.0,reached,,unreachable_asymptote,탐색적/exploratory,0.014351247320819792,0.013480314503981584,0.012824105655970435,0.012494041941501983,0.012295153882855799,0.012228696326576211,탐색적 감도 — K=10 은 사전 등록 설계가 아니다 / exploratory sensitivity only
primary_K5,5,0.25,oral_wave1,oral_diseases,A3,A0,arm_stats.csv,15,-0.010574712811554931,0.010574712811554931,7,0.03251963056982425,0.023808486065404606,0.05128667725301972,0.018299818339516882,0.5725371371576791,True,잡음 수준 — 부호 해석 금지,0.04555325815145712,0.03335075131324306,0.07184199843909533,0.7894736842105263,0.032,,unreachable_asymptote,,unreachable_asymptote,탐색적/exploratory,0.05513445157715971,0.05114928712724715,0.04830364543432118,0.04691800283700243,0.04609682938924036,0.04582467090699515,사전 등록 설계(K=5·R=3)
sensitivity_K10_exploratory,10,0.1111111111111111,oral_wave1,oral_diseases,A3,A0,arm_stats.csv,15,-0.010574712811554931,0.010574712811554931,7,0.03251963056982425,0.023808486065404606,0.05128667725301972,0.01235936120300543,0.5725371371576791,True,잡음 수준 — 부호 해석 금지,0.030368838767638073,0.02223383420882871,0.04789466562606355,0.625,0.032,11.0,reached,,unreachable_asymptote,탐색적/exploratory,0.035834999180437976,0.033660283904481676,0.032021733400473464,0.031197565809109453,0.030700943232739707,0.030534999017468742,탐색적 감도 — K=10 은 사전 등록 설계가 아니다 / exploratory sensitivity only
primary_K5,5,0.25,oral_wave1,oral_diseases,A4,A0,arm_stats.csv,15,-0.009443431811852905,0.009443431811852905,5,0.02917708400955642,0.02136131886797193,0.0460151503741529,0.01641886232087633,0.5743127833475061,True,잡음 수준 — 부호 해석 금지,0.040871043634406766,0.029922777589953903,0.0644576825487361,0.7894736842105263,0.032,,unreachable_asymptote,,unreachable_asymptote,탐색적/exploratory,0.04946742928194044,0.045891881961458526,0.04333873097909034,0.04209551235204037,0.04135874362951977,0.04111455909355675,사전 등록 설계(K=5·R=3)
sensitivity_K10_exploratory,10,0.1111111111111111,oral_wave1,oral_diseases,A4,A0,arm_stats.csv,15,-0.009443431811852905,0.009443431811852905,5,0.02917708400955642,0.02136131886797193,0.0460151503741529,0.011088998054583084,0.5743127833475061,True,잡음 수준 — 부호 해석 금지,0.027247362422937838,0.0199485183933026,0.04297178836582406,0.625,0.032,4.0,reached,,unreachable_asymptote,탐색적/exploratory,0.03215168079246956,0.03020049471834727,0.028730363450813406,0.027990908339244735,0.027545331363803074,0.02739644380803995,탐색적 감도 — K=10 은 사전 등록 설계가 아니다 / exploratory sensitivity only
primary_K5,5,0.25,oral_mixup,oral_diseases,A5,A0,w2_arm_stats.csv,15,-0.036776050460260994,0.036776050460260994,2,0.03991709172682694,0.029224364037871445,0.06295320593748124,0.022462602263403054,0.12385882139756972,False,,0.05591556706596891,0.04093727314862643,0.0881843855936345,0.7894736842105263,0.032,,unreachable_asymptote,,unreachable_asymptote,탐색적/exploratory,0.06767625961150876,0.0627845627469921,0.05929160361775736,0.05759075949103791,0.05658278814377514,0.056248719923759856,사전 등록 설계(K=5·R=3)
sensitivity_K10_exploratory,10,0.1111111111111111,oral_mixup,oral_diseases,A5,A0,w2_arm_stats.csv,15,-0.036776050460260994,0.036776050460260994,2,0.03991709172682694,0.029224364037871445,0.06295320593748124,0.015170829009452061,0.12385882139756972,False,,0.03727704471064593,0.027291515432417618,0.05878959039575633,0.625,0.032,,unreachable_asymptote,,unreachable_asymptote,탐색적/exploratory,0.04398662974491599,0.041317217219958506,0.03930593450790253,0.03829428791886402,0.037684695233239876,0.037481002560646785,탐색적 감도 — K=10 은 사전 등록 설계가 아니다 / exploratory sensitivity only
primary_K5,5,0.25,oral_mixup,oral_diseases,A5s,A0,w2_arm_stats.csv,15,-0.005556456214350977,0.005556456214350977,7,0.033623416048353096,0.024616596758062208,0.05302745624103221,0.01892095312453556,0.7733210043754614,True,잡음 수준 — 부호 해석 금지,0.04709943269176419,0.03448274679881735,0.07428046877950405,0.7894736842105263,0.032,,unreachable_asymptote,,unreachable_asymptote,탐색적/exploratory,0.05700583221559756,0.052885402801960454,0.049943173973119655,0.04851049971675214,0.04766145389433172,0.04738005777391852,사전 등록 설계(K=5·R=3)
sensitivity_K10_exploratory,10,0.1111111111111111,oral_mixup,oral_diseases,A5s,A0,w2_arm_stats.csv,15,-0.005556456214350977,0.005556456214350977,7,0.033623416048353096,0.024616596758062208,0.05302745624103221,0.012778864228738722,0.7733210043754614,True,잡음 수준 — 부호 해석 금지,0.03139962179450946,0.02298849786587823,0.04952031251966937,0.625,0.032,29.0,reached,,unreachable_asymptote,탐색적/exploratory,0.03705131532626663,0.03480278558503277,0.03310861918931641,0.03225647759568727,0.031742998592030336,0.031571421876886135,탐색적 감도 — K=10 은 사전 등록 설계가 아니다 / exploratory sensitivity only
primary_K5,5,0.25,aptos_mixup,aptos2019,B5,B0,w2_arm_stats.csv,15,-0.0016552426324812687,0.0016552426324812687,7,0.019968223198021776,0.014619267052871683,0.031491865083593376,0.01123674687208171,0.8849906933119693,True,잡음 수준 — 부호 해석 금지,0.027971339471779138,0.020478561237485624,0.04411357185450156,0.7894736842105263,0.019,,unreachable_asymptote,,unreachable_asymptote,탐색적/exploratory,0.03385453695820379,0.03140750260319125,0.0296601762200106,0.028809341811036032,0.028305111769000517,0.028137996668875426,사전 등록 설계(K=5·R=3)
sensitivity_K10_exploratory,10,0.1111111111111111,aptos_mixup,aptos2019,B5,B0,w2_arm_stats.csv,15,-0.0016552426324812687,0.0016552426324812687,7,0.019968223198021776,0.014619267052871683,0.031491865083593376,0.007589092457759648,0.8849906933119693,True,잡음 수준 — 부호 해석 금지,0.018647559647852755,0.013652374158323747,0.02940904790300104,0.625,0.019,29.0,reached,,unreachable_asymptote,탐색적/exploratory,0.02200397880903049,0.02066862538522074,0.01966249642213136,0.019156427868197556,0.01885148373825625,0.0187495880195507,탐색적 감도 — K=10 은 사전 등록 설계가 아니다 / exploratory sensitivity only
primary_K5,5,0.25,aptos_mixup,aptos2019,B5s,B0,w2_arm_stats.csv,15,0.0005720958116253394,0.0005720958116253394,7,0.015445457849307164,0.01130803030463243,0.024359016319133345,0.008691644642336838,0.9484507552895772,True,잡음 수준 — 부호 해석 금지,0.021635883198802934,0.01584020527371585,0.03412193002372827,0.7894736842105263,0.019,,unreachable_asymptote,,unreachable_asymptote,탐색적/exploratory,0.026186547416374585,0.024293761783354573,0.02294220157027197,0.02228407956961952,0.02189405669260232,0.021764792851279646,사전 등록 설계(K=5·R=3)
sensitivity_K10_exploratory,10,0.1111111111111111,aptos_mixup,aptos2019,B5s,B0,w2_arm_stats.csv,15,0.0005720958116253394,0.0005720958116253394,7,0.015445457849307164,0.01130803030463243,0.024359016319133345,0.005870177156394871,0.9484507552895772,True,잡음 수준 — 부호 해석 금지,0.014423922132535289,0.0105601368491439,0.02274795334915218,0.625,0.019,2.0,reached,,unreachable_asymptote,탐색적/exploratory,0.01702011860752829,0.015987220246124517,0.01520897761851288,0.014817532649116765,0.014581657796422374,0.014502841268147224,탐색적 감도 — K=10 은 사전 등록 설계가 아니다 / exploratory sensitivity only
primary_K5,5,0.25,oral_d2,oral_diseases,A2d,A0d,w2_arm_stats.csv,15,-0.0019291673239041796,0.0019291673239041796,4,0.012306558445285666,0.009009958604190092,0.01940866116924652,0.006925287279934563,0.7846482330715068,True,잡음 수준 — 부호 해석 금지,0.017238936113077818,0.012621083420654359,0.027187509117562104,0.7894736842105263,0.032,1.0,reached,,unreachable_asymptote,탐색적/exploratory,0.020864792705016132,0.01935666797058472,0.01827977825213783,0.017755402934541073,0.017444642361572633,0.017341648132873158,사전 등록 설계(K=5·R=3)
sensitivity_K10_exploratory,10,0.1111111111111111,oral_d2,oral_diseases,A2d,A0d,w2_arm_stats.csv,15,-0.0019291673239041796,0.0019291673239041796,4,0.012306558445285666,0.009009958604190092,0.01940866116924652,0.0046772118356203235,0.7846482330715068,True,잡음 수준 — 부호 해석 금지,0.011492624075385212,0.008414055613769572,0.018125006078374736,0.625,0.032,1.0,reached,,unreachable_asymptote,탐색적/exploratory,0.013561209155003242,0.01273822131115467,0.01211813685171309,0.011806243190742567,0.011618303947453196,0.0115555048889121,탐색적 감도 — K=10 은 사전 등록 설계가 아니다 / exploratory sensitivity only
primary_K5,5,0.25,aptos_d2,aptos2019,B1d,B0d,w2_arm_stats.csv,15,0.0038582719254135257,0.0038582719254135257,11,0.009019965354650434,0.006603756429382703,0.014225378452073738,0.005075818037490424,0.45978825330634493,True,잡음 수준 — 부호 해석 금지,0.012635100802739876,0.009250493198288528,0.019926804996696263,0.7894736842105263,0.019,2.0,reached,,unreachable_asymptote,탐색적/exploratory,0.015292635074861501,0.014187270572223173,0.01339797533632469,0.013013639844108468,0.0127858710804668,0.012710382520547427,사전 등록 설계(K=5·R=3)
sensitivity_K10_exploratory,10,0.1111111111111111,aptos_d2,aptos2019,B1d,B0d,w2_arm_stats.csv,15,0.0038582719254135257,0.0038582719254135257,11,0.009019965354650434,0.006603756429382703,0.014225378452073738,0.0034281142775393516,0.45978825330634493,True,잡음 수준 — 부호 해석 금지,0.008423400535159917,0.006166995465525685,0.013284536664464174,0.625,0.019,1.0,reached,,unreachable_asymptote,탐색적/exploratory,0.0099395486796031,0.009336348209559725,0.008881863686856891,0.008653264438025719,0.008515516303907953,0.008469488380271646,탐색적 감도 — K=10 은 사전 등록 설계가 아니다 / exploratory sensitivity only
primary_K5,5,0.25,aptos_d2,aptos2019,B3d,B0d,w2_arm_stats.csv,15,0.007416021244600679,0.007416021244600679,12,0.016501940142293493,0.012081509077612466,0.026025193499946656,0.009286160437928504,0.43785513735950765,True,잡음 수준 — 부호 해석 금지,0.02311579578641723,0.016923688622168365,0.03645589870399013,0.7894736842105263,0.019,,unreachable_asymptote,,unreachable_asymptote,탐색적/exploratory,0.027977729259591213,0.025955475499098733,0.024511467431963647,0.02380832933356274,0.023391628564090144,0.02325352296742339,사전 등록 설계(K=5·R=3)
sensitivity_K10_exploratory,10,0.1111111111111111,aptos_d2,aptos2019,B3d,B0d,w2_arm_stats.csv,15,0.007416021244600679,0.007416021244600679,12,0.016501940142293493,0.012081509077612466,0.026025193499946656,0.00627170220556667,0.43785513735950765,True,잡음 수준 — 부호 해석 금지,0.015410530524278153,0.011282459081445574,0.02430393246932675,0.625,0.019,3.0,reached,,unreachable_asymptote,탐색적/exploratory,0.018184309019286613,0.017080759542200532,0.016249284465040256,0.015831064330875288,0.015579055440092571,0.015494847795067773,탐색적 감도 — K=10 은 사전 등록 설계가 아니다 / exploratory sensitivity only
primary_K5,5,0.25,aptos_d2,aptos2019,B4d,B0d,w2_arm_stats.csv,15,0.008805242612504113,0.008805242612504113,13,0.014900688695028015,0.010909190324249852,0.023499861423971626,0.008385085915020567,0.31145851051795453,True,잡음 수준 — 부호 해석 금지,0.02087277459384675,0.015281513176999703,0.03291843219655104,0.7894736842105263,0.019,,unreachable_asymptote,,unreachable_asymptote,탐색적/exploratory,0.025262934569886573,0.023436908448859803,0.0221330184519289,0.021498108748976254,0.02112184217720654,0.020997137537314036,사전 등록 설계(K=5·R=3)
sensitivity_K10_exploratory,10,0.1111111111111111,aptos_d2,aptos2019,B4d,B0d,w2_arm_stats.csv,15,0.008805242612504113,0.008805242612504113,13,0.014900688695028015,0.010909190324249852,0.023499861423971626,0.005663133022374495,0.31145851051795453,True,잡음 수준 — 부호 해석 금지,0.0139151830625645,0.010187675451333134,0.02194562146436736,0.625,0.019,2.0,reached,,unreachable_asymptote,탐색적/exploratory,0.01641981036739607,0.01542334285655614,0.014672549242253419,0.014294910736026303,0.014067355309358109,0.013991318680123217,탐색적 감도 — K=10 은 사전 등록 설계가 아니다 / exploratory sensitivity only
