bacc,mcc,macro_mae,classmean_mae,per_class_recall,arm,dataset,fold,alpha,n_train,n_test,epochs
0.6851469212551893,0.7684203927023286,0.19645293315143247,0.40761441635360607,"[0.9861495844875346, 0.6621621621621622, 0.85, 0.4358974358974359, 0.4915254237288136]",B6s05,aptos2019,0,0.5,2929,733,200
0.6465108765383426,0.7261416672181329,0.23465211459754434,0.46349691091012285,"[0.9778393351800554, 0.6891891891891891, 0.775, 0.28205128205128205, 0.5084745762711864]",B6s05,aptos2019,1,0.5,2929,733,200
0.6832129258701399,0.738763396931224,0.2226775956284153,0.4163500113569601,"[0.9722991689750693, 0.6891891891891891, 0.78, 0.5, 0.4745762711864407]",B6s05,aptos2019,2,0.5,2930,732,200
0.6386809201802394,0.7099250772772665,0.24726775956284153,0.47468369153227596,"[0.9722991689750693, 0.6081081081081081, 0.77, 0.3684210526315789, 0.4745762711864407]",B6s05,aptos2019,3,0.5,2930,732,200
0.6396886899669605,0.7205570605682559,0.23087431693989072,0.46234907204865694,"[0.9861495844875346, 0.527027027027027, 0.7839195979899497, 0.358974358974359, 0.5423728813559322]",B6s05,aptos2019,4,0.5,2930,732,200
0.6491208962956463,0.7599711628007834,0.2019099590723056,0.44501469692469275,"[0.9889196675900277, 0.6081081081081081, 0.875, 0.28205128205128205, 0.4915254237288136]",B6s05,aptos2019,5,0.5,2929,733,200
0.6614536467327208,0.7332253861731444,0.21828103683492497,0.4119118465310775,"[0.9833795013850416, 0.5675675675675675, 0.795, 0.4358974358974359, 0.5254237288135594]",B6s05,aptos2019,6,0.5,2929,733,200
0.6545800196177209,0.7015884865060507,0.2540983606557377,0.45406908711613153,"[0.9750692520775623, 0.7162162162162162, 0.69, 0.5526315789473685, 0.3389830508474576]",B6s05,aptos2019,7,0.5,2930,732,200
0.6471226310586844,0.7195770143324495,0.24180327868852458,0.4618457115738209,"[0.9806094182825484, 0.6081081081081081, 0.77, 0.3684210526315789, 0.5084745762711864]",B6s05,aptos2019,8,0.5,2930,732,200
0.5920008228932068,0.693571147972706,0.25956284153005466,0.5332274122776709,"[0.9778393351800554, 0.5945945945945946, 0.7839195979899497, 0.23076923076923078, 0.3728813559322034]",B6s05,aptos2019,9,0.5,2930,732,200
0.6732651505442246,0.759731417409033,0.20600272851296045,0.41909078165916513,"[0.9833795013850416, 0.6891891891891891, 0.835, 0.3333333333333333, 0.5254237288135594]",B6s05,aptos2019,10,0.5,2929,733,200
0.6324639756609332,0.7099595980819726,0.24420190995907232,0.4720052951968535,"[0.9778393351800554, 0.6756756756756757, 0.76, 0.358974358974359, 0.3898305084745763]",B6s05,aptos2019,11,0.5,2929,733,200
0.6130878406929395,0.7112026040852697,0.24180327868852458,0.48993665481059256,"[0.9806094182825484, 0.6081081081081081, 0.805, 0.3157894736842105, 0.3559322033898305]",B6s05,aptos2019,12,0.5,2930,732,200
0.661005094770342,0.7487686683962158,0.21584699453551912,0.45143647525641983,"[0.9833795013850416, 0.6486486486486487, 0.83, 0.3684210526315789, 0.4745762711864407]",B6s05,aptos2019,13,0.5,2930,732,200
0.6633283955610882,0.7429980632100489,0.2226775956284153,0.4497562673319385,"[0.9806094182825484, 0.5405405405405406, 0.8341708542713567, 0.4358974358974359, 0.5254237288135594]",B6s05,aptos2019,14,0.5,2930,732,200
