variant,head,epochs,lr,preinit_bias,class_weight,bacc,per_class_recall,rank_violation_rows,n_test,bias_ordered,biases,train_loss_at,train_loss_final,w_norm,proj_std,proj_q05_25_50_75_95,thresholds_neg_b
legacy_head_HEAD,legacy,200,0.01,False,True,0.6945449340783865,"[0.9473684210526315, 0.6756756756756757, 0.615, 0.6923076923076923, 0.5423728813559322]",550,733,True,"[0.38364318013191223, -0.6837833523750305, -1.437422752380371, -1.4783607721328735]","{1: 2.7781, 50: 0.9572, 100: 0.7515, 200: 0.552}",0.5519562363624573,6.081305503845215,,,
coral_true_HEAD,coral_true,200,0.01,False,True,0.5120047579822218,"[0.7617728531855956, 0.4864864864864865, 0.37, 0.1282051282051282, 0.8135593220338984]",0,733,True,"[1.0814437866210938, -0.33610859513282776, -1.38619863986969, -1.7025140523910522]","{1: 2.7318, 50: 1.7461, 100: 1.4988, 200: 1.2279}",1.227859377861023,1.6738680601119995,1.7871806621551514,"[-2.122, -1.47, -0.527, 1.404, 3.126]","[-1.081, 0.336, 1.386, 1.703]"
coral_true_HEAD_preinit_bias,coral_true,200,0.01,True,True,0.4765808930348111,"[0.6149584487534626, 0.5405405405405406, 0.26, 0.15384615384615385, 0.8135593220338984]",0,733,True,"[1.2194525003433228, -0.19963577389717102, -1.0287957191467285, -1.4684984683990479]","{1: 2.7808, 50: 1.8764, 100: 1.6042, 200: 1.2905}",1.2905162572860718,1.8532044887542725,1.6931809186935425,"[-1.943, -1.361, -0.505, 1.231, 3.076]","[-1.219, 0.2, 1.029, 1.468]"
coral_true_HEAD_no_weight,coral_true,200,0.01,False,False,0.5465661507213223,"[0.9944598337950139, 0.28378378378378377, 0.505, 0.05128205128205128, 0.8983050847457628]",0,733,True,"[0.22865256667137146, -0.4980786442756653, -1.6145581007003784, -1.673431396484375]","{1: 2.6271, 50: 1.6106, 100: 1.3501, 200: 1.0427}",1.0427278280258179,1.428411602973938,1.9481226205825806,"[-2.26, -1.703, -0.448, 1.576, 3.049]","[-0.229, 0.498, 1.615, 1.673]"
coral_true_1000ep,coral_true,1000,0.01,False,True,0.5968798133638736,"[0.9085872576177285, 0.5675675675675675, 0.47, 0.5128205128205128, 0.5254237288135594]",0,733,True,"[1.4265729188919067, -1.480078935623169, -3.621947765350342, -5.342055320739746]","{1: 2.7318, 50: 1.7461, 100: 1.4988, 200: 1.2279, 500: 0.8845, 1000: 0.6798}",0.6798490881919861,6.3909759521484375,3.801785707473755,"[-4.743, -3.28, -0.558, 3.176, 6.122]","[-1.427, 1.48, 3.622, 5.342]"
coral_true_2000ep,coral_true,2000,0.01,False,True,0.5869574632471952,"[0.925207756232687, 0.581081081081081, 0.475, 0.5128205128205128, 0.4406779661016949]",0,733,True,"[1.6789206266403198, -2.443898916244507, -5.536554336547852, -7.896924018859863]","{1: 2.7318, 50: 1.7461, 100: 1.4988, 200: 1.2279, 500: 0.8845, 1000: 0.6798, 2000: 0.5243}",0.5243028402328491,12.418758392333984,5.558337211608887,"[-7.191, -4.852, -0.567, 4.761, 8.642]","[-1.679, 2.444, 5.537, 7.897]"
coral_true_lr0.1,coral_true,200,0.1,False,True,0.6075208235824697,"[0.9058171745152355, 0.6081081081081081, 0.485, 0.5641025641025641, 0.4745762711864407]",0,733,True,"[1.6097112894058228, -2.0913257598876953, -4.637618541717529, -6.972535610198975]","{1: 2.7318, 50: 1.1209, 100: 0.8636, 200: 0.6764}",0.6764419078826904,5.168237686157227,4.5138349533081055,"[-5.683, -4.025, -0.443, 3.925, 7.34]","[-1.61, 2.091, 4.638, 6.973]"
legacy_head_2000ep,legacy,2000,0.01,False,True,0.6350876270564989,"[0.9584487534626038, 0.581081081081081, 0.725, 0.48717948717948717, 0.423728813559322]",545,733,False,"[1.0996133089065552, -2.3510971069335938, -5.567082405090332, -5.556326866149902]","{1: 2.7781, 50: 0.9572, 100: 0.7515, 200: 0.552, 500: 0.3216, 1000: 0.1836, 2000: 0.0876}",0.08757323771715164,32.772098541259766,,,
