arm,dataset,repr,fold,n_train,n_test,bacc,mcc,macro_mae,per_class_recall,source,device,exploratory
B1,aptos2019,cls,6,2929,733,0.7017784607029173,0.7249539490024177,0.2551159618008186,"[0.9806094182825484, 0.7027027027027027, 0.66, 0.5384615384615384, 0.6271186440677966]",사전 등록 fold_scores_*.csv (읽기 전용),,탐색적/exploratory (사후 표현 · §B 판정 불변)
B1,aptos2019,cls,7,2930,732,0.6726985888184067,0.7104438966442103,0.2704918032786885,"[0.9806094182825484, 0.6756756756756757, 0.68, 0.5526315789473685, 0.4745762711864407]",사전 등록 fold_scores_*.csv (읽기 전용),,탐색적/exploratory (사후 표현 · §B 판정 불변)
B1,aptos2019,cls,8,2930,732,0.6370742745186616,0.6752887600165209,0.2950819672131147,"[0.96398891966759, 0.7027027027027027, 0.64, 0.42105263157894735, 0.4576271186440678]",사전 등록 fold_scores_*.csv (읽기 전용),,탐색적/exploratory (사후 표현 · §B 판정 불변)
B1,aptos2019,cls,9,2930,732,0.6073471446234601,0.6662908859603406,0.314207650273224,"[0.9667590027700831, 0.5945945945945946, 0.6683417085427136, 0.23076923076923078, 0.576271186440678]",사전 등록 fold_scores_*.csv (읽기 전용),,탐색적/exploratory (사후 표현 · §B 판정 불변)
B1,aptos2019,cls,10,2929,733,0.6824855952392458,0.7228629352874615,0.242837653478854,"[0.9833795013850416, 0.6486486486486487, 0.7, 0.48717948717948717, 0.5932203389830508]",사전 등록 fold_scores_*.csv (읽기 전용),,탐색적/exploratory (사후 표현 · §B 판정 불변)
B1,aptos2019,cls,11,2929,733,0.6170272611290969,0.6594792217911875,0.3246930422919509,"[0.96398891966759, 0.6621621621621622, 0.625, 0.41025641025641024, 0.423728813559322]",사전 등록 fold_scores_*.csv (읽기 전용),,탐색적/exploratory (사후 표현 · §B 판정 불변)
B1,aptos2019,cls,12,2930,732,0.633974861146888,0.6983007824209505,0.2814207650273224,"[0.9833795013850416, 0.7432432432432432, 0.685, 0.3684210526315789, 0.3898305084745763]",사전 등록 fold_scores_*.csv (읽기 전용),,탐색적/exploratory (사후 표현 · §B 판정 불변)
B1,aptos2019,cls,13,2930,732,0.6739827742198277,0.7271452006004829,0.25,"[0.9722991689750693, 0.6891891891891891, 0.745, 0.42105263157894735, 0.5423728813559322]",사전 등록 fold_scores_*.csv (읽기 전용),,탐색적/exploratory (사후 표현 · §B 판정 불변)
B1,aptos2019,cls,14,2930,732,0.6691026424499651,0.6955467045854117,0.2704918032786885,"[0.9750692520775623, 0.6216216216216216, 0.6432160804020101, 0.46153846153846156, 0.6440677966101694]",사전 등록 fold_scores_*.csv (읽기 전용),,탐색적/exploratory (사후 표현 · §B 판정 불변)
B3,aptos2019,cls,0,2929,733,0.6945449340783865,0.6889457172180967,0.2551159618008186,"[0.9473684210526315, 0.6756756756756757, 0.615, 0.6923076923076923, 0.5423728813559322]",사전 등록 fold_scores_*.csv (읽기 전용),,탐색적/exploratory (사후 표현 · §B 판정 불변)
