arm,fold,bacc,bacc_leakex,bacc_leaked_only,n_test,n_leaked,exploratory
B1d,3,0.6140582402675927,0.5961034255856474,0.7133333333333334,732,36,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
B1d,4,0.6026030654131957,0.5838599797071246,0.7666666666666666,732,43,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
B1d,5,0.5968278714994054,0.5750144694406989,0.8147058823529412,733,35,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
B1d,6,0.6464898787702675,0.6375062773416356,0.7619047619047619,733,36,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
B1d,7,0.6206958885266787,0.6213698382578838,0.5825396825396826,732,37,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
B1d,8,0.6293915511830906,0.6165785629215537,0.7333333333333333,732,47,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
B1d,9,0.6305321094504818,0.6248095914963138,0.5244019138755981,732,41,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
B1d,10,0.6253457742559109,0.6089646343029603,0.7597069597069597,733,45,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
B1d,11,0.6278163503262804,0.6149542449542449,0.7616666666666667,733,34,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
B1d,12,0.6391291444973308,0.6300378314985057,0.7103030303030303,732,39,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
B1d,13,0.6407021101104861,0.6225412537216226,0.7190476190476189,732,44,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
B1d,14,0.6379010308696064,0.6289072630147388,0.7142857142857142,732,43,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
B2,0,0.6544386899693722,0.6406494645838735,0.7722222222222223,733,39,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
B2,1,0.635869157896624,0.6348084626299901,0.6775,733,31,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
B2,2,0.6546326956093612,0.6640803814435099,0.36,732,42,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
B2,3,0.6460145978176871,0.6409991356493078,0.6066666666666667,732,36,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
B2,4,0.6361195979695775,0.624628048711266,0.7233333333333334,732,43,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
B2,5,0.6313665628450831,0.6203338222190682,0.7332352941176471,733,35,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
B2,6,0.6769720663033024,0.66707315477218,0.7933333333333332,733,36,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
B2,7,0.6539629522005221,0.6601033703804102,0.5444444444444445,732,37,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
B2,8,0.6690589813250971,0.6577678871551286,0.7981481481481482,732,47,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
B2,9,0.588779246732943,0.5904375811893774,0.45007974481658686,732,41,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
B2,10,0.6370491685276887,0.6140280500564702,0.8113553113553114,733,45,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
B2,11,0.6440437786488306,0.638041943041943,0.6727777777777778,733,34,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
B2,12,0.6305140515415646,0.6221084575017158,0.7034848484848485,732,39,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
B2,13,0.637812072131289,0.626539137513348,0.5880952380952381,732,44,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
B2,14,0.6942684409300319,0.7012552263679834,0.6504761904761904,732,43,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
B3,0,0.6945449340783865,0.6899555576603982,0.638888888888889,733,39,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
B3,1,0.6695709392230355,0.6754104913459543,0.6775,733,31,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
B3,2,0.6723366685150806,0.6744191035531818,0.5231111111111111,732,42,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
B3,3,0.6642890606461667,0.6588953216693673,0.5399999999999999,732,36,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
B3,4,0.6442905882279614,0.6419951473558716,0.6533333333333333,732,43,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
B3,5,0.6482167057644779,0.6469467903074462,0.6641176470588236,733,35,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
B3,6,0.6986790627535734,0.692535480792684,0.7857142857142857,733,36,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
B3,7,0.6610944911764669,0.6618608475648324,0.5928571428571429,732,37,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
