bacc,mcc,macro_mae,classmean_mae,per_class_recall,arm,dataset,fold,n_train,n_test,splitter,splits_sha256,class_weight_range
0.6630596185903008,0.7247414634787833,0.24010914051841747,0.42584502482018793,"[0.9889196675900277, 0.6081081081081081, 0.74, 0.4358974358974359, 0.5423728813559322]",w16_fz_ce_g,aptos2019,0,2929,733,"StratifiedGroupKFold(5,shuffle,rs=0)",8249f53f37446d959e44c8634ab23bf707049c4e4e0567a4a4347ba1eff0ac85,"[0.4056786703601108, 3.803896103896104]"
0.6629107731755274,0.6962844661274912,0.26875852660300137,0.43104511704892,"[0.9778393351800554, 0.6621621621621622, 0.645, 0.48717948717948717, 0.5423728813559322]",w16_fz_wce_g,aptos2019,0,2929,733,"StratifiedGroupKFold(5,shuffle,rs=0)",8249f53f37446d959e44c8634ab23bf707049c4e4e0567a4a4347ba1eff0ac85,"[0.4056786703601108, 3.803896103896104]"
0.6320676113457935,0.699825700092116,0.26639344262295084,0.49741947534651415,"[0.9833795013850416, 0.5945945945945946, 0.73, 0.39473684210526316, 0.4576271186440678]",w16_fz_ce_g,aptos2019,1,2930,732,"StratifiedGroupKFold(5,shuffle,rs=0)",8249f53f37446d959e44c8634ab23bf707049c4e4e0567a4a4347ba1eff0ac85,"[0.40581717451523547, 3.7806451612903227]"
0.6654846135397804,0.6910747715711629,0.28415300546448086,0.4651394901169069,"[0.9833795013850416, 0.6216216216216216, 0.635, 0.5789473684210527, 0.5084745762711864]",w16_fz_wce_g,aptos2019,1,2930,732,"StratifiedGroupKFold(5,shuffle,rs=0)",8249f53f37446d959e44c8634ab23bf707049c4e4e0567a4a4347ba1eff0ac85,"[0.40581717451523547, 3.7806451612903227]"
0.626053441028745,0.7156975821860961,0.25375170532060026,0.4913596769580149,"[0.9806094182825484, 0.581081081081081, 0.795, 0.28205128205128205, 0.4915254237288136]",w16_fz_ce_g,aptos2019,2,2929,733,"StratifiedGroupKFold(5,shuffle,rs=0)",8249f53f37446d959e44c8634ab23bf707049c4e4e0567a4a4347ba1eff0ac85,"[0.4056786703601108, 3.803896103896104]"
0.6393565913983774,0.6945679126631977,0.2646657571623465,0.465389171313487,"[0.9833795013850416, 0.6216216216216216, 0.69, 0.41025641025641024, 0.4915254237288136]",w16_fz_wce_g,aptos2019,2,2929,733,"StratifiedGroupKFold(5,shuffle,rs=0)",8249f53f37446d959e44c8634ab23bf707049c4e4e0567a4a4347ba1eff0ac85,"[0.4056786703601108, 3.803896103896104]"
0.6464074928019714,0.7171123376119855,0.2691256830601093,0.5065662478761216,"[0.9695290858725761, 0.581081081081081, 0.78, 0.34210526315789475, 0.559322033898305]",w16_fz_ce_g,aptos2019,3,2930,732,"StratifiedGroupKFold(5,shuffle,rs=0)",8249f53f37446d959e44c8634ab23bf707049c4e4e0567a4a4347ba1eff0ac85,"[0.40581717451523547, 3.7806451612903227]"
0.6567746360379816,0.6949409741213468,0.29098360655737704,0.4743182309028593,"[0.9695290858725761, 0.7027027027027027, 0.65, 0.3684210526315789, 0.5932203389830508]",w16_fz_wce_g,aptos2019,3,2930,732,"StratifiedGroupKFold(5,shuffle,rs=0)",8249f53f37446d959e44c8634ab23bf707049c4e4e0567a4a4347ba1eff0ac85,"[0.40581717451523547, 3.7806451612903227]"
0.6318937516348819,0.7203416648305294,0.24726775956284153,0.4843797234782633,"[0.9833795013850416, 0.6081081081081081, 0.7939698492462312, 0.3333333333333333, 0.4406779661016949]",w16_fz_ce_g,aptos2019,4,2930,732,"StratifiedGroupKFold(5,shuffle,rs=0)",8249f53f37446d959e44c8634ab23bf707049c4e4e0567a4a4347ba1eff0ac85,"[0.40581717451523547, 3.8051948051948052]"
0.6379564673149363,0.6923384007599661,0.27459016393442626,0.48605588542040135,"[0.9695290858725761, 0.6351351351351351, 0.7085427135678392, 0.4358974358974359, 0.4406779661016949]",w16_fz_wce_g,aptos2019,4,2930,732,"StratifiedGroupKFold(5,shuffle,rs=0)",8249f53f37446d959e44c8634ab23bf707049c4e4e0567a4a4347ba1eff0ac85,"[0.40581717451523547, 3.8051948051948052]"
