dataset,arm,fold,prereg,bacc_regen,bacc_archived,abs_diff,logit_max_abs_diff,n_label_mismatch,label_mismatch_frac,label_exact,bacc_macro_recall_identity,checked,device,bacc_tol,logit_tol,ok,exploratory,secs
aptos2019,B0d,4,True,0.597586598604718,0.597586598604718,0.0,3.337860107244239e-05,0,0.0,True,0.0,True,cpu,1e-06,0.005,True,탐색적/exploratory,0.21
aptos2019,B1d,4,True,0.6026030654131957,0.6026030654131957,0.0,4.100799560546875e-05,0,0.0,True,0.0,True,cpu,1e-06,0.005,True,탐색적/exploratory,0.2
aptos2019,B0,4,True,0.6217396951613836,0.6217396951613836,0.0,3.337860107421875e-05,0,0.0,True,0.0,True,cpu,1e-06,0.005,True,탐색적/exploratory,0.2
aptos2019,B1,4,True,0.639772900608512,0.639772900608512,0.0,7.438659668324021e-05,0,0.0,True,0.0,True,cpu,1e-06,0.005,True,탐색적/exploratory,0.2
aptos2019,B2,4,True,0.6361195979695775,0.6361195979695775,0.0,3.337860107599511e-05,0,0.0,True,0.0,True,cpu,1e-06,0.005,True,탐색적/exploratory,1.35
aptos2019,B5,4,True,0.6462077960284283,0.6462077960284283,0.0,1.239776611328125e-05,0,0.0,True,0.0,True,cpu,1e-06,0.005,True,탐색적/exploratory,1.31
aptos2019,B5s,4,True,0.6374074194027758,0.6374074194027758,0.0,1.430511474609375e-05,0,0.0,True,0.0,True,cpu,1e-06,0.005,True,탐색적/exploratory,1.2
aptos2019,B_la,4,False,0.6381376054888459,,,,-1,,True,0.0,False,cpu,1e-06,0.005,True,탐색적/exploratory,0.21
aptos2019,B_ldam,4,False,0.6161628427656913,,,,-1,,True,0.0,False,cpu,1e-06,0.005,True,탐색적/exploratory,0.38
aptos2019,B0d,5,True,0.6054022942067921,0.6054022942067921,0.0,3.4332275390625e-05,0,0.0,True,0.0,True,cpu,1e-06,0.005,True,탐색적/exploratory,0.2
aptos2019,B1d,5,True,0.5968278714994054,0.5968278714994054,0.0,4.5299530029296875e-05,0,0.0,True,0.0,True,cpu,1e-06,0.005,True,탐색적/exploratory,0.22
aptos2019,B0,5,True,0.6216648776322939,0.6216648776322939,0.0,2.7924776077214997e-05,0,0.0,True,0.0,True,cpu,1e-06,0.005,True,탐색적/exploratory,0.23
aptos2019,B1,5,True,0.6333829364546769,0.6333829364546769,0.0,5.14984130859375e-05,0,0.0,True,0.0,True,cpu,1e-06,0.005,True,탐색적/exploratory,0.24
aptos2019,B2,5,True,0.6313665628450831,0.6313665628450831,0.0,2.09808349609375e-05,0,0.0,True,0.0,True,cpu,1e-06,0.005,True,탐색적/exploratory,1.3
aptos2019,B5,5,True,0.5952435574183074,0.5952435574183074,0.0,1.5258789061611822e-05,0,0.0,True,0.0,True,cpu,1e-06,0.005,True,탐색적/exploratory,1.31
aptos2019,B5s,5,True,0.6170748646055467,0.6170748646055467,0.0,1.6450881958007812e-05,0,0.0,True,0.0,True,cpu,1e-06,0.005,True,탐색적/exploratory,1.36
aptos2019,B_la,5,False,0.6591370511279898,,,,-1,,True,0.0,False,cpu,1e-06,0.005,True,탐색적/exploratory,0.22
aptos2019,B_ldam,5,False,0.6335925207007886,,,,-1,,True,0.0,False,cpu,1e-06,0.005,True,탐색적/exploratory,0.34
aptos2019,B0d,6,True,0.6526229899555408,0.6526229899555408,0.0,3.528594970703125e-05,0,0.0,True,0.0,True,cpu,1e-06,0.005,True,탐색적/exploratory,0.21
aptos2019,B1d,6,True,0.6464898787702675,0.6464898787702675,0.0,5.14984130859375e-05,0,0.0,True,0.0,True,cpu,1e-06,0.005,True,탐색적/exploratory,0.25
aptos2019,B0,6,True,0.6681058110445875,0.6681058110445875,0.0,3.135204315185547e-05,0,0.0,True,0.0,True,cpu,1e-06,0.005,True,탐색적/exploratory,0.22
aptos2019,B1,6,True,0.7017784607029173,0.7017784607029173,0.0,6.771087646484375e-05,0,0.0,True,0.0,True,cpu,1e-06,0.005,True,탐색적/exploratory,0.2
aptos2019,B2,6,True,0.6769720663033024,0.6769720663033024,0.0,1.9073486328125e-05,0,0.0,True,0.0,True,cpu,1e-06,0.005,True,탐색적/exploratory,1.33
aptos2019,B5,6,True,0.6478956526871453,0.6478956526871453,0.0,1.239776611328125e-05,0,0.0,True,0.0,True,cpu,1e-06,0.005,True,탐색적/exploratory,1.41
aptos2019,B5s,6,True,0.6673060530075412,0.6673060530075412,0.0,1.71661376953125e-05,0,0.0,True,0.0,True,cpu,1e-06,0.005,True,탐색적/exploratory,1.51
aptos2019,B_la,6,False,0.6909066658311224,,,,-1,,True,0.0,False,cpu,1e-06,0.005,True,탐색적/exploratory,0.21
aptos2019,B_ldam,6,False,0.6552845545636287,,,,-1,,True,0.0,False,cpu,1e-06,0.005,True,탐색적/exploratory,0.33
aptos2019,B0d,7,True,0.619692439563842,0.619692439563842,0.0,2.765655517578125e-05,0,0.0,True,0.0,True,cpu,1e-06,0.005,True,탐색적/exploratory,0.2
aptos2019,B1d,7,True,0.6206958885266787,0.6206958885266787,0.0,4.9591064453125e-05,0,0.0,True,0.0,True,cpu,1e-06,0.005,True,탐색적/exploratory,0.22
aptos2019,B0,7,True,0.6499067993294952,0.6499067993294952,0.0,2.6702880859375e-05,0,0.0,True,0.0,True,cpu,1e-06,0.005,True,탐색적/exploratory,0.23
aptos2019,B1,7,True,0.6726985888184067,0.6726985888184067,0.0,0.00010967254638671875,0,0.0,True,0.0,True,cpu,1e-06,0.005,True,탐색적/exploratory,0.24
aptos2019,B2,7,True,0.6539629522005221,0.6539629522005221,0.0,2.574920654296875e-05,0,0.0,True,0.0,True,cpu,1e-06,0.005,True,탐색적/exploratory,1.32
aptos2019,B5,7,True,0.6658605339928407,0.6658605339928407,0.0,1.3828277587890625e-05,0,0.0,True,0.0,True,cpu,1e-06,0.005,True,탐색적/exploratory,1.27
aptos2019,B5s,7,True,0.6438860687533865,0.6438860687533865,0.0,1.33514404296875e-05,0,0.0,True,0.0,True,cpu,1e-06,0.005,True,탐색적/exploratory,1.29
aptos2019,B_la,7,False,0.6851191123044731,,,,-1,,True,0.0,False,cpu,1e-06,0.005,True,탐색적/exploratory,0.25
aptos2019,B_ldam,7,False,0.6198173305941277,,,,-1,,True,0.0,False,cpu,1e-06,0.005,True,탐색적/exploratory,0.34
aptos2019,B0d,8,True,0.6134048102753206,0.6134048102753206,0.0,2.574920654296875e-05,0,0.0,True,0.0,True,cpu,1e-06,0.005,True,탐색적/exploratory,0.26
aptos2019,B1d,8,True,0.6293915511830906,0.6293915511830906,0.0,4.3392181395596197e-05,0,0.0,True,0.0,True,cpu,1e-06,0.005,True,탐색적/exploratory,0.23
aptos2019,B0,8,True,0.6385841893351165,0.6385841893351165,0.0,3.4332275390625e-05,0,0.0,True,0.0,True,cpu,1e-06,0.005,True,탐색적/exploratory,0.22
aptos2019,B1,8,True,0.6370742745186616,0.6370742745186616,0.0,6.866455077947364e-05,0,0.0,True,0.0,True,cpu,1e-06,0.005,True,탐색적/exploratory,0.21
aptos2019,B2,8,True,0.6690589813250971,0.6690589813250971,0.0,2.6226043701171875e-05,0,0.0,True,0.0,True,cpu,1e-06,0.005,True,탐색적/exploratory,1.37
aptos2019,B5,8,True,0.6682427927716439,0.6682427927716439,0.0,1.2636184692382812e-05,0,0.0,True,0.0,True,cpu,1e-06,0.005,True,탐색적/exploratory,1.3
aptos2019,B5s,8,True,0.6459612924347419,0.6459612924347419,0.0,1.621246337890625e-05,0,0.0,True,0.0,True,cpu,1e-06,0.005,True,탐색적/exploratory,1.23
aptos2019,B_la,8,False,0.6624386451337012,,,,-1,,True,0.0,False,cpu,1e-06,0.005,True,탐색적/exploratory,0.25
aptos2019,B_ldam,8,False,0.6521048177620318,,,,-1,,True,0.0,False,cpu,1e-06,0.005,True,탐색적/exploratory,0.37
aptos2019,B0d,9,True,0.6276639447903062,0.6276639447903062,0.0,2.8133392333984375e-05,0,0.0,True,0.0,True,cpu,1e-06,0.005,True,탐색적/exploratory,0.2
aptos2019,B1d,9,True,0.6305321094504818,0.6305321094504818,0.0,4.38690185546875e-05,0,0.0,True,0.0,True,cpu,1e-06,0.005,True,탐색적/exploratory,0.21
aptos2019,B0,9,True,0.5892626060102722,0.5892626060102722,0.0,2.86102294921875e-05,0,0.0,True,0.0,True,cpu,1e-06,0.005,True,탐색적/exploratory,0.21
aptos2019,B1,9,True,0.6073471446234601,0.6073471446234601,0.0,9.34600830078125e-05,0,0.0,True,0.0,True,cpu,1e-06,0.005,True,탐색적/exploratory,0.21
aptos2019,B2,9,True,0.588779246732943,0.588779246732943,0.0,2.193450927734375e-05,0,0.0,True,0.0,True,cpu,1e-06,0.005,True,탐색적/exploratory,1.32
aptos2019,B5,9,True,0.5969253016436207,0.5969253016436207,0.0,1.3828277587890625e-05,0,0.0,True,0.0,True,cpu,1e-06,0.005,True,탐색적/exploratory,1.23
aptos2019,B5s,9,True,0.5947715462343394,0.5947715462343394,0.0,1.5258789060723643e-05,0,0.0,True,0.0,True,cpu,1e-06,0.005,True,탐색적/exploratory,1.18
aptos2019,B_la,9,False,0.612562339867347,,,,-1,,True,0.0,False,cpu,1e-06,0.005,True,탐색적/exploratory,0.21
aptos2019,B_ldam,9,False,0.5746626732858185,,,,-1,,True,0.0,False,cpu,1e-06,0.005,True,탐색적/exploratory,0.34
aptos2019,B0d,10,True,0.6176578631599055,0.6176578631599055,0.0,3.24249267578125e-05,0,0.0,True,0.0,True,cpu,1e-06,0.005,True,탐색적/exploratory,0.25
aptos2019,B1d,10,True,0.6253457742559109,0.6253457742559109,0.0,4.1961669921875e-05,0,0.0,True,0.0,True,cpu,1e-06,0.005,True,탐색적/exploratory,0.26
aptos2019,B0,10,True,0.6643416500574583,0.6643416500574583,0.0,2.574920654296875e-05,0,0.0,True,0.0,True,cpu,1e-06,0.005,True,탐색적/exploratory,0.29
aptos2019,B1,10,True,0.6824855952392458,0.6824855952392458,0.0,5.7220458984375e-05,0,0.0,True,0.0,True,cpu,1e-06,0.005,True,탐색적/exploratory,0.2
aptos2019,B2,10,True,0.6370491685276887,0.6370491685276887,0.0,1.71661376953125e-05,0,0.0,True,0.0,True,cpu,1e-06,0.005,True,탐색적/exploratory,1.36
aptos2019,B5,10,True,0.6499979965808408,0.6499979965808408,0.0,1.33514404296875e-05,0,0.0,True,0.0,True,cpu,1e-06,0.005,True,탐색적/exploratory,1.34
aptos2019,B5s,10,True,0.6399771911376212,0.6399771911376212,0.0,1.621246337890625e-05,0,0.0,True,0.0,True,cpu,1e-06,0.005,True,탐색적/exploratory,1.37
aptos2019,B_la,10,False,0.6886907586816973,,,,-1,,True,0.0,False,cpu,1e-06,0.005,True,탐색적/exploratory,0.31
aptos2019,B_ldam,10,False,0.6413459225585146,,,,-1,,True,0.0,False,cpu,1e-06,0.005,True,탐색적/exploratory,0.31
aptos2019,B0d,11,True,0.6254063479305978,0.6254063479305978,0.0,3.0517578123223643e-05,0,0.0,True,0.0,True,cpu,1e-06,0.005,True,탐색적/exploratory,0.21
aptos2019,B1d,11,True,0.6278163503262804,0.6278163503262804,0.0,4.959106445490136e-05,0,0.0,True,0.0,True,cpu,1e-06,0.005,True,탐색적/exploratory,0.21
aptos2019,B0,11,True,0.6237506041183678,0.6237506041183678,0.0,2.47955322265625e-05,0,0.0,True,0.0,True,cpu,1e-06,0.005,True,탐색적/exploratory,0.23
aptos2019,B1,11,True,0.6170272611290969,0.6170272611290969,0.0,8.58306884765625e-05,0,0.0,True,0.0,True,cpu,1e-06,0.005,True,탐색적/exploratory,0.23
aptos2019,B2,11,True,0.6440437786488306,0.6440437786488306,0.0,1.8119812009942393e-05,0,0.0,True,0.0,True,cpu,1e-06,0.005,True,탐색적/exploratory,1.39
aptos2019,B5,11,True,0.6291658216379095,0.6291658216379095,0.0,1.71661376953125e-05,0,0.0,True,0.0,True,cpu,1e-06,0.005,True,탐색적/exploratory,1.46
aptos2019,B5s,11,True,0.6379310735504453,0.6379310735504453,0.0,1.5974044799804688e-05,0,0.0,True,0.0,True,cpu,1e-06,0.005,True,탐색적/exploratory,1.21
aptos2019,B_la,11,False,0.6199193027552106,,,,-1,,True,0.0,False,cpu,1e-06,0.005,True,탐색적/exploratory,0.24
aptos2019,B_ldam,11,False,0.6168318349336707,,,,-1,,True,0.0,False,cpu,1e-06,0.005,True,탐색적/exploratory,0.32
aptos2019,B0d,12,True,0.6255257955264998,0.6255257955264998,0.0,3.0517578125e-05,0,0.0,True,0.0,True,cpu,1e-06,0.005,True,탐색적/exploratory,0.22
aptos2019,B1d,12,True,0.6391291444973308,0.6391291444973308,0.0,4.57763671875e-05,0,0.0,True,0.0,True,cpu,1e-06,0.005,True,탐색적/exploratory,0.21
aptos2019,B0,12,True,0.6377742198276025,0.6377742198276025,0.0,2.765655517578125e-05,0,0.0,True,0.0,True,cpu,1e-06,0.005,True,탐색적/exploratory,0.2
aptos2019,B1,12,True,0.633974861146888,0.633974861146888,0.0,7.2479248046875e-05,0,0.0,True,0.0,True,cpu,1e-06,0.005,True,탐색적/exploratory,0.2
aptos2019,B2,12,True,0.6305140515415646,0.6305140515415646,0.0,2.4318695068359375e-05,0,0.0,True,0.0,True,cpu,1e-06,0.005,True,탐색적/exploratory,1.4
aptos2019,B5,12,True,0.6220073610866137,0.6220073610866137,0.0,1.2874603271484375e-05,0,0.0,True,0.0,True,cpu,1e-06,0.005,True,탐색적/exploratory,1.3
aptos2019,B5s,12,True,0.6264561170870857,0.6264561170870857,0.0,1.2159347534179688e-05,0,0.0,True,0.0,True,cpu,1e-06,0.005,True,탐색적/exploratory,1.27
aptos2019,B_la,12,False,0.6390772070253266,,,,-1,,True,0.0,False,cpu,1e-06,0.005,True,탐색적/exploratory,0.29
aptos2019,B_ldam,12,False,0.6247529575681131,,,,-1,,True,0.0,False,cpu,1e-06,0.005,True,탐색적/exploratory,0.39
aptos2019,B0d,13,True,0.626715369202716,0.626715369202716,0.0,4.100799560546875e-05,0,0.0,True,0.0,True,cpu,1e-06,0.005,True,탐색적/exploratory,0.21
aptos2019,B1d,13,True,0.6407021101104861,0.6407021101104861,0.0,4.768371582208886e-05,0,0.0,True,0.0,True,cpu,1e-06,0.005,True,탐색적/exploratory,0.22
aptos2019,B0,13,True,0.668620569675267,0.668620569675267,0.0,3.17096710209519e-05,0,0.0,True,0.0,True,cpu,1e-06,0.005,True,탐색적/exploratory,0.22
aptos2019,B1,13,True,0.6739827742198277,0.6739827742198277,0.0,9.632110595703125e-05,0,0.0,True,0.0,True,cpu,1e-06,0.005,True,탐색적/exploratory,0.2
aptos2019,B2,13,True,0.637812072131289,0.637812072131289,0.0,2.384185791015625e-05,0,0.0,True,0.0,True,cpu,1e-06,0.005,True,탐색적/exploratory,1.35
aptos2019,B5,13,True,0.6715928688442421,0.6715928688442421,0.0,1.049041748046875e-05,0,0.0,True,0.0,True,cpu,1e-06,0.005,True,탐색적/exploratory,1.27
aptos2019,B5s,13,True,0.681815448764883,0.681815448764883,0.0,1.621246337890625e-05,0,0.0,True,0.0,True,cpu,1e-06,0.005,True,탐색적/exploratory,1.23
aptos2019,B_la,13,False,0.6801962178150732,,,,-1,,True,0.0,False,cpu,1e-06,0.005,True,탐색적/exploratory,0.22
aptos2019,B_ldam,13,False,0.6711346846635358,,,,-1,,True,0.0,False,cpu,1e-06,0.005,True,탐색적/exploratory,0.31
aptos2019,B0d,14,True,0.6440748867814003,0.6440748867814003,0.0,3.433227538884864e-05,0,0.0,True,0.0,True,cpu,1e-06,0.005,True,탐색적/exploratory,0.22
aptos2019,B1d,14,True,0.6379010308696064,0.6379010308696064,0.0,4.2438507080078125e-05,0,0.0,True,0.0,True,cpu,1e-06,0.005,True,탐색적/exploratory,0.21
aptos2019,B0,14,True,0.6603350055989561,0.6603350055989561,0.0,3.147125244140625e-05,0,0.0,True,0.0,True,cpu,1e-06,0.005,True,탐색적/exploratory,0.24
aptos2019,B1,14,True,0.6691026424499651,0.6691026424499651,0.0,9.34600830078125e-05,0,0.0,True,0.0,True,cpu,1e-06,0.005,True,탐색적/exploratory,0.27
aptos2019,B2,14,True,0.6942684409300319,0.6942684409300319,0.0,3.24249267578125e-05,0,0.0,True,0.0,True,cpu,1e-06,0.005,True,탐색적/exploratory,1.35
aptos2019,B5,14,True,0.69046047939192,0.69046047939192,0.0,1.430511474609375e-05,0,0.0,True,0.0,True,cpu,1e-06,0.005,True,탐색적/exploratory,1.29
aptos2019,B5s,14,True,0.696387693415015,0.696387693415015,0.0,1.33514404296875e-05,0,0.0,True,0.0,True,cpu,1e-06,0.005,True,탐색적/exploratory,1.28
aptos2019,B_la,14,False,0.6567082828534933,,,,-1,,True,0.0,False,cpu,1e-06,0.005,True,탐색적/exploratory,0.25
aptos2019,B_ldam,14,False,0.6599678238014763,,,,-1,,True,0.0,False,cpu,1e-06,0.005,True,탐색적/exploratory,0.3
oral_diseases,A0d,0,True,0.7054436061015009,0.7054436061015009,0.0,0.00010299682617542771,0,0.0,True,0.0,True,cpu,1e-06,0.005,True,탐색적/exploratory,0.08
oral_diseases,A2d,0,True,0.6869912251491199,0.6869912251491199,0.0,8.583068847833886e-05,0,0.0,True,0.0,True,cpu,1e-06,0.005,True,탐색적/exploratory,0.08
oral_diseases,A0,0,True,0.6886837577627052,0.6886837577627052,0.0,6.866455078125e-05,0,0.0,True,0.0,True,cpu,1e-06,0.005,True,탐색적/exploratory,0.08
oral_diseases,A1,0,True,0.7031429827482459,0.7031429827482459,0.0,4.57763671875e-05,0,0.0,True,0.0,True,cpu,1e-06,0.005,True,탐색적/exploratory,0.24
oral_diseases,A2,0,True,0.6886837577627052,0.6886837577627052,0.0,6.580352783203125e-05,0,0.0,True,0.0,True,cpu,1e-06,0.005,True,탐색적/exploratory,0.16
oral_diseases,A5,0,True,0.6693156258945733,0.6693156258945733,0.0,5.692243576105316e-06,0,0.0,True,0.0,True,cpu,1e-06,0.005,True,탐색적/exploratory,0.19
oral_diseases,A5s,0,True,0.6248464985307091,0.6248464985307091,0.0,2.1457672119140625e-05,0,0.0,True,0.0,True,cpu,1e-06,0.005,True,탐색적/exploratory,0.21
oral_diseases,A3,0,True,0.6517998814051447,0.6517998814051447,0.0,4.00543212890625e-05,0,0.0,True,0.0,True,cpu,1e-06,0.005,True,탐색적/exploratory,0.35
oral_diseases,A4,0,True,0.6866956143271932,0.6866956143271932,0.0,4.673004150390625e-05,0,0.0,True,0.0,True,cpu,1e-06,0.005,True,탐색적/exploratory,0.22
oral_diseases,A0d,1,True,0.6660068732437152,0.6660068732437152,0.0,0.00011157989501953125,0,0.0,True,0.0,True,cpu,1e-06,0.005,True,탐색적/exploratory,0.08
oral_diseases,A2d,1,True,0.6660068732437152,0.6660068732437152,0.0,0.0001163482666015625,0,0.0,True,0.0,True,cpu,1e-06,0.005,True,탐색적/exploratory,0.09
oral_diseases,A0,1,True,0.7911900964532543,0.7911900964532543,0.0,6.4849853515625e-05,0,0.0,True,0.0,True,cpu,1e-06,0.005,True,탐색적/exploratory,0.08
oral_diseases,A1,1,True,0.7644945697577278,0.7644945697577278,0.0,5.91278076171875e-05,0,0.0,True,0.0,True,cpu,1e-06,0.005,True,탐색적/exploratory,0.21
oral_diseases,A2,1,True,0.8041771094402673,0.8041771094402673,0.0,6.4849853515625e-05,0,0.0,True,0.0,True,cpu,1e-06,0.005,True,탐색적/exploratory,0.08
oral_diseases,A5,1,True,0.6792160325055062,0.6792160325055062,0.0,8.106231689453125e-06,0,0.0,True,0.0,True,cpu,1e-06,0.005,True,탐색적/exploratory,0.16
oral_diseases,A5s,1,True,0.7758221310852891,0.7758221310852891,0.0,1.621246337890625e-05,0,0.0,True,0.0,True,cpu,1e-06,0.005,True,탐색적/exploratory,0.18
oral_diseases,A3,1,True,0.7922723475355055,0.7922723475355055,0.0,2.86102294921875e-05,0,0.0,True,0.0,True,cpu,1e-06,0.005,True,탐색적/exploratory,0.38
oral_diseases,A4,1,True,0.7688805346700083,0.7688805346700083,0.0,5.5313110348009786e-05,0,0.0,True,0.0,True,cpu,1e-06,0.005,True,탐색적/exploratory,0.21
oral_diseases,A0d,2,True,0.7229968861547809,0.7229968861547809,0.0,7.772445678688733e-05,0,0.0,True,0.0,True,cpu,1e-06,0.005,True,탐색적/exploratory,0.1
oral_diseases,A2d,2,True,0.7075415812257917,0.7075415812257917,0.0,8.487701415837989e-05,0,0.0,True,0.0,True,cpu,1e-06,0.005,True,탐색적/exploratory,0.1
oral_diseases,A0,2,True,0.7217190704032809,0.7217190704032809,0.0,7.915496826349511e-05,0,0.0,True,0.0,True,cpu,1e-06,0.005,True,탐색적/exploratory,0.1
