dataset,n_train,n_test,draws,mean,sd,p2_5,p97_5,width95,cv_mean,cv_fold_sd,aligned_fixed_train,aligned_fixed_trainval,d0_single,pct_rank_aligned_fixed,pct_rank_d0_single
oral_diseases,407,27,200,0.7372261904761905,0.08001554443809408,0.5993452380952381,0.8952380952380953,0.2958928571428572,0.7439,0.0392,,,,,
oral_diseases,407,54,200,0.7388378684807256,0.055339942060445034,0.6106221655328798,0.8321371882086168,0.22151502267573697,0.7439,0.0392,0.7773809523809525,0.7903061224489795,0.8107,75.5,93.0
oral_diseases,407,109,200,0.748914244037696,0.03648771941653727,0.6791647207281883,0.8192861859502727,0.14012146522208435,0.7439,0.0392,,,,,
aptos2019,2562,54,200,0.6402629629629629,0.08895000372837918,0.4897500000000001,0.8134166666666666,0.3236666666666665,0.6457,0.0238,,,,,
aptos2019,2562,138,200,0.6379925716698162,0.05539945872245384,0.5381695549033011,0.7450314623457038,0.20686190744240274,0.6457,0.0238,,,,,
aptos2019,2562,277,200,0.6368792117325399,0.0371716020515149,0.5724397775856754,0.7101522522884751,0.13771247470279968,0.6457,0.0238,,,,,
aptos2019,2562,554,200,0.6421058429676436,0.028776829238486505,0.5847539011602441,0.6923377469153617,0.10758384575511759,0.6457,0.0238,0.628794884399676,0.6314386350566716,0.628,28.999999999999996,28.999999999999996
aptos2019,2562,1100,200,0.6434776483003833,0.018143770578512044,0.605055975163069,0.6743972223968552,0.06934124723378621,0.6457,0.0238,,,,,
