dataset,task,task_label,mapping_assumed,arm,base,fold,repeat,n,tp,fp,fn,tn,prevalence,sens,spec,ppv,npv,tp_rate,fp_rate,exploratory
oral_diseases,oral_nonbenign,"cancer-suspect + OPMD surveillance (MC, OC, OLP) [ASSUMED]",True,A2d,A0d,12,2,103,40,10,8,45,0.46601941747572817,0.8333333333333334,0.8181818181818182,0.8,0.8490566037735849,0.3883495145631068,0.0970873786407767,탐색적/exploratory
oral_diseases,oral_nonbenign,"cancer-suspect + OPMD surveillance (MC, OC, OLP) [ASSUMED]",True,A2d,A0d,13,2,103,41,11,6,45,0.4563106796116505,0.8723404255319149,0.8035714285714286,0.7884615384615384,0.8823529411764706,0.39805825242718446,0.10679611650485436,탐색적/exploratory
oral_diseases,oral_nonbenign,"cancer-suspect + OPMD surveillance (MC, OC, OLP) [ASSUMED]",True,A2d,A0d,14,2,103,41,10,6,46,0.4563106796116505,0.8723404255319149,0.8214285714285714,0.803921568627451,0.8846153846153846,0.39805825242718446,0.0970873786407767,탐색적/exploratory
oral_diseases,oral_nonbenign,"cancer-suspect + OPMD surveillance (MC, OC, OLP) [ASSUMED]",True,A3,A0,0,0,104,45,14,3,42,0.46153846153846156,0.9375,0.75,0.7627118644067796,0.9333333333333333,0.4326923076923077,0.1346153846153846,탐색적/exploratory
oral_diseases,oral_nonbenign,"cancer-suspect + OPMD surveillance (MC, OC, OLP) [ASSUMED]",True,A3,A0,1,0,103,38,3,10,52,0.46601941747572817,0.7916666666666666,0.9454545454545454,0.926829268292683,0.8387096774193549,0.36893203883495146,0.02912621359223301,탐색적/exploratory
oral_diseases,oral_nonbenign,"cancer-suspect + OPMD surveillance (MC, OC, OLP) [ASSUMED]",True,A3,A0,2,0,103,41,6,7,49,0.46601941747572817,0.8541666666666666,0.8909090909090909,0.8723404255319149,0.875,0.39805825242718446,0.05825242718446602,탐색적/exploratory
oral_diseases,oral_nonbenign,"cancer-suspect + OPMD surveillance (MC, OC, OLP) [ASSUMED]",True,A3,A0,3,0,103,40,4,7,52,0.4563106796116505,0.851063829787234,0.9285714285714286,0.9090909090909091,0.8813559322033898,0.3883495145631068,0.038834951456310676,탐색적/exploratory
oral_diseases,oral_nonbenign,"cancer-suspect + OPMD surveillance (MC, OC, OLP) [ASSUMED]",True,A3,A0,4,0,103,39,6,8,50,0.4563106796116505,0.8297872340425532,0.8928571428571429,0.8666666666666667,0.8620689655172413,0.3786407766990291,0.05825242718446602,탐색적/exploratory
oral_diseases,oral_nonbenign,"cancer-suspect + OPMD surveillance (MC, OC, OLP) [ASSUMED]",True,A3,A0,5,1,104,40,3,8,53,0.46153846153846156,0.8333333333333334,0.9464285714285714,0.9302325581395349,0.8688524590163934,0.38461538461538464,0.028846153846153848,탐색적/exploratory
oral_diseases,oral_nonbenign,"cancer-suspect + OPMD surveillance (MC, OC, OLP) [ASSUMED]",True,A3,A0,6,1,103,46,8,2,47,0.46601941747572817,0.9583333333333334,0.8545454545454545,0.8518518518518519,0.9591836734693877,0.44660194174757284,0.07766990291262135,탐색적/exploratory
