pair,d_plain,p_plain,d_macro,p_macro,same_sign
B1-B0,0.029488192596237243,0.0006692182900056754,-0.006129510425209095,0.5445994602115805,False
B2-B0,-0.01420143781202086,0.14962478489743647,-0.00993222526911431,0.5534266761405944,True
B3-B0,0.03395159747227378,0.0069863813556310895,-0.058263333657035,0.00047336112885571613,False
B4-B0,0.017474783619976297,0.1149458266059891,-0.029214315128462114,0.12160649336147768,False
B3-B1,0.004463404876036545,0.6593532749047031,-0.05213382323182592,0.0011874128960628748,False
B4-B1,-0.012013408976260942,0.15535967492238048,-0.02308480470325302,0.1407445392969275,True
B1d-B0d,0.012469652127022458,0.0510475554368462,-0.0034688725095064856,0.7127140542093441,False
B3d-B0d,0.050152826545598224,0.0002942972591636768,-0.044122539416246415,0.009666712894300487,False
B4d-B0d,0.008920100293973653,0.17126753413599596,-0.011759413548303814,0.3723405201064306,False
B3d-B1d,0.03768317441857576,0.002809870040452666,-0.04065366690673993,0.02460127575812437,False
B4d-B1d,-0.0035495518330488068,0.6022086873123622,-0.008290541038797328,0.5399864452495621,True
