dataset,epoch,arm,mean_diff,p_nb,holm_p_within_epoch_family,family_size,mde_floor,passes_gate
aptos2019,25,B1-B0,0.0356710833130103,0.011055858956806,0.011055858956806,3,0.019,True
aptos2019,25,B3-B0,-0.1105022377192891,1.2005698690528684e-05,3.6017096071586055e-05,3,0.019,False
aptos2019,25,B3n-B0,-0.0912365535115623,3.882361085624413e-05,7.764722171248826e-05,3,0.019,False
aptos2019,50,B1-B0,0.0273089525418456,0.0027041722797602,0.0054083445595204,3,0.019,True
aptos2019,50,B3-B0,-0.0501919428837979,0.0001962164010475,0.0005886492031425,3,0.019,False
aptos2019,50,B3n-B0,-0.0318603337827177,0.0850256029057556,0.0850256029057556,3,0.019,False
aptos2019,75,B1-B0,0.0181477579093029,0.0266456986118684,0.0799370958356052,3,0.019,False
aptos2019,75,B3-B0,-0.0150266195438492,0.2006569981931044,0.4013139963862088,3,0.019,False
aptos2019,75,B3n-B0,-0.0012207928010326,0.9411410650201788,0.9411410650201788,3,0.019,False
aptos2019,100,B1-B0,0.0161612288878223,0.0976667844473472,0.29300035334204155,3,0.019,False
aptos2019,100,B3-B0,0.0032459969773211,0.7535120984242407,1.0,3,0.019,False
aptos2019,100,B3n-B0,0.0061443458840294,0.6459044324425023,1.0,3,0.019,False
aptos2019,125,B1-B0,0.0137620244359056,0.1776400671103888,0.4553619844430694,3,0.019,False
aptos2019,125,B3-B0,0.0143425176320233,0.1517873281476898,0.4553619844430694,3,0.019,False
aptos2019,125,B3n-B0,0.0151350295827968,0.1968907365638309,0.4553619844430694,3,0.019,False
aptos2019,150,B1-B0,0.01295140484927,0.1494261063737554,0.2534701140679869,3,0.019,False
aptos2019,150,B3-B0,0.0175162680367035,0.0864806277298068,0.2534701140679869,3,0.019,False
aptos2019,150,B3n-B0,0.0160451839926567,0.0844900380226623,0.2534701140679869,3,0.019,False
aptos2019,175,B1-B0,0.0110573730377867,0.2330498343386636,0.2330498343386636,3,0.019,False
aptos2019,175,B3-B0,0.0185897509337125,0.02308989047306,0.06926967141918,3,0.019,False
aptos2019,175,B3n-B0,0.0177581926462347,0.0717495122968411,0.1434990245936822,3,0.019,False
aptos2019,200,B1-B0,0.0097511652422073,0.2197422364833612,0.2197422364833612,3,0.019,False
aptos2019,200,B3-B0,0.0179502488760231,0.0189750386768367,0.056925116030510106,3,0.019,False
aptos2019,200,B3n-B0,0.0216924076405386,0.050566408203435,0.10113281640687,3,0.019,False
