fold,bacc_full,bacc_sub90
0,0.6711051026214648,0.6490690313481056
1,0.6427510783418102,0.6345716263996464
2,0.669678888616773,0.6635586545745709
3,0.6579334418694952,0.659237177738328
4,0.6217396951613836,0.618898740561635
5,0.6216648776322939,0.5915719450647852
6,0.6681058110445875,0.6769010469584675
7,0.6499067993294952,0.648802065317113
8,0.6385841893351165,0.6376842942759653
9,0.5892626060102722,0.5931550907391423
10,0.6643416500574583,0.6616389473547556
11,0.6237506041183678,0.6205401506849462
12,0.6377742198276025,0.6178864507025453
13,0.668620569675267,0.6550081592461516
14,0.6603350055989561,0.6753610266210593
