n_folds,mean_diff,sd_paired,wins,ci_lo,ci_hi,p_nb,se_nb,mde_floor,mde_post,tost_p,equivalent,dataset,arm,against,mean_arm,sd_arm,mean_against,desc,holm_p,sig_nb,sig_holm
15,-0.005599614810141174,0.02355379143253894,7,-0.034027601655559826,0.022828372035277475,0.6790983470458525,0.013254458825934356,0.032,0.039933583206226926,0.1478151005479726,False,oral_diseases,A1lo,A0,0.7382932515827252,0.03305695768047509,0.7438928663928664,회전 ±5° · Jitter 0.1  (강도 하향),1.0,False,False
15,-0.001610791742370717,0.027878460580738885,8,-0.035258389961522404,0.03203680647678098,0.9196762457651894,0.015688086096719185,0.032,0.047265716368893276,0.13034371544828888,False,oral_diseases,A1lo,A1,0.7382932515827252,0.03305695768047509,0.739904043325096,회전 ±5° · Jitter 0.1  (강도 하향),1.0,False,False
15,-0.0053962801331222335,0.028063520443932236,5,-0.0392672342978143,0.028474674031569835,0.7376478894075706,0.015792225098885976,0.032,0.04757947067321115,0.185383077423278,False,oral_diseases,A1sty,A0,0.7384965862597443,0.04320039727790936,0.7438928663928664,"회전 제거 · Jitter 0.3  (색상만, HFlip 유지)",1.0,False,False
15,-0.0014074570653517767,0.033614876057341495,8,-0.0419785582023153,0.039163644071611756,0.9417407748213761,0.018916147403148356,0.032,0.05699135333891145,0.1711711163885207,False,oral_diseases,A1sty,A1,0.7384965862597443,0.04320039727790936,0.739904043325096,"회전 제거 · Jitter 0.3  (색상만, HFlip 유지)",1.0,False,False
