dataset,arm,source,family,frontier_base,axis,primary,target_class,target_idx,target_is_minority,recall_mean,recall_ci_lo,recall_ci_hi,bacc_mean,bacc_ci_lo,bacc_ci_hi,frontier_mean,frontier_ci_lo,frontier_ci_hi,n_folds_total,n_folds_unreachable,comparable,gap_n_folds,gap_mean,gap_sd,gap_n_above,gap_ci_lo,gap_ci_hi,gap_ttest_p_nb,gap_se_nb,gap_mde_post,gap_tost_p,gap_equivalent,gap_zero_var,gap_noise_flag,above_band,note,mde_floor,exploratory,holm_p,holm_sig
aptos2019,B0,w11_preds_panderm,panderm,B0,tau,False,severe,3,True,0.3595141700404858,0.2826493034505388,0.4363790366304328,0.6457036359493563,0.6170010380524037,0.6744062338463089,0.677511946122941,0.6482420554466429,0.706781836799239,15,0,True,15,-0.03180831017358459,0.015969790185636316,0,-0.05108287098565799,-0.012533749361511196,0.003268469200030701,0.008986702929784348,0.02707551126070878,0.8950108709356978,False,False,False,False,,0.019,탐색적/exploratory,0.09151713760085964,False
aptos2019,B0,w11_preds_panderm,panderm,B0,offset,False,severe,3,True,0.3595141700404858,0.2826493034505388,0.4363790366304328,0.6457036359493563,0.6170010380524037,0.6744062338463089,0.6677919954391639,0.6425845054614722,0.6929994854168556,15,0,True,15,-0.02208835948980763,0.01430867229165292,0,-0.03935805251768161,-0.004818666461933654,0.015854160928102302,0.008051939675474065,0.024259217763981145,0.6004342173108369,False,False,False,False,,0.019,탐색적/exploratory,0.4280623450587622,False
aptos2019,B0,w11_preds_panderm,panderm,B0,union,True,severe,3,True,0.3595141700404858,0.2826493034505388,0.4363790366304328,0.6457036359493563,0.6170010380524037,0.6744062338463089,0.6791185683565064,0.6493731510838109,0.7088639856292019,15,0,True,15,-0.03341493240715012,0.015776550864763768,0,-0.052456265168125404,-0.014373599646174833,0.0020954032838399767,0.008877961089669454,0.026747889335343587,0.923491037086157,False,False,False,False,,0.019,탐색적/exploratory,0.05867129194751935,False
aptos2019,B0,w11_preds_panderm,dinov2,B0d,tau,False,severe,3,True,0.3595141700404858,0.2826493034505388,0.4363790366304328,0.6457036359493563,0.6170010380524037,0.6744062338463089,0.6582057241990561,0.6337745259739108,0.6826369224242014,15,0,True,15,-0.012502088249699813,0.021074750581078716,4,-0.03793802428595623,0.012933847786556605,0.3096503481959698,0.01185942461296702,0.035730566278062204,0.26871199949972796,False,False,True,False,잡음 수준 — 부호 해석 금지,0.019,탐색적/exploratory,1.0,False
aptos2019,B0,w11_preds_panderm,dinov2,B0d,offset,False,severe,3,True,0.3595141700404858,0.2826493034505388,0.4363790366304328,0.6457036359493563,0.6170010380524037,0.6744062338463089,0.6490874113006009,0.6248155980871664,0.6733592245140354,15,0,True,15,-0.003383775351244611,0.024900395943448415,7,-0.03343703154795893,0.026669480845469707,0.8126786559757198,0.014012235513215787,0.04221664423426998,0.12771176712678634,False,False,True,False,잡음 수준 — 부호 해석 금지,0.019,탐색적/exploratory,1.0,False
aptos2019,B0,w11_preds_panderm,dinov2,B0d,union,False,severe,3,True,0.3595141700404858,0.2826493034505388,0.4363790366304328,0.6457036359493563,0.6170010380524037,0.6744062338463089,0.6601894755446925,0.6365606400406512,0.6838183110487339,15,0,True,15,-0.01448583959533627,0.02246263357677037,4,-0.04159686559141958,0.012625186400747033,0.27100947046943347,0.012640430001177953,0.0380836116995477,0.33466013315765664,False,False,True,False,잡음 수준 — 부호 해석 금지,0.019,탐색적/exploratory,1.0,False
aptos2019,B0d,w11_preds_dinov2,panderm,B0,tau,False,severe,3,True,0.3526765632028791,0.25744877659206494,0.44790434981369326,0.6282280398333026,0.6055179158561758,0.6509381638104293,0.677511946122941,0.6482420554466429,0.706781836799239,15,0,True,15,-0.049283906289638406,0.024007827938932302,0,-0.0782598874513037,-0.020307925127973105,0.0026354497847812072,0.013509959440206935,0.04070336605238375,0.9760399172672782,False,False,False,False,,0.019,탐색적/exploratory,0.07642804375865501,False
aptos2019,B0d,w11_preds_dinov2,panderm,B0,offset,False,severe,3,True,0.3526765632028791,0.25744877659206494,0.44790434981369326,0.6282280398333026,0.6055179158561758,0.6509381638104293,0.6677919954391639,0.6425845054614722,0.6929994854168556,15,0,True,15,-0.03956395560586144,0.014826751706663472,0,-0.05745893882690814,-0.021668972384814744,0.0003152282718079495,0.008343479247542075,0.025137580276700707,0.9828498297476417,False,False,False,False,,0.019,탐색적/exploratory,0.009456848154238485,False
aptos2019,B0d,w11_preds_dinov2,panderm,B0,union,False,severe,3,True,0.3526765632028791,0.25744877659206494,0.44790434981369326,0.6282280398333026,0.6055179158561758,0.6509381638104293,0.6791185683565064,0.6493731510838109,0.7088639856292019,15,0,True,15,-0.050890528523203936,0.02249059819344511,0,-0.07803530610264671,-0.023745750943761166,0.0012629599320547278,0.012656166570016988,0.0381310234867332,0.9857263977455393,False,False,False,False,,0.019,탐색적/exploratory,0.03788879796164184,False
aptos2019,B0d,w11_preds_dinov2,dinov2,B0d,tau,False,severe,3,True,0.3526765632028791,0.25744877659206494,0.44790434981369326,0.6282280398333026,0.6055179158561758,0.6509381638104293,0.6582057241990561,0.6337745259739108,0.6826369224242014,15,0,True,15,-0.029977684365753623,0.013547260417878482,0,-0.04632839979320176,-0.013626968938305482,0.0015031822631092868,0.0076234692799784665,0.022968304387989556,0.8941621020911714,False,False,False,False,,0.019,탐색적/exploratory,0.03757955657773217,False
