mean_diff,sd,se_nb,wins,ci_lo,ci_hi,p_nb,tost_p,equivalent,mde_post,arm,dataset,base,contrast,what,n_folds,mde_floor,passes_floor
-0.013379729432360972,0.03184726895634515,0.017921459324683878,5,-0.05181743682000335,0.025057977955281405,0.4676725720420432,0.35867677302474305,False,0.05399451584692105,A3n,oral_diseases,A0,A3n-A0,손실 단독,15,0.032,False
0.006793839688576497,0.0435385330185397,0.02450050111416872,7,-0.0457545089484079,0.059342188325560895,0.7856068865211308,0.2991717611299837,False,0.07381612577969147,A3n,oral_diseases,A0,(A3-A0)-(A1-A0)-(A3n-A0),상호작용,15,0.032,False
0.0017169185590238574,0.01387768240652835,0.00780940811943396,5,-0.01503259601605531,0.018466433134103025,0.8291593656911984,0.01727010539167816,True,0.02352850863428716,A4n,oral_diseases,A0,A4n-A0,손실 단독,15,0.032,False
-0.007171527303106306,0.014281840287383149,0.008036840463237702,2,-0.024408835741577685,0.010065781135365074,0.3872958778128677,0.0663806915226405,False,0.024213726231199023,A4n,oral_diseases,A0,(A4-A0)-(A1-A0)-(A4n-A0),상호작용,15,0.032,False
0.02169240764053868,0.018023957345376325,0.010142647360995845,13,-6.140739956985233e-05,0.04344622268064721,0.05056640820343501,0.5650670818476632,False,0.030558188579471735,B3n,aptos2019,B0,B3n-B0,손실 단독,15,0.019,False
-0.013493324006722918,0.020220683870108537,0.011378814428081162,4,-0.03789845371635843,0.010911805702912596,0.2554266585602792,0.2882540421324781,False,0.03428256398238594,B3n,aptos2019,B0,(B3-B0)-(B1-B0)-(B3n-B0),상호작용,15,0.019,False
-0.004413581010816725,0.01733818600233436,0.009756742269818104,5,-0.025339711948567534,0.016512549926934083,0.6579382380364316,0.0662361289089294,False,0.029395517717489817,B4n,aptos2019,B0,B4n-B0,손실 단독,15,0.019,False
0.013937814368868392,0.016011237276145583,0.009010026510456414,12,-0.00538677054854503,0.033262399286281816,0.14418409296457563,0.25600558918414024,False,0.027145781511774235,B4n,aptos2019,B0,(B4-B0)-(B1-B0)-(B4n-B0),상호작용,15,0.019,False
