dataset,wd,epochs,n_folds,bacc_baseline,bacc_reweight,train_acc_baseline,train_acc_reweight,train_bacc_baseline,train_bacc_reweight,wnorm_baseline,wnorm_reweight,mean_diff,sd,wins,ties,exploratory,se_nb,ci_lo,ci_hi,p_nb,mde_post,tost_p,equivalent,note,holm_family,holm_p
aptos2019,0.0,50,15,0.6500147344085576,0.6773236869504032,0.9029673606409717,0.8879026921169226,0.7970324396673416,0.8728066889762165,4.051536925633749,4.089057493209839,0.027308952541845614,0.013350617380769335,15,0,탐색적/exploratory,0.007512812061745261,0.011195573242986069,0.04342233184070516,0.002704172279760277,0.022634911731999784,0.8264347459341467,False,,w11-10 aptos2019 (12칸),0.03245006735712332
aptos2019,0.0001,50,15,0.6500147344085576,0.6773236869504032,0.9029673606409717,0.8879026921169226,0.7970324396673416,0.8728066889762165,4.051400836308797,4.088936487833659,0.027308952541845614,0.013350617380769335,15,0,탐색적/exploratory,0.007512812061745261,0.011195573242986069,0.04342233184070516,0.002704172279760277,0.022634911731999784,0.8264347459341467,False,,w11-10 aptos2019 (12칸),0.03245006735712332
aptos2019,0.01,50,15,0.6502246468140379,0.6773903536170699,0.9028990779506336,0.8878571858598122,0.7967174136382341,0.872671645070839,4.038160181045532,4.077148453394572,0.027165706803032017,0.013564595677775508,15,0,탐색적/exploratory,0.007633224375636849,0.010794068776276412,0.04353734482978762,0.0031449967760697048,0.02299769494472783,0.818113703746733,False,,w11-10 aptos2019 (12칸),0.03245006735712332
aptos2019,0.1,50,15,0.6503929234619708,0.6778834667647604,0.903058357618744,0.8877434046805882,0.795920066919462,0.8724404227518857,3.920649019877116,3.9725756963094074,0.027490543302789792,0.013857317487300702,15,0,탐색적/exploratory,0.007797948139236316,0.010765607940682334,0.04421547866489725,0.003361509826840042,0.023493981530708336,0.8234692134486307,False,,w11-10 aptos2019 (12칸),0.03245006735712332
aptos2019,0.0,200,15,0.6457036359493563,0.6554548011915637,0.9652283566593685,0.961018491869194,0.9235956183216287,0.9662504884775539,8.08068675994873,8.984098752339682,0.009751165242207397,0.013488027591129157,11,0,탐색적/exploratory,0.007590137106449578,-0.006528059783176615,0.026030390267591408,0.21974223648336125,0.022867879833313978,0.09917537822264239,False,잡음 수준 — 부호 해석 금지,w11-10 aptos2019 (12칸),1.0
aptos2019,0.0001,200,15,0.6457036359493563,0.6554548011915637,0.9652283566593685,0.961018491869194,0.9235956183216287,0.9662504884775539,8.080023956298827,8.983396275838215,0.009751165242207397,0.013488027591129157,11,0,탐색적/exploratory,0.007590137106449578,-0.006528059783176615,0.026030390267591408,0.21974223648336125,0.022867879833313978,0.09917537822264239,False,잡음 수준 — 부호 해석 금지,w11-10 aptos2019 (12칸),1.0
aptos2019,0.01,200,15,0.645770302616023,0.655634981371744,0.9648870053534716,0.9606771638679699,0.9228827198277725,0.9659793137020168,8.015957260131836,8.915440050760905,0.00986467875572091,0.01332890727119759,12,0,탐색적/exploratory,0.007500595100656453,-0.006222497767628553,0.025951855279070374,0.20958199469772112,0.02259810396500046,0.09902124919247429,False,잡음 수준 — 부호 해석 금지,w11-10 aptos2019 (12칸),1.0
aptos2019,0.1,200,15,0.6454907464098407,0.6593052719015443,0.9624065880755429,0.9584242157297994,0.9171273676691701,0.9638884931075127,7.481772486368815,8.345927047729493,0.013814525491703573,0.016640093755737558,13,0,탐색적/exploratory,0.009363903818916362,-0.006269050766050924,0.03389810174945807,0.16226620899244013,0.02821195774180864,0.2598063873265607,False,잡음 수준 — 부호 해석 금지,w11-10 aptos2019 (12칸),1.0
aptos2019,0.0,2000,15,0.6337425011614848,0.6353812284959216,0.9929227050044065,0.9926496363888476,0.9844834143487791,0.9928487833673386,31.239847819010418,31.80876350402832,0.001638727334436892,0.010778499645974066,9,0,탐색적/exploratory,0.006065400560758536,-0.011370263045167198,0.014647717714040984,0.790966570871719,0.018274090338431602,0.004524882441324901,True,잡음 수준 — 부호 해석 금지,w11-10 aptos2019 (12칸),1.0
aptos2019,0.0001,2000,15,0.6337425011614848,0.6353812284959216,0.9929227050044065,0.9926496363888476,0.9844834143487791,0.9928487833673386,31.219599787394205,31.787942759195964,0.001638727334436892,0.010778499645974066,9,0,탐색적/exploratory,0.006065400560758536,-0.011370263045167198,0.014647717714040984,0.790966570871719,0.018274090338431602,0.004524882441324901,True,잡음 수준 — 부호 해석 금지,w11-10 aptos2019 (12칸),1.0
