dataset,arm,base,scope,fold,n_test,n_boot,bacc_point,bacc_boot_lo,bacc_boot_hi,delta_point,delta_boot_lo,delta_boot_hi,cv_delta,cv_ci_lo,cv_ci_hi,cv_se_nb,cv_ttest_p_nb,cv_mde_post,mde_floor,note
aptos2019,B4,B0,fold2,2.0,732,2000,0.6523972410835175,0.6030026354640722,0.6996432633697985,-0.017281647533255562,-0.054873256385326384,0.01957467019557944,,,,,,,0.019,탐색적 · exploratory (w11 · 판정 아님 / not a verdict)
aptos2019,B5,B0,fold2,2.0,732,2000,0.6529838325108525,0.6044889184087515,0.7034310100972652,-0.01669505610592059,-0.04864162370562554,0.015675132274627742,,,,,,,0.019,탐색적 · exploratory (w11 · 판정 아님 / not a verdict)
aptos2019,B5s,B0,fold2,2.0,732,2000,0.6551822328925481,0.6076431034505367,0.7033543920516967,-0.014496655724224983,-0.04675495967268944,0.01665584772825235,,,,,,,0.019,탐색적 · exploratory (w11 · 판정 아님 / not a verdict)
aptos2019,B0d,,fold2,2.0,732,2000,0.672061542034076,0.6253368288278579,0.7223893779516221,,,,,,,,,,0.019,탐색적 · exploratory (w11 · 판정 아님 / not a verdict)
aptos2019,B1d,B0d,fold2,2.0,732,2000,0.6744578111140861,0.6259626080095768,0.7241712409257888,0.002396269080010116,-0.017497939020395238,0.02322387784719471,,,,,,,0.019,탐색적 · exploratory (w11 · 판정 아님 / not a verdict)
aptos2019,B3d,B0d,fold2,2.0,732,2000,0.6765525103957425,0.6270244035124779,0.7249929919838906,0.004490968361666514,-0.03974206775426867,0.05101085513830187,,,,,,,0.019,탐색적 · exploratory (w11 · 판정 아님 / not a verdict)
aptos2019,B4d,B0d,fold2,2.0,732,2000,0.6450672293966345,0.5969029860198497,0.6949806255102157,-0.026994312637441453,-0.0644827924668789,0.008388984650373455,,,,,,,0.019,탐색적 · exploratory (w11 · 판정 아님 / not a verdict)
aptos2019,B0,,fold3,3.0,732,2000,0.6579334418694952,0.6129965840280056,0.7052922707796097,,,,,,,,,,0.019,탐색적 · exploratory (w11 · 판정 아님 / not a verdict)
aptos2019,B1,B0,fold3,3.0,732,2000,0.6813626448646872,0.6323244895040989,0.7272376504540443,0.023429202995192022,-0.007900299131870224,0.054945723265409425,,,,,,,0.019,탐색적 · exploratory (w11 · 판정 아님 / not a verdict)
aptos2019,B2,B0,fold3,3.0,732,2000,0.6460145978176871,0.6006779900193214,0.6948347508907319,-0.011918844051808097,-0.048504040241241476,0.02698640912771228,,,,,,,0.019,탐색적 · exploratory (w11 · 판정 아님 / not a verdict)
