bacc,mcc,macro_mae,per_class_recall,arm,dataset,fold,seed,backbone,n_train,n_test
0.645417974815693,0.702771730069748,0.2373806275579809,"[0.9833795013850416, 0.581081081081081, 0.71, 0.41025641025641024, 0.5423728813559322]",B3n,aptos2019,5,4,panderm,2929,733
0.6654800666561312,0.728386139207418,0.22646657571623466,"[0.9861495844875346, 0.5675675675675675, 0.745, 0.38461538461538464, 0.6440677966101694]",B3n,aptos2019,6,4,panderm,2929,733
0.6874781749682449,0.7403380694658728,0.22131147540983606,"[0.9861495844875346, 0.6351351351351351, 0.755, 0.5526315789473685, 0.5084745762711864]",B3n,aptos2019,7,4,panderm,2930,732
0.6891751623918392,0.7336508608100194,0.2226775956284153,"[0.9889196675900277, 0.6216216216216216, 0.71, 0.4473684210526316, 0.6779661016949152]",B3n,aptos2019,8,4,panderm,2930,732
0.6220742378029589,0.6840499913984757,0.2650273224043716,"[0.9750692520775623, 0.5675675675675675, 0.7085427135678392, 0.38461538461538464, 0.4745762711864407]",B3n,aptos2019,9,4,panderm,2930,732
0.7084658227083693,0.7582149487118439,0.19781718963165076,"[0.9889196675900277, 0.6621621621621622, 0.76, 0.48717948717948717, 0.6440677966101694]",B3n,aptos2019,10,4,panderm,2929,733
0.6584488904098745,0.7031063460668764,0.24420190995907232,"[0.9750692520775623, 0.6621621621621622, 0.685, 0.46153846153846156, 0.5084745762711864]",B3n,aptos2019,11,4,panderm,2929,733
0.6576536038362415,0.7112386448062148,0.24043715846994534,"[0.9722991689750693, 0.6891891891891891, 0.72, 0.5, 0.4067796610169492]",B3n,aptos2019,12,4,panderm,2930,732
0.663691765759844,0.7209480657860659,0.23497267759562843,"[0.9806094182825484, 0.6081081081081081, 0.74, 0.4473684210526316, 0.5423728813559322]",B3n,aptos2019,13,4,panderm,2930,732
0.6474595765781023,0.7056287997550635,0.24453551912568305,"[0.9833795013850416, 0.5405405405405406, 0.7185929648241206, 0.38461538461538464, 0.6101694915254238]",B3n,aptos2019,14,4,panderm,2930,732
0.6495567584942203,0.7331787927879867,0.23192360163710776,"[0.9889196675900277, 0.6216216216216216, 0.795, 0.38461538461538464, 0.4576271186440678]",B4n,aptos2019,0,4,panderm,2929,733
0.6307364306452528,0.7235130580447131,0.24147339699863574,"[0.9778393351800554, 0.6891891891891891, 0.79, 0.20512820512820512, 0.4915254237288136]",B4n,aptos2019,1,4,panderm,2929,733
0.6338038519763014,0.720681843592091,0.24043715846994534,"[0.9806094182825484, 0.6756756756756757, 0.775, 0.2631578947368421, 0.4745762711864407]",B4n,aptos2019,2,4,panderm,2930,732
