dataset,arm,base,role,rep,lever,loss,preregistered,side,fold,cos_centred_mean,relnorm_fro_centred,relnorm_fro_raw,bias_slope,bias_r,bias_p,margin_spearman_true,n_test,n_flip,flip_rate,n_train,n_train_flip,train_agree_before,offset_identified,offset_method,offset_delta,train_agree_ls,train_agree_greedy,flip_repro,flip_repro_ls,flip_repro_greedy,n_flip_repro,n_flip_repro_ls,n_flip_repro_greedy,flip_repro_ceiling,n_flip_repro_ceiling,test_agree_ceiling,test_agree,test_agree_ls,test_agree_greedy,bacc_base,bacc_arm,bacc_base_offset,bacc_offset_minus_arm,exploratory
aptos2019,B1d,B0d,primary,dinov2,rebalance,ce,True,False,0,0.969411301612854,0.27230367064476013,0.3322829008102417,-0.04549449657635069,-0.20161086206108628,0.7450508418567491,0.9864693194084545,733,30,0.040927694406548434,2929,50,0.9829293274155002,True,greedy,-0.4000;0.3000;-0.5000;0.3000;0.0000,0.9887333560942301,0.99556162512803,0.5333333333333333,0.23333333333333334,0.5333333333333333,16,7,16,0.5666666666666667,17,0.9727148703956344,0.9645293315143247,0.9631650750341064,0.9645293315143247,0.6452128113732415,0.6625615206411488,0.6557257067531729,-0.006835813887975939,탐색적/exploratory
aptos2019,B1,B0,primary,panderm,rebalance,ce,True,False,0,0.9561079382896424,0.3546803593635559,0.3939739763736725,0.028494122248880826,0.12226300563656821,0.8447186130399853,0.9829312835500544,733,58,0.0791268758526603,2929,162,0.9446910208262206,True,greedy,-0.9000;0.4000;-0.4000;0.6000;0.6000,0.9689313758962103,0.9805394332536702,0.603448275862069,0.4482758620689655,0.603448275862069,35,26,35,0.6379310344827587,37,0.9590723055934516,0.9508867667121419,0.9495225102319236,0.9508867667121419,0.6711051026214648,0.653690343902936,0.6755417481102726,0.021851404207336556,탐색적/exploratory
aptos2019,B2,B0,primary,panderm,aug,ce,True,False,0,0.68641037940979,0.7679595351219177,0.774661123752594,-0.06824397637287812,-0.6354035603125422,0.24931254120566612,0.9469040198081989,733,58,0.0791268758526603,2929,166,0.9433253670194606,True,greedy,0.4000;-0.4000;0.0000;-0.5000;-0.7000,0.9460566746329805,0.9501536360532605,0.2413793103448276,0.22413793103448276,0.2413793103448276,14,13,14,0.2413793103448276,14,0.931787175989086,0.9263301500682128,0.927694406548431,0.9263301500682128,0.6711051026214648,0.6544386899693722,0.6555972616012055,0.001158571631833305,탐색적/exploratory
aptos2019,B5,B0,primary,panderm,mixup,mixup,True,False,0,0.8991583466529847,0.4806661009788513,0.4852164387702942,-0.5450250501398866,-0.8234605396825633,0.08664591070594302,0.8612394073317656,733,56,0.07639836289222374,2929,151,0.9484465687948105,True,greedy,-0.7000;0.0000;0.6000;-1.1000;0.1000,0.9590303857972005,0.9634687606691703,0.4107142857142857,0.4107142857142857,0.4107142857142857,23,23,23,0.5178571428571429,29,0.956343792633015,0.9440654843110505,0.9495225102319236,0.9440654843110505,0.6711051026214648,0.644197530120672,0.6461709773170875,0.0019734471964154565,탐색적/exploratory
aptos2019,B5s,B0,primary,panderm,mixup,mixup,True,False,0,0.9041131258010864,0.44723427295684814,0.46152812242507935,-0.5318896554293171,-0.8520805402302267,0.06675643859819334,0.9053612885780351,733,49,0.06684856753069578,2929,114,0.9610788665073404,True,greedy,-0.2000;0.3000;0.0000;-0.5000;0.0000,0.9593717992488904,0.9648344144759303,0.2653061224489796,0.2857142857142857,0.2653061224489796,13,14,13,0.3877551020408163,19,0.946793997271487,0.9454297407912687,0.9427012278308322,0.9454297407912687,0.6711051026214648,0.6654091647690408,0.6741210614522977,0.008711896683256892,탐색적/exploratory
aptos2019,B_la,B0,primary,panderm,none,logitadj,False,True,0,0.9788014650344848,0.28435730934143066,0.3140897750854492,0.05849121482557517,0.22764547458612605,0.7126760419699629,0.978238257963723,733,68,0.0927694406548431,2929,186,0.9364970979856606,True,greedy,-0.9000;0.8000;-0.2000;1.1000;0.8000,0.9675657220894504,0.9829293274155002,0.7794117647058824,0.6029411764705882,0.7794117647058824,53,41,53,0.8235294117647058,56,0.975443383356071,0.9645293315143247,0.956343792633015,0.9645293315143247,0.6711051026214648,0.657649456862049,0.6820341471137753,0.024384690251726293,탐색적/exploratory
aptos2019,B_ldam,B0,primary,panderm,none,ldam,False,True,0,0.938457453250885,0.5775668025016785,0.5841055512428284,0.13716213039505765,0.790755074587321,0.11122242489597797,0.9642983674305818,733,46,0.06275579809004093,2929,60,0.9795151928986002,True,greedy,-0.3000;0.2000;0.0000;0.3000;0.3000,0.9761010583817002,0.9839535677705702,0.1956521739130435,0.06521739130434782,0.1956521739130435,9,3,9,0.391304347826087,18,0.9481582537517054,0.9413369713506139,0.9399727148703957,0.9413369713506139,0.6711051026214648,0.6500888941685223,0.6696591941090743,0.019570299940551927,탐색적/exploratory
aptos2019,B1d,B0d,primary,dinov2,rebalance,ce,True,False,1,0.964327871799469,0.29475879669189453,0.35967230796813965,-0.06071084081534846,-0.2580886601930115,0.6750767486517769,0.9898639642031798,733,31,0.04229195088676671,2929,36,0.9877091157391601,True,greedy,-1.1000;0.5000;-0.3000;0.6000;0.3000,0.9921474906111301,0.99761010583817,0.7096774193548387,0.22580645161290322,0.7096774193548387,22,7,22,0.7419354838709677,23,0.975443383356071,0.9713506139154161,0.9645293315143247,0.9713506139154161,0.6254897884807271,0.6327823294551779,0.6458187846624392,0.013036455207261377,탐색적/exploratory
aptos2019,B1,B0,primary,panderm,rebalance,ce,True,False,1,0.9599899411201477,0.34188252687454224,0.37879109382629395,0.04599767284870734,0.2202894610473585,0.721804059268449,0.9881307483351396,733,36,0.04911323328785812,2929,161,0.9450324342779105,True,greedy,-1.1000;0.3000;-0.7000;0.5000;0.3000,0.9696142027995903,0.9832707408671901,0.6666666666666666,0.3333333333333333,0.6666666666666666,24,12,24,0.6666666666666666,24,0.9699863574351978,0.9577080491132333,0.9604365620736699,0.9577080491132333,0.6427510783418102,0.6559923879247322,0.6553977933301376,-0.0005945945945946551,탐색적/exploratory
aptos2019,B2,B0,primary,panderm,aug,ce,True,False,1,0.6831156730651855,0.770531952381134,0.7767082452774048,-0.06754481283159676,-0.6814657690775684,0.20518383380982164,0.9523955684726686,733,77,0.10504774897680765,2929,150,0.9487879822465005,True,greedy,0.2000;-0.3000;0.2000;0.0000;0.0000,0.9525435302150905,0.9549334243769204,0.09090909090909091,0.12987012987012986,0.09090909090909091,7,10,7,0.4675324675324675,36,0.9113233287858117,0.8949522510231923,0.903137789904502,0.8949522510231923,0.6427510783418102,0.635869157896624,0.6318477343198222,-0.004021423576801797,탐색적/exploratory
