dataset,arm,source,family,frontier_base,axis,fold,recall_target,bacc,frontier_bacc,gap,exploratory
oral_diseases,A0,w11_preds_panderm,dinov2,A0d,union,6,0.6842105263157895,0.7286426293005241,0.6968728639781271,0.03176976532239706,탐색적/exploratory
oral_diseases,A0,w11_preds_panderm,panderm,A0,tau,7,0.6842105263157895,0.7395192526771474,0.7395192526771474,0.0,탐색적/exploratory
oral_diseases,A0,w11_preds_panderm,panderm,A0,offset,7,0.6842105263157895,0.7395192526771474,0.762075643654591,-0.022556390977443663,탐색적/exploratory
oral_diseases,A0,w11_preds_panderm,panderm,A0,union,7,0.6842105263157895,0.7395192526771474,0.762075643654591,-0.022556390977443663,탐색적/exploratory
oral_diseases,A0,w11_preds_panderm,dinov2,A0d,tau,7,0.6842105263157895,0.7395192526771474,,,탐색적/exploratory
oral_diseases,A0,w11_preds_panderm,dinov2,A0d,offset,7,0.6842105263157895,0.7395192526771474,0.6960611756664389,0.043458077010708474,탐색적/exploratory
oral_diseases,A0,w11_preds_panderm,dinov2,A0d,union,7,0.6842105263157895,0.7395192526771474,0.6960611756664389,0.043458077010708474,탐색적/exploratory
oral_diseases,A0,w11_preds_panderm,panderm,A0,tau,8,0.5555555555555556,0.7984459984459985,0.8094350094350095,-0.01098901098901095,탐색적/exploratory
oral_diseases,A0,w11_preds_panderm,panderm,A0,offset,8,0.5555555555555556,0.7984459984459985,0.8173715173715174,-0.01892551892551886,탐색적/exploratory
oral_diseases,A0,w11_preds_panderm,panderm,A0,union,8,0.5555555555555556,0.7984459984459985,0.8173715173715174,-0.01892551892551886,탐색적/exploratory
oral_diseases,A0,w11_preds_panderm,dinov2,A0d,tau,8,0.5555555555555556,0.7984459984459985,,,탐색적/exploratory
oral_diseases,A0,w11_preds_panderm,dinov2,A0d,offset,8,0.5555555555555556,0.7984459984459985,0.7103563103563103,0.0880896880896882,탐색적/exploratory
oral_diseases,A0,w11_preds_panderm,dinov2,A0d,union,8,0.5555555555555556,0.7984459984459985,0.7103563103563103,0.0880896880896882,탐색적/exploratory
oral_diseases,A0,w11_preds_panderm,panderm,A0,tau,9,0.5263157894736842,0.7071476768845191,0.7219065291433713,-0.014758852258852206,탐색적/exploratory
oral_diseases,A0,w11_preds_panderm,panderm,A0,offset,9,0.5263157894736842,0.7071476768845191,0.7467081164449585,-0.03956043956043942,탐색적/exploratory
oral_diseases,A0,w11_preds_panderm,panderm,A0,union,9,0.5263157894736842,0.7071476768845191,0.7467081164449585,-0.03956043956043942,탐색적/exploratory
oral_diseases,A0,w11_preds_panderm,dinov2,A0d,tau,9,0.5263157894736842,0.7071476768845191,0.756545209176788,-0.04939753229226895,탐색적/exploratory
oral_diseases,A0,w11_preds_panderm,dinov2,A0d,offset,9,0.5263157894736842,0.7071476768845191,0.756545209176788,-0.04939753229226895,탐색적/exploratory
oral_diseases,A0,w11_preds_panderm,dinov2,A0d,union,9,0.5263157894736842,0.7071476768845191,0.756545209176788,-0.04939753229226895,탐색적/exploratory
oral_diseases,A0,w11_preds_panderm,panderm,A0,tau,10,0.7894736842105263,0.8059013355065987,0.8059013355065987,0.0,탐색적/exploratory
oral_diseases,A0,w11_preds_panderm,panderm,A0,offset,10,0.7894736842105263,0.8059013355065987,0.8059013355065987,0.0,탐색적/exploratory
oral_diseases,A0,w11_preds_panderm,panderm,A0,union,10,0.7894736842105263,0.8059013355065987,0.8059013355065987,0.0,탐색적/exploratory
oral_diseases,A0,w11_preds_panderm,dinov2,A0d,tau,10,0.7894736842105263,0.8059013355065987,,,탐색적/exploratory
oral_diseases,A0,w11_preds_panderm,dinov2,A0d,offset,10,0.7894736842105263,0.8059013355065987,0.7497378352641509,0.05616350024244776,탐색적/exploratory
oral_diseases,A0,w11_preds_panderm,dinov2,A0d,union,10,0.7894736842105263,0.8059013355065987,0.7497378352641509,0.05616350024244776,탐색적/exploratory
oral_diseases,A0,w11_preds_panderm,panderm,A0,tau,11,0.5263157894736842,0.6732579554947976,0.6981497303865726,-0.024891774891774965,탐색적/exploratory
oral_diseases,A0,w11_preds_panderm,panderm,A0,offset,11,0.5263157894736842,0.6732579554947976,0.6851627173995596,-0.011904761904761973,탐색적/exploratory
oral_diseases,A0,w11_preds_panderm,panderm,A0,union,11,0.5263157894736842,0.6732579554947976,0.6981497303865726,-0.024891774891774965,탐색적/exploratory
oral_diseases,A0,w11_preds_panderm,dinov2,A0d,tau,11,0.5263157894736842,0.6732579554947976,0.645660552897395,0.02759740259740262,탐색적/exploratory
oral_diseases,A0,w11_preds_panderm,dinov2,A0d,offset,11,0.5263157894736842,0.6732579554947976,0.645660552897395,0.02759740259740262,탐색적/exploratory
oral_diseases,A0,w11_preds_panderm,dinov2,A0d,union,11,0.5263157894736842,0.6732579554947976,0.645660552897395,0.02759740259740262,탐색적/exploratory
oral_diseases,A0,w11_preds_panderm,panderm,A0,tau,12,0.631578947368421,0.743724842409053,0.7686166173008279,-0.024891774891774854,탐색적/exploratory
oral_diseases,A0,w11_preds_panderm,panderm,A0,offset,12,0.631578947368421,0.743724842409053,0.7587624363940153,-0.015037593984962294,탐색적/exploratory
oral_diseases,A0,w11_preds_panderm,panderm,A0,union,12,0.631578947368421,0.743724842409053,0.7686166173008279,-0.024891774891774854,탐색적/exploratory
oral_diseases,A0,w11_preds_panderm,dinov2,A0d,tau,12,0.631578947368421,0.743724842409053,0.6886534518113466,0.05507139059770638,탐색적/exploratory
oral_diseases,A0,w11_preds_panderm,dinov2,A0d,offset,12,0.631578947368421,0.743724842409053,0.6982228298017772,0.04550201260727582,탐색적/exploratory
