dataset,arm,wave,loss,family,scaling,repeat,n,n_classes,argmax_pred_agree,ece_top_ew,ece_top_em,ece_top_db,ece_top_rms_em,ece_top_bias_corr,ece_dep_em,cwece_ew,cwece_em,cwece_db,cwece_rms_em,brier_multiclass,brier_balanced,brier_ovr_mean,nll,acc,bacc,mean_conf,n_bins_eff_em,exploratory
aptos2019,B0,w1,ce,softmax,none,0,3662,5,1.0,0.08887097394726126,0.08714058319200865,0.1164432240250455,0.11841186453009367,0.0019686405050481637,0.08714058319200865,0.03977241307115636,0.0369382457985532,0.06337787731022501,0.06555218848958541,0.27726005826115313,0.5364865573145987,0.055452011652230626,0.5939765552895282,0.8181321682140906,0.6526393903848001,0.9052692023132747,15,탐색적/exploratory
aptos2019,B0,w1,ce,softmax,none,1,3662,5,1.0,0.09642932254278061,0.09637624790586925,0.13045600516178865,0.13221267272443515,0.0017566675626465023,0.09637624790586925,0.04135874973351912,0.038205683623925756,0.06427828285492583,0.06652244492579466,0.2851558580989984,0.5511183108421397,0.05703117161979968,0.6141322584491229,0.8080283997815402,0.6333373355772423,0.9044040926116894,15,탐색적/exploratory
aptos2019,B0,w1,ce,softmax,none,2,3662,5,1.0,0.08610398953563887,0.08444220718376745,0.1152706903032407,0.11727588757764612,0.0020051972744054153,0.08444220718376745,0.03915878055670637,0.03725143873169515,0.06376813238566262,0.06588155075571885,0.27736995538057124,0.5480208303731309,0.05547399107611425,0.6100723632578099,0.821409066084107,0.6509750935188895,0.9058478419054957,15,탐색적/exploratory
aptos2019,B0d,w2,ce,softmax,none,0,3662,5,1.0,0.12406122702929889,0.12140936502088531,0.1593504366423783,0.1609050084804426,0.0015545718380642892,0.12140936502088531,0.05299958070078331,0.05136719453282975,0.08706411387808828,0.088762726164448,0.31755549737480504,0.5963898174636937,0.063511099474961,0.7625483152010155,0.801201529219006,0.6328944609700888,0.9226108942398913,15,탐색적/exploratory
aptos2019,B0d,w2,ce,softmax,none,1,3662,5,1.0,0.127398956212027,0.12550417290730828,0.15935014735781194,0.1609709919237145,0.0016208445659025572,0.12550417290730828,0.05413634190086578,0.05192294111020235,0.08876045759525393,0.09040769072934703,0.3265620548624668,0.6211960980073477,0.06531241097249336,0.8100228306830541,0.798197706171491,0.6237121090977422,0.9237018790787992,15,탐색적/exploratory
aptos2019,B0d,w2,ce,softmax,none,2,3662,5,1.0,0.12849240464338602,0.12849247994601629,0.16285778127665956,0.16445115219325301,0.0015933709165934506,0.12849247994601629,0.05403690884624078,0.051018092865222076,0.08783449338529822,0.0896379364634628,0.32918650592165155,0.6129606525062514,0.06583730118433032,0.810019117555391,0.7949208083014746,0.6278708347969573,0.9234132129448613,15,탐색적/exploratory
aptos2019,B1,w1,ce,softmax,none,0,3662,5,1.0,0.10565134274305904,0.10565254343484733,0.1355402301157152,0.13733777359801538,0.0017975434823001846,0.10565254343484733,0.04937188896073265,0.04664924617125936,0.09053009334326137,0.09183278145432956,0.30316755883113533,0.520634116872753,0.06063351176622707,0.6586827183043074,0.7971054068814856,0.6605114759061125,0.902756749624544,15,탐색적/exploratory
aptos2019,B1,w1,ce,softmax,none,1,3662,5,1.0,0.1100166525059102,0.10885772889899568,0.14246231431817338,0.14421044680352163,0.0017481324853482472,0.10885772889899568,0.048457272688174936,0.0461513765394307,0.0890658855670782,0.09041447706588707,0.3120681934956741,0.5309355661910095,0.06241363869913482,0.6790093034230295,0.792190060076461,0.650315793897786,0.9010466466839532,15,탐색적/exploratory
aptos2019,B1,w1,ce,softmax,none,2,3662,5,1.0,0.10442851858470198,0.10442859246651373,0.13403292020916308,0.13587974160467098,0.0018468213955079027,0.10442859246651373,0.04979751787083718,0.04821726118630961,0.09115215162933779,0.09248612554367748,0.30628483392255923,0.5363419460596073,0.06125696678451185,0.6733747519798854,0.7987438558164938,0.6553943605237652,0.9031723744011968,15,탐색적/exploratory
aptos2019,B1d,w2,ce,softmax,none,0,3662,5,1.0,0.1312128314881269,0.13121283148812585,0.16333882588868773,0.16493714204880336,0.0015983161601156315,0.13121283148812585,0.057232994453814065,0.05448895234283648,0.09824714312520094,0.09970145541334467,0.33408400030413365,0.5865142666849079,0.06681680006082673,0.8216223331174193,0.79000546149645,0.637189431130673,0.9212182929845757,15,탐색적/exploratory
