dataset,task,scenario,prevalence,strategy,strategy_kind,p_t,exchange_rate_w,n_folds,nb,nb_se_nb,nb_ci_lo,nb_ci_hi,nb_per_1000,nb_per_1000_lo,nb_per_1000_hi,mean_tp_rate,mean_fp_rate,exploratory
aptos2019,fundus_referable_ge2,native,0.4060619953928387,B0,arm,0.01,0.010101010101010102,15,0.3702130972086019,0.004787233811550808,0.35994550185763774,0.38048069255956607,370.2130972086019,359.94550185763774,380.4806925595661,0.3705606373488198,0.034406473881570615,탐색적/exploratory
aptos2019,fundus_referable_ge2,native,0.4060619953928387,B0,arm,0.015,0.015228426395939085,15,0.37003668089377045,0.0047832029095127935,0.3597777309678377,0.3802956308197032,370.03668089377044,359.7777309678377,380.2956308197032,0.3705606373488198,0.034406473881570615,탐색적/exploratory
aptos2019,fundus_referable_ge2,native,0.4060619953928387,B0,arm,0.02,0.020408163265306124,15,0.3698584644124612,0.004779201871541244,0.35960809585950765,0.3801088329654147,369.85846441246116,359.60809585950767,380.1088329654147,0.3705606373488198,0.034406473881570615,탐색적/exploratory
aptos2019,fundus_referable_ge2,native,0.4060619953928387,B0,arm,0.025,0.025641025641025644,15,0.3696784200698051,0.004775232437050213,0.35943656510710653,0.3799202750325037,369.6784200698051,359.4365651071065,379.9202750325037,0.3705606373488198,0.034406473881570615,탐색적/exploratory
aptos2019,fundus_referable_ge2,native,0.4060619953928387,B0,arm,0.03,0.030927835051546393,15,0.3694965195999052,0.004771296408879533,0.35926310657803034,0.37972993262178006,369.4965195999052,359.2631065780303,379.72993262178005,0.3705606373488198,0.034406473881570615,탐색적/exploratory
aptos2019,fundus_referable_ge2,native,0.4060619953928387,B0,arm,0.035,0.036269430051813475,15,0.3693127341510426,0.004767395655568799,0.35908768741294145,0.37953778088914375,369.3127341510426,359.0876874129414,379.53778088914373,0.3705606373488198,0.034406473881570615,탐색적/exploratory
aptos2019,fundus_referable_ge2,native,0.4060619953928387,B0,arm,0.04,0.04166666666666667,15,0.369127034270421,0.004763532113714938,0.3589102740054562,0.37934379453538575,369.127034270421,358.91027400545624,379.34379453538577,0.3705606373488198,0.034406473881570615,탐색적/exploratory
aptos2019,fundus_referable_ge2,native,0.4060619953928387,B0,arm,0.045,0.04712041884816754,15,0.3689393898884316,0.004759707790416513,0.3587308319811676,0.3791479477956956,368.9393898884316,358.7308319811676,379.1479477956956,0.3705606373488198,0.034406473881570615,탐색적/exploratory
aptos2019,fundus_referable_ge2,native,0.4060619953928387,B0,arm,0.05,0.052631578947368425,15,0.36874977030242134,0.004755924765807893,0.35854932617597796,0.37895021442886473,368.7497703024213,358.54932617597797,378.95021442886474,0.3705606373488198,0.034406473881570615,탐색적/exploratory
aptos2019,fundus_referable_ge2,native,0.4060619953928387,B0,arm,0.055,0.058201058201058205,15,0.3685581441599453,0.004752185195686696,0.3583657206137164,0.3787505677061742,368.5581441599453,358.3657206137164,378.7505677061742,0.3705606373488198,0.034406473881570615,탐색적/exploratory
aptos2019,fundus_referable_ge2,native,0.4060619953928387,B0,arm,0.06,0.06382978723404255,15,0.3683644794414855,0.004748491314237888,0.35817997848301475,0.3785489803999562,368.36447944148546,358.17997848301474,378.54898039995624,0.3705606373488198,0.034406473881570615,탐색적/exploratory
aptos2019,fundus_referable_ge2,native,0.4060619953928387,B0,arm,0.065,0.06951871657754011,15,0.36816874344261435,0.004744845436857985,0.35799206211341383,0.3783454247718149,368.16874344261436,357.99206211341385,378.34542477181486,0.3705606373488198,0.034406473881570615,탐색적/exploratory
aptos2019,fundus_referable_ge2,native,0.4060619953928387,B0,arm,0.07,0.07526881720430109,15,0.3679709027555832,0.004741249963083272,0.3578019329506714,0.37813987256049497,367.9709027555832,357.8019329506714,378.13987256049495,0.3705606373488198,0.034406473881570615,탐색적/exploratory
aptos2019,fundus_referable_ge2,native,0.4060619953928387,B0,arm,0.075,0.08108108108108107,15,0.367770923250314,0.004737707379625544,0.3576095515312432,0.37793229496938485,367.770923250314,357.6095515312432,377.9322949693848,0.3705606373488198,0.034406473881570615,탐색적/exploratory
aptos2019,fundus_referable_ge2,native,0.4060619953928387,B0,arm,0.08,0.08695652173913043,15,0.3675687700547702,0.004734220263519528,0.3574148774559028,0.3777226626536376,367.5687700547702,357.4148774559028,377.7226626536376,0.3705606373488198,0.034406473881570615,탐색적/exploratory
aptos2019,fundus_referable_ge2,native,0.4060619953928387,B0,arm,0.085,0.09289617486338798,15,0.3673644075346848,0.004730791285385877,0.35721786936247163,0.37751094570689797,367.3644075346848,357.2178693624716,377.510945706898,0.3705606373488198,0.034406473881570615,탐색적/exploratory
aptos2019,fundus_referable_ge2,native,0.4060619953928387,B0,arm,0.09,0.0989010989010989,15,0.3671577992726205,0.004727423212814032,0.35701848489762333,0.37729711364761764,367.1577992726205,357.01848489762335,377.29711364761766,0.3705606373488198,0.034406473881570615,탐색적/exploratory
aptos2019,fundus_referable_ge2,native,0.4060619953928387,B0,arm,0.095,0.10497237569060773,15,0.36694890804633434,0.00472411891386918,0.356816680687727,0.3770811354049417,366.94890804633434,356.816680687727,377.0811354049417,0.3705606373488198,0.034406473881570615,탐색적/exploratory
aptos2019,fundus_referable_ge2,native,0.4060619953928387,B0,arm,0.1,0.11111111111111112,15,0.366737695806423,0.0047208813607278795,0.35661241230869456,0.37686297930415147,366.737695806423,356.61241230869456,376.86297930415145,0.3705606373488198,0.034406473881570615,탐색적/exploratory
aptos2019,fundus_referable_ge2,native,0.4060619953928387,B0,arm,0.105,0.11731843575418993,15,0.3665241236532165,0.004717713633446858,0.3564056342547914,0.37664261305164165,366.5241236532165,356.4056342547914,376.64261305164166,0.3705606373488198,0.034406473881570615,탐색적/exploratory
aptos2019,fundus_referable_ge2,native,0.4060619953928387,B0,arm,0.11,0.12359550561797752,15,0.36630815181289533,0.004714618923869783,0.3561962999063741,0.3764200037194166,366.30815181289535,356.19629990637407,376.42000371941657,0.3705606373488198,0.034406473881570615,탐색적/exploratory
aptos2019,fundus_referable_ge2,native,0.4060619953928387,B0,arm,0.115,0.12994350282485875,15,0.36608973961279645,0.004711600539676961,0.35598436149651097,0.37619511772908193,366.08973961279645,355.984361496511,376.1951177290819,0.3705606373488198,0.034406473881570615,탐색적/exploratory
aptos2019,fundus_referable_ge2,native,0.4060619953928387,B0,arm,0.12,0.13636363636363635,15,0.36586884545587833,0.004708661908582882,0.3557697700764441,0.37596792083531255,365.86884545587833,355.7697700764441,375.96792083531255,0.3705606373488198,0.034406473881570615,탐색적/exploratory
aptos2019,fundus_referable_ge2,native,0.4060619953928387,B0,arm,0.125,0.14285714285714285,15,0.36564542679430967,0.004705806582687017,0.3555524754798466,0.37573837810877275,365.6454267943097,355.5524754798466,375.73837810877274,0.3705606373488198,0.034406473881570615,탐색적/exploratory
aptos2019,fundus_referable_ge2,native,0.4060619953928387,B0,arm,0.13,0.14942528735632185,15,0.3654194401021484,0.004703038242983022,0.35533242628583006,0.3755064539184667,365.41944010214837,355.3324262858301,375.5064539184667,0.3705606373488198,0.034406473881570615,탐색적/exploratory
aptos2019,fundus_referable_ge2,native,0.4060619953928387,B0,arm,0.135,0.15606936416184972,15,0.36519084084707176,0.004700360704032123,0.3551095697806517,0.3752721119134918,365.19084084707174,355.1095697806517,375.2721119134918,0.3705606373488198,0.034406473881570615,탐색적/exploratory
aptos2019,fundus_referable_ge2,native,0.4060619953928387,B0,arm,0.14,0.16279069767441862,15,0.36495958346112223,0.004697777918806091,0.3548838519180727,0.37503531500417175,364.95958346112224,354.8838519180727,375.03531500417176,0.3705606373488198,0.034406473881570615,탐색적/exploratory
aptos2019,fundus_referable_ge2,native,0.4060619953928387,B0,arm,0.145,0.1695906432748538,15,0.36472562131042474,0.004695293983705937,0.3546552172783117,0.3747960253425378,364.72562131042474,354.6552172783117,374.7960253425378,0.3705606373488198,0.034406473881570615,탐색적/exploratory
aptos2019,fundus_referable_ge2,native,0.4060619953928387,B0,arm,0.15,0.17647058823529413,15,0.36448890666383665,0.004692913143762208,0.354423609025541,0.3745542043021323,364.48890666383664,354.423609025541,374.55420430213235,0.3705606373488198,0.034406473881570615,탐색적/exploratory
aptos2019,fundus_referable_ge2,native,0.4060619953928387,B0,arm,0.155,0.1834319526627219,15,0.3642493906604843,0.004690639798023142,0.3541889688638668,0.37430981245710176,364.24939066048427,354.1889688638668,374.30981245710177,0.3705606373488198,0.034406473881570615,탐색적/exploratory
aptos2019,fundus_referable_ge2,native,0.4060619953928387,B0,arm,0.16,0.1904761904761905,15,0.3640070232761396,0.004688478505136971,0.35395123699173303,0.37406280956054616,364.0070232761396,353.951236991733,374.06280956054616,0.3705606373488198,0.034406473881570615,탐색적/exploratory
aptos2019,fundus_referable_ge2,native,0.4060619953928387,B0,arm,0.165,0.1976047904191617,15,0.3637617532883897,0.00468643398913503,0.35371035205468737,0.3738131545220921,363.76175328838974,353.71035205468735,373.8131545220921,0.3705606373488198,0.034406473881570615,탐색적/exploratory
aptos2019,fundus_referable_ge2,native,0.4060619953928387,B0,arm,0.17,0.20481927710843376,15,0.36351352824054634,0.004684511145422352,0.3534662510964419,0.37356080538465075,363.51352824054635,353.4662510964419,373.56080538465073,0.3705606373488198,0.034406473881570615,탐색적/exploratory
aptos2019,fundus_referable_ge2,native,0.4060619953928387,B0,arm,0.175,0.21212121212121213,15,0.3632622944042441,0.00468271504698264,0.3532188695081634,0.37330571930032486,363.26229440424413,353.2188695081634,373.3057193003249,0.3705606373488198,0.034406473881570615,탐색적/exploratory
aptos2019,fundus_referable_ge2,native,0.4060619953928387,B0,arm,0.18,0.2195121951219512,15,0.3630079967406701,0.004681050950804653,0.3529681409759193,0.3730478525054209,363.0079967406701,352.96814097591925,373.0478525054209,0.3705606373488198,0.034406473881570615,탐색적/exploratory
aptos2019,fundus_referable_ge2,native,0.4060619953928387,B0,arm,0.185,0.22699386503067487,15,0.3627505788603651,0.004679524304537438,0.3527139974262054,0.3727871602945248,362.7505788603651,352.7139974262054,372.7871602945248,0.3705606373488198,0.034406473881570615,탐색적/exploratory
aptos2019,fundus_referable_ge2,native,0.4060619953928387,B0,arm,0.19,0.2345679012345679,15,0.3624899829815378,0.004678140753381594,0.3524563689694792,0.3725235969935964,362.48998298153776,352.4563689694792,372.52359699359636,0.3705606373488198,0.034406473881570615,탐색적/exploratory
aptos2019,fundus_referable_ge2,native,0.4060619953928387,B0,arm,0.195,0.24223602484472054,15,0.36222614988682444,0.004676906147224491,0.3521951838416164,0.3722571159320325,362.22614988682443,352.1951838416164,372.2571159320325,0.3705606373488198,0.034406473881570615,탐색적/exploratory
aptos2019,fundus_referable_ge2,native,0.4060619953928387,B0,arm,0.2,0.25,15,0.36195901887842713,0.004675826548026979,0.35193036834320623,0.371987669413648,361.9590188784271,351.9303683432062,371.987669413648,0.3705606373488198,0.034406473881570615,탐색적/exploratory
aptos2019,fundus_referable_ge2,native,0.4060619953928387,B0,arm,0.205,0.2578616352201258,15,0.36168852773155946,0.00467490823746987,0.3516618467765968,0.37171520868652214,361.6885277315595,351.6618467765968,371.71520868652215,0.3705606373488198,0.034406473881570615,탐색적/exploratory
aptos2019,fundus_referable_ge2,native,0.4060619953928387,B0,arm,0.21,0.26582278481012656,15,0.36141461264612385,0.004674157724868086,0.3513895413805986,0.3714396839116491,361.4146126461238,351.3895413805986,371.4396839116491,0.3705606373488198,0.034406473881570615,탐색적/exploratory
aptos2019,fundus_referable_ge2,native,0.4060619953928387,B0,arm,0.215,0.27388535031847133,15,0.36113720819654244,0.0046735817553611595,0.3511133722627483,0.37116104413033657,361.1372081965424,351.1133722627483,371.16104413033656,0.3705606373488198,0.034406473881570615,탐색적/exploratory
aptos2019,fundus_referable_ge2,native,0.4060619953928387,B0,arm,0.22,0.28205128205128205,15,0.36085624727965887,0.004673187318388432,0.3508332573290331,0.37087923723028465,360.8562472796589,350.8332573290331,370.8792372302847,0.3705606373488198,0.034406473881570615,탐색적/exploratory
aptos2019,fundus_referable_ge2,native,0.4060619953928387,B0,arm,0.225,0.2903225806451613,15,0.3605716610606218,0.00467298165645782,0.35054911221096696,0.3705942099102766,360.57166106062175,350.54911221096694,370.59420991027656,0.3705606373488198,0.034406473881570615,탐색적/exploratory
aptos2019,fundus_referable_ge2,native,0.4060619953928387,B0,arm,0.23,0.2987012987012987,15,0.3602833789166624,0.004672972274217118,0.35026085018991254,0.37030590764341226,360.2833789166624,350.26085018991256,370.30590764341224,0.3705606373488198,0.034406473881570615,탐색적/exploratory
aptos2019,fundus_referable_ge2,native,0.4060619953928387,B0,arm,0.235,0.3071895424836601,15,0.35999132837866404,0.004673166947836974,0.3499683821185258,0.37001427463880227,359.99132837866404,349.9683821185258,370.01427463880225,0.3705606373488198,0.034406473881570615,탐색적/exploratory
