dataset,mode,reference,mean_diff,sd,se_nb,ci_lo,ci_hi,p_nb,holm_p,passes_improvement_gate
oral_diseases,lora,frozen_lr,0.004639991030968445,0.020650633890473533,0.011620760819534084,-0.020284062078234858,0.02956404414017175,0.6957079816341265,1.0,False
oral_diseases,last2,frozen_lr,-0.017370814080167385,0.027141873690268867,0.01527358549967431,-0.05012939693662986,0.015387768776295087,0.2744997442222909,1.0,False
oral_diseases,full,frozen_lr,0.007535729917861711,0.039605602920261024,0.02228731772064941,-0.04026581243876218,0.055337272274485594,0.7402915632579503,1.0,False
oral_diseases,lora_anchor_all,frozen_lr,-0.004024652596081172,0.012907757744562987,0.007263601023659212,-0.019603527377965217,0.011554222185802872,0.5882624169937951,1.0,False
oral_diseases,lora_anchor_oof,frozen_lr,-0.0020484596324932417,0.01201818276536292,0.006763009220078072,-0.01655367177797613,0.012456752512989649,0.7664262605605109,1.0,False
oral_diseases,selected_training,frozen_lr,0.0037166449413915817,0.04118119326984843,0.02317395193726626,-0.04598653868008378,0.05341982856286694,0.874872637719603,1.0,False
oral_diseases,lora_anchor_oof,lora,-0.006688450663461687,0.016965213756560463,0.009546859063159621,-0.02716442689354551,0.013787525566622136,0.4950374338505751,1.0,False
oral_diseases,lora_anchor_oof,lora_anchor_all,0.0019761929635879307,0.008201028061604967,0.004614976280324401,-0.007921946727504223,0.011874332654680082,0.6750105483496982,1.0,False
oral_diseases,lora_anchor_oof,selected_training,-0.005765104573884823,0.03847674978246732,0.021652076575788822,-0.052204190179394615,0.04067398103162497,0.7939195027064676,1.0,False
aptos2019,lora,frozen_lr,0.005764366173594393,0.009514384690974211,0.00535404333955352,-0.005718914707610286,0.017247647054799073,0.2998455875176899,1.0,False
aptos2019,last2,frozen_lr,-0.007427162232504451,0.020825077587255103,0.011718925771153759,-0.032561758223161645,0.017707433758152744,0.5364455278033518,1.0,False
aptos2019,full,frozen_lr,-0.013732454503530112,0.03576088751161327,0.0201237755059146,-0.05689366031924447,0.029428751312184247,0.5061210980515664,1.0,False
aptos2019,lora_anchor_all,frozen_lr,0.005063173736894925,0.013105032204744162,0.00737461356350312,-0.010753799262638183,0.020880146736428032,0.5035686858187449,1.0,False
aptos2019,lora_anchor_oof,frozen_lr,0.007140283553915842,0.02198986579359615,0.012374388708664247,-0.019400140619536772,0.033680707727368454,0.5730875073855528,1.0,False
aptos2019,selected_training,frozen_lr,0.004453418625015463,0.02162327732882148,0.012168097856240977,-0.021644555674320685,0.030551392924351613,0.7198427544240612,1.0,False
aptos2019,lora_anchor_oof,lora,0.001375917380321449,0.01988035545674723,0.011187300932043266,-0.022618456732445582,0.02537029149308848,0.9038637998940898,1.0,False
aptos2019,lora_anchor_oof,lora_anchor_all,0.002077109817020917,0.023513162695211642,0.013231595758321795,-0.02630184062532575,0.030456060259367583,0.8775012029051782,1.0,False
aptos2019,lora_anchor_oof,selected_training,0.0026868649289003787,0.0242893807222953,0.013668398041699207,-0.02662893323608588,0.032002663093886635,0.8469851683392814,1.0,False
