dataset,fold,mode,label,recall
oral_diseases,2,lora_anchor_oof,6,0.5714285714285714
oral_diseases,2,selected_training,0,0.875
oral_diseases,2,selected_training,1,1.0
oral_diseases,2,selected_training,2,0.75
oral_diseases,2,selected_training,3,0.6666666666666666
oral_diseases,2,selected_training,4,0.6923076923076923
oral_diseases,2,selected_training,5,0.7333333333333333
oral_diseases,2,selected_training,6,0.5
oral_diseases,3,lora,0,0.5625
oral_diseases,3,lora,1,1.0
oral_diseases,3,lora,2,0.8
oral_diseases,3,lora,3,0.5
oral_diseases,3,lora,4,0.7142857142857143
oral_diseases,3,lora,5,0.5333333333333333
oral_diseases,3,lora,6,0.6666666666666666
oral_diseases,3,last2,0,0.5625
oral_diseases,3,last2,1,1.0
oral_diseases,3,last2,2,0.7
oral_diseases,3,last2,3,0.5
oral_diseases,3,last2,4,0.5714285714285714
oral_diseases,3,last2,5,0.5333333333333333
oral_diseases,3,last2,6,0.6666666666666666
oral_diseases,3,full,0,0.625
oral_diseases,3,full,1,1.0
oral_diseases,3,full,2,0.8
oral_diseases,3,full,3,0.5
oral_diseases,3,full,4,0.7142857142857143
oral_diseases,3,full,5,0.6
oral_diseases,3,full,6,0.6666666666666666
oral_diseases,3,lora_anchor_all,0,0.5625
oral_diseases,3,lora_anchor_all,1,1.0
oral_diseases,3,lora_anchor_all,2,0.8
oral_diseases,3,lora_anchor_all,3,0.5384615384615384
oral_diseases,3,lora_anchor_all,4,0.5714285714285714
oral_diseases,3,lora_anchor_all,5,0.5333333333333333
oral_diseases,3,lora_anchor_all,6,0.6666666666666666
oral_diseases,3,lora_anchor_oof,0,0.5625
oral_diseases,3,lora_anchor_oof,1,1.0
oral_diseases,3,lora_anchor_oof,2,0.7
oral_diseases,3,lora_anchor_oof,3,0.4230769230769231
oral_diseases,3,lora_anchor_oof,4,0.5714285714285714
oral_diseases,3,lora_anchor_oof,5,0.4666666666666667
oral_diseases,3,lora_anchor_oof,6,0.8333333333333334
oral_diseases,3,selected_training,0,0.625
oral_diseases,3,selected_training,1,1.0
oral_diseases,3,selected_training,2,0.8
oral_diseases,3,selected_training,3,0.5
oral_diseases,3,selected_training,4,0.7142857142857143
oral_diseases,3,selected_training,5,0.6
oral_diseases,3,selected_training,6,0.6666666666666666
oral_diseases,4,lora,0,0.9523809523809523
oral_diseases,4,lora,1,0.9166666666666666
oral_diseases,4,lora,2,0.7272727272727273
oral_diseases,4,lora,3,0.6666666666666666
oral_diseases,4,lora,4,0.6363636363636364
oral_diseases,4,lora,5,0.6470588235294118
oral_diseases,4,lora,6,0.5625
oral_diseases,4,last2,0,0.9523809523809523
oral_diseases,4,last2,1,0.9166666666666666
oral_diseases,4,last2,2,0.45454545454545453
oral_diseases,4,last2,3,0.47619047619047616
oral_diseases,4,last2,4,0.45454545454545453
oral_diseases,4,last2,5,0.7058823529411765
oral_diseases,4,last2,6,0.6875
oral_diseases,4,full,0,0.9523809523809523
oral_diseases,4,full,1,0.9166666666666666
oral_diseases,4,full,2,0.7272727272727273
oral_diseases,4,full,3,0.6666666666666666
oral_diseases,4,full,4,0.6363636363636364
oral_diseases,4,full,5,0.6470588235294118
oral_diseases,4,full,6,0.625
oral_diseases,4,lora_anchor_all,0,0.9523809523809523
oral_diseases,4,lora_anchor_all,1,0.9166666666666666
oral_diseases,4,lora_anchor_all,2,0.7272727272727273
oral_diseases,4,lora_anchor_all,3,0.6666666666666666
oral_diseases,4,lora_anchor_all,4,0.6363636363636364
oral_diseases,4,lora_anchor_all,5,0.5882352941176471
oral_diseases,4,lora_anchor_all,6,0.5625
oral_diseases,4,lora_anchor_oof,0,0.9523809523809523
oral_diseases,4,lora_anchor_oof,1,0.9166666666666666
oral_diseases,4,lora_anchor_oof,2,0.7272727272727273
oral_diseases,4,lora_anchor_oof,3,0.6666666666666666
oral_diseases,4,lora_anchor_oof,4,0.6363636363636364
oral_diseases,4,lora_anchor_oof,5,0.5882352941176471
oral_diseases,4,lora_anchor_oof,6,0.5625
oral_diseases,4,selected_training,0,0.9523809523809523
oral_diseases,4,selected_training,1,0.9166666666666666
oral_diseases,4,selected_training,2,0.7272727272727273
oral_diseases,4,selected_training,3,0.6666666666666666
oral_diseases,4,selected_training,4,0.6363636363636364
oral_diseases,4,selected_training,5,0.6470588235294118
oral_diseases,4,selected_training,6,0.625
oral_diseases,5,lora,0,1.0
oral_diseases,5,lora,1,0.9047619047619048
oral_diseases,5,lora,2,0.7857142857142857
oral_diseases,5,lora,3,0.75
oral_diseases,5,lora,4,0.8181818181818182
oral_diseases,5,lora,5,0.46153846153846156
oral_diseases,5,lora,6,0.8571428571428571
oral_diseases,5,last2,0,1.0
oral_diseases,5,last2,1,0.9047619047619048
oral_diseases,5,last2,2,0.6428571428571429
oral_diseases,5,last2,3,0.8
oral_diseases,5,last2,4,0.18181818181818182
oral_diseases,5,last2,5,0.7692307692307693
oral_diseases,5,last2,6,0.5714285714285714
oral_diseases,5,full,0,1.0
oral_diseases,5,full,1,0.9047619047619048
oral_diseases,5,full,2,0.6428571428571429
oral_diseases,5,full,3,0.85
oral_diseases,5,full,4,0.45454545454545453
oral_diseases,5,full,5,0.5384615384615384
oral_diseases,5,full,6,0.8571428571428571
oral_diseases,5,lora_anchor_all,0,1.0
oral_diseases,5,lora_anchor_all,1,0.9047619047619048
oral_diseases,5,lora_anchor_all,2,0.7857142857142857
oral_diseases,5,lora_anchor_all,3,0.8
oral_diseases,5,lora_anchor_all,4,0.45454545454545453
oral_diseases,5,lora_anchor_all,5,0.46153846153846156
oral_diseases,5,lora_anchor_all,6,0.8571428571428571
oral_diseases,5,lora_anchor_oof,0,1.0
oral_diseases,5,lora_anchor_oof,1,0.9047619047619048
oral_diseases,5,lora_anchor_oof,2,0.6428571428571429
oral_diseases,5,lora_anchor_oof,3,0.85
oral_diseases,5,lora_anchor_oof,4,0.45454545454545453
oral_diseases,5,lora_anchor_oof,5,0.46153846153846156
oral_diseases,5,lora_anchor_oof,6,1.0
oral_diseases,5,selected_training,0,1.0
oral_diseases,5,selected_training,1,0.9047619047619048
oral_diseases,5,selected_training,2,0.6428571428571429
oral_diseases,5,selected_training,3,0.8
oral_diseases,5,selected_training,4,0.18181818181818182
oral_diseases,5,selected_training,5,0.7692307692307693
oral_diseases,5,selected_training,6,0.5714285714285714
oral_diseases,6,lora,0,0.75
oral_diseases,6,lora,1,1.0
oral_diseases,6,lora,2,0.5555555555555556
oral_diseases,6,lora,3,0.42105263157894735
oral_diseases,6,lora,4,0.6923076923076923
oral_diseases,6,lora,5,0.7222222222222222
oral_diseases,6,lora,6,0.8235294117647058
oral_diseases,6,last2,0,0.8333333333333334
oral_diseases,6,last2,1,1.0
oral_diseases,6,last2,2,0.5555555555555556
oral_diseases,6,last2,3,0.42105263157894735
oral_diseases,6,last2,4,0.7692307692307693
oral_diseases,6,last2,5,0.6111111111111112
oral_diseases,6,last2,6,0.7058823529411765
oral_diseases,6,full,0,0.8333333333333334
oral_diseases,6,full,1,1.0
oral_diseases,6,full,2,0.6666666666666666
oral_diseases,6,full,3,0.5263157894736842
oral_diseases,6,full,4,0.5384615384615384
oral_diseases,6,full,5,0.6666666666666666
oral_diseases,6,full,6,0.8235294117647058
oral_diseases,6,lora_anchor_all,0,0.8333333333333334
oral_diseases,6,lora_anchor_all,1,1.0
oral_diseases,6,lora_anchor_all,2,0.4444444444444444
oral_diseases,6,lora_anchor_all,3,0.42105263157894735
oral_diseases,6,lora_anchor_all,4,0.6153846153846154
oral_diseases,6,lora_anchor_all,5,0.6666666666666666
oral_diseases,6,lora_anchor_all,6,0.8235294117647058
oral_diseases,6,lora_anchor_oof,0,0.8333333333333334
oral_diseases,6,lora_anchor_oof,1,1.0
oral_diseases,6,lora_anchor_oof,2,0.3333333333333333
oral_diseases,6,lora_anchor_oof,3,0.5263157894736842
oral_diseases,6,lora_anchor_oof,4,0.6153846153846154
oral_diseases,6,lora_anchor_oof,5,0.6666666666666666
oral_diseases,6,lora_anchor_oof,6,0.8823529411764706
oral_diseases,6,selected_training,0,0.8333333333333334
oral_diseases,6,selected_training,1,1.0
oral_diseases,6,selected_training,2,0.6666666666666666
oral_diseases,6,selected_training,3,0.5263157894736842
oral_diseases,6,selected_training,4,0.5384615384615384
oral_diseases,6,selected_training,5,0.6666666666666666
oral_diseases,6,selected_training,6,0.8235294117647058
oral_diseases,7,lora,0,0.8823529411764706
oral_diseases,7,lora,1,1.0
oral_diseases,7,lora,2,0.75
oral_diseases,7,lora,3,0.625
oral_diseases,7,lora,4,0.7272727272727273
oral_diseases,7,lora,5,0.5833333333333334
oral_diseases,7,lora,6,0.5833333333333334
oral_diseases,7,last2,0,0.9411764705882353
oral_diseases,7,last2,1,1.0
oral_diseases,7,last2,2,0.6666666666666666
oral_diseases,7,last2,3,0.625
oral_diseases,7,last2,4,0.7272727272727273
oral_diseases,7,last2,5,0.5833333333333334
oral_diseases,7,last2,6,0.6666666666666666
oral_diseases,7,full,0,1.0
oral_diseases,7,full,1,0.9166666666666666
oral_diseases,7,full,2,0.6666666666666666
oral_diseases,7,full,3,0.5625
oral_diseases,7,full,4,0.7272727272727273
oral_diseases,7,full,5,0.6666666666666666
oral_diseases,7,full,6,0.5833333333333334
oral_diseases,7,lora_anchor_all,0,0.9411764705882353
oral_diseases,7,lora_anchor_all,1,1.0
oral_diseases,7,lora_anchor_all,2,0.5833333333333334
oral_diseases,7,lora_anchor_all,3,0.625
oral_diseases,7,lora_anchor_all,4,0.7272727272727273
oral_diseases,7,lora_anchor_all,5,0.5833333333333334
oral_diseases,7,lora_anchor_all,6,0.6666666666666666
oral_diseases,7,lora_anchor_oof,0,1.0
oral_diseases,7,lora_anchor_oof,1,1.0
oral_diseases,7,lora_anchor_oof,2,0.5833333333333334
oral_diseases,7,lora_anchor_oof,3,0.625
oral_diseases,7,lora_anchor_oof,4,0.7272727272727273
oral_diseases,7,lora_anchor_oof,5,0.5833333333333334
oral_diseases,7,lora_anchor_oof,6,0.6666666666666666
oral_diseases,7,selected_training,0,0.8823529411764706
oral_diseases,7,selected_training,1,1.0
oral_diseases,7,selected_training,2,0.75
oral_diseases,7,selected_training,3,0.625
oral_diseases,7,selected_training,4,0.7272727272727273
oral_diseases,7,selected_training,5,0.5833333333333334
oral_diseases,7,selected_training,6,0.5833333333333334
oral_diseases,8,lora,0,0.8666666666666667
oral_diseases,8,lora,1,1.0
oral_diseases,8,lora,2,0.7777777777777778
oral_diseases,8,lora,3,0.5
oral_diseases,8,lora,4,0.75
oral_diseases,8,lora,5,0.6666666666666666
oral_diseases,8,lora,6,0.6
oral_diseases,8,last2,0,0.8666666666666667
oral_diseases,8,last2,1,1.0
oral_diseases,8,last2,2,0.7777777777777778
oral_diseases,8,last2,3,0.4375
oral_diseases,8,last2,4,0.75
oral_diseases,8,last2,5,0.4444444444444444
oral_diseases,8,last2,6,0.7333333333333333
oral_diseases,8,full,0,0.8666666666666667
oral_diseases,8,full,1,1.0
oral_diseases,8,full,2,0.7777777777777778
oral_diseases,8,full,3,0.5625
oral_diseases,8,full,4,0.75
oral_diseases,8,full,5,0.7777777777777778
oral_diseases,8,full,6,0.7333333333333333
