dataset,fold,mode,actual_mode,bacc,baseline_bacc,epoch,lr,inner_bacc,n_train,n_test,ratio,predictions_sha256
oral_diseases,4,last2,last2,0.6639587653243115,0.7298442104114373,18,0.0001,0.7387432645368887,407,109,0.2678132678132678,00dfdb84d109d5f6ab5d6b6eb57426d41150b48688eb8e644f3b3df6220f72fe
oral_diseases,4,full,full,0.7387727818400087,0.7298442104114373,10,1e-05,0.7416002929987701,407,109,0.2678132678132678,339d6ad3633213c5f750914ded490c091aa3b5f4bfe3359fc6fd71205ba25756
oral_diseases,4,lora_anchor_all,lora_anchor_all,0.7214408490668994,0.7298442104114373,3,0.0001,0.7222185643154946,407,109,0.2678132678132678,6f404293c161d0d8e8d6d5d27b98ca1e9b04a6db54bbdb44d6c2ee62ec0e0eeb
oral_diseases,4,lora_anchor_oof,lora_anchor_oof,0.7214408490668994,0.7298442104114373,2,0.0001,0.7230573613727791,407,109,0.2678132678132678,f7b9d98c6b4cab2568278acc2489beefd7fafc9932cbe82eeebf1558546b3f90
oral_diseases,4,selected_training,full,0.7387727818400087,0.7298442104114373,10,1e-05,0.7416002929987701,407,109,0.2678132678132678,339d6ad3633213c5f750914ded490c091aa3b5f4bfe3359fc6fd71205ba25756
oral_diseases,5,lora,lora,0.7967627610484752,0.7519575662432805,6,0.0001,0.7277854410079256,412,104,0.2524271844660194,8e8b6b45c02e46ed5f7943f547339ddcd210b4bba3f53c879692e0191c27e835
oral_diseases,5,last2,last2,0.6957280814423671,0.7519575662432805,2,0.0001,0.7383875908321226,412,104,0.2524271844660194,3e1a26a7c5bf6d3b95cbe70e71a37300a4c85d625bad817572d5dfa9b09ee612
oral_diseases,5,full,full,0.7496812711098425,0.7519575662432805,5,1e-05,0.7312139188796118,412,104,0.2524271844660194,0dae0ffff794140ab9f768c8d5059377854466c09781904bdf551797b0e31120
oral_diseases,5,lora_anchor_all,lora_anchor_all,0.7519575662432805,0.7519575662432805,7,0.0001,0.7289918634100002,412,104,0.2524271844660194,96f765bfabb8bb09e6f4160de3c178ce16e248e57b2586a65b3775b0df3e13a2
oral_diseases,5,lora_anchor_oof,lora_anchor_oof,0.7591004233861377,0.7519575662432805,4,0.0001,0.7265031003271679,412,104,0.2524271844660194,c5b7a020f2c22a8e0a31fa387b937c2fca5dc836ed726e197069fbcbd0f563a0
oral_diseases,5,selected_training,last2,0.6957280814423671,0.7519575662432805,2,0.0001,0.7383875908321226,412,104,0.2524271844660194,3e1a26a7c5bf6d3b95cbe70e71a37300a4c85d625bad817572d5dfa9b09ee612
oral_diseases,6,lora,lora,0.7092382162041604,0.67747422855782,14,0.0001,0.7465783645482893,416,100,0.2403846153846154,396470238c744d9f60060b9799a86dfee7e5d125e42137a99f24dee8c0f98e01
oral_diseases,6,last2,last2,0.6994522505358419,0.67747422855782,7,0.0001,0.737881562595185,416,100,0.2403846153846154,7a02141c486351918fe24da16a322ff265deee0529da501899100c233797b4da
oral_diseases,6,full,full,0.7221390580523707,0.67747422855782,6,1e-05,0.7512842867895942,416,100,0.2403846153846154,f0525709c1a03e3c6984f00193eb9616cf5a841d02317a32e03af4476308f34a
oral_diseases,6,lora_anchor_all,lora_anchor_all,0.6863444433103876,0.67747422855782,13,0.0001,0.7557188904678954,416,100,0.2403846153846154,b5e435dbfc12c249f397abbed208c6346d88ed044a1fd68dce5172cc1c2c4fdc
oral_diseases,6,lora_anchor_oof,lora_anchor_oof,0.6939123827668718,0.67747422855782,12,0.0001,0.7508450015183762,416,100,0.2403846153846154,1f009ce56e1e3ec1378ff71abe60217b3e45afb2efbac9b0a98f3a08ab02b279
oral_diseases,6,selected_training,full,0.7221390580523707,0.67747422855782,6,1e-05,0.7512842867895942,416,100,0.2403846153846154,f0525709c1a03e3c6984f00193eb9616cf5a841d02317a32e03af4476308f34a
oral_diseases,7,lora,lora,0.735898905016552,0.7408008658008658,1,0.0001,0.7252300009561609,412,104,0.2524271844660194,4128391c931fc01dcaf2c0bf7fbded21be643878cfc280994ef64b66d29a7acb
oral_diseases,7,last2,last2,0.7443022663610899,0.7408008658008658,2,1e-05,0.7214995629119975,412,104,0.2524271844660194,4ff031e67ff936c1dca1020c80e4da7e06b970d7dd525ed6bee17c50733524cd
oral_diseases,7,full,full,0.7318722943722944,0.7408008658008658,18,1e-05,0.7249702959345511,412,104,0.2524271844660194,02ae42cfc39f197f1df841a65c842ed5a33682dde68c2aeca74b3c0f50d8f4d1
oral_diseases,7,lora_anchor_all,lora_anchor_all,0.732397504456328,0.7408008658008658,6,1e-05,0.7229938358348419,412,104,0.2524271844660194,fbf2d6b23d9dc403f0b46158ff7ef43394b9a65b9523dc97f5286aefe330e09e
oral_diseases,7,lora_anchor_oof,lora_anchor_oof,0.7408008658008658,0.7408008658008658,3,1e-05,0.7229938358348419,412,104,0.2524271844660194,07b79eb8ffc787a0b05ea1ee5b0bd1201227842b13acfd1ce442c54f5c50754f
oral_diseases,7,selected_training,lora,0.735898905016552,0.7408008658008658,1,0.0001,0.7252300009561609,412,104,0.2524271844660194,4128391c931fc01dcaf2c0bf7fbded21be643878cfc280994ef64b66d29a7acb
oral_diseases,8,lora,lora,0.7373015873015872,0.7579365079365079,19,0.0001,0.7462699757109695,407,109,0.2678132678132678,2dfcc042e7f8119dd8f11f3aaf27bb686dde6679953b900c10fab89b069071ee
oral_diseases,8,last2,last2,0.7156746031746032,0.7579365079365079,3,0.0001,0.7611994079074824,407,109,0.2678132678132678,05e4244086fa6922b7a533ad9bb1b943364aeb1cb15ac60dbf3b2be0cb88d70c
oral_diseases,8,full,full,0.7811507936507937,0.7579365079365079,19,1e-05,0.776444638866999,407,109,0.2678132678132678,b6aaf4a13fd1084ac593c14e89c237813509795857b9a580a6a02d909a454d4d
oral_diseases,8,lora_anchor_all,lora_anchor_all,0.730952380952381,0.7579365079365079,10,0.0001,0.7438201845132214,407,109,0.2678132678132678,edc34558819f1b0560946d617a08a392be960ae06b821a54c2189e423baca646
oral_diseases,8,lora_anchor_oof,lora_anchor_oof,0.7474206349206349,0.7579365079365079,5,0.0001,0.7421997414642071,407,109,0.2678132678132678,d1fbecc8f0a589255fe221e836d4f1ab9c2628034501369528fe76d241dc9ac3
oral_diseases,8,selected_training,full,0.7811507936507937,0.7579365079365079,19,1e-05,0.776444638866999,407,109,0.2678132678132678,b6aaf4a13fd1084ac593c14e89c237813509795857b9a580a6a02d909a454d4d
oral_diseases,9,lora,lora,0.8286704634006713,0.8156834504136583,11,1e-05,0.7252433692855399,417,99,0.23741007194244604,5150bd9e7bcdfede4bcf1d6dd38307291c0f886241fbd667419dee570f88874e
oral_diseases,9,last2,last2,0.810080970187118,0.8156834504136583,11,0.0001,0.7251449944241707,417,99,0.23741007194244604,034fbc1ce8412c5ffeb17bf534013cc698c4764f57190e86d6afd828d08d8d1b
