dataset,arm,base,n_folds,mean_base,mean_arm,mean_diff,sd,wins,ci_lo,ci_hi,ttest_p_nb,se_nb,mde_floor,mde_post,tost_p,equivalent,holm_p,sig_nb,sig_holm,passes_mde_gate,tost_significant,verdict_code,verdict
aptos2019,B1,B0,15,0.6457036359493563,0.6554548011915637,0.009751165242207397,0.013488027591129157,11,-0.006528059783176615,0.026030390267591408,0.21974223648336125,0.007590137106449578,0.019,0.022867879833313978,0.09917537822264239,False,0.4394844729667225,False,False,False,False,undetectable,검출 불가 (검정력 부족)
aptos2019,B2,B0,15,0.6457036359493563,0.646060137363265,0.00035650141390869785,0.01950572869875835,7,-0.023185721096076195,0.02389872392389359,0.9745488470798206,0.010976486679353688,0.019,0.033070414256699196,0.047582631482110956,True,0.9745488470798206,False,False,False,True,undetectable,검출 불가 (검정력 부족 · TOST 유의)
aptos2019,B3,B0,15,0.6457036359493563,0.6636538848253793,0.01795024887602316,0.012030525455120893,15,0.0034301398582799666,0.03247035789376635,0.018975038676836788,0.006769954839583402,0.019,0.020396800687171365,0.38325790307367735,False,0.07590015470734715,True,False,False,False,undetectable,검출 불가 (검정력 부족)
aptos2019,B4,B0,15,0.6457036359493563,0.6649790345496154,0.019275398600259064,0.021035300831050235,12,-0.006112923998556643,0.044663721199074774,0.12573345815091055,0.011837224998567633,0.019,0.03566368235919337,0.4760271245144942,False,0.3772003744527317,False,False,False,False,undetectable,검출 불가 (검정력 부족)
oral_diseases,A1,A0,15,0.7438928663928664,0.739904043325096,-0.003988823067770457,0.02993775349659571,7,-0.0401218619893463,0.032144215853805384,0.8162654961368381,0.01684691495201997,0.032,0.050757084000167985,0.17901632668334452,False,1.0,False,False,False,False,undetectable,검출 불가 (검정력 부족)
oral_diseases,A2,A0,15,0.7438928663928664,0.7470267743951955,0.003133908002329059,0.01302350416528001,4,-0.012584665635899283,0.0188524816405574,0.6754327424381351,0.007328735172954754,0.032,0.022080317247879767,0.018626873757097817,True,1.0,False,False,False,True,equivalent_within_prespecified_margin,등가 (TOST · 사후 MDE ≤ 하한)
oral_diseases,A3,A0,15,0.7438928663928664,0.7333181535813115,-0.010574712811554931,0.03251963056982425,7,-0.049823919577464834,0.02867449395435497,0.5725371371576791,0.018299818339516882,0.032,0.05513445157715971,0.3072774746047976,False,1.0,False,False,False,False,undetectable,검출 불가 (검정력 부족)
oral_diseases,A4,A0,15,0.7438928663928664,0.7344494345810136,-0.009443431811852905,0.02917708400955642,5,-0.044658389148423676,0.025771525524717863,0.5743127833475061,0.01641886232087633,0.032,0.04946742928194044,0.2653221845335456,False,1.0,False,False,False,False,undetectable,검출 불가 (검정력 부족)
