항목,가중치 미적용 (재현),가중치 적용,변화
Accuracy,0.8140794223826715,0.7888086642599278,-0.02527075812274371
Balanced Accuracy,0.6325071573883416,0.6708709907804181,0.038363833392076496
Macro AUPR,0.6955184986413532,0.6873558348424499,-0.008162663798903291
Severe Recall,0.36666666666666664,0.5,0.13333333333333336
Proliferative Recall,0.4444444444444444,0.5333333333333333,0.0888888888888889
