dataset,metric,method,rank,freq
aptos2019,macro_auprc,LoRA,2.0,0.351
aptos2019,macro_auprc,LoRA,2.5,0.0
aptos2019,macro_auprc,LoRA,3.0,0.074
aptos2019,macro_auprc,LoRA,3.5,0.0
aptos2019,macro_auprc,LoRA,4.0,0.018
aptos2019,macro_auprc,LoRA,4.5,0.0
aptos2019,macro_auprc,LoRA,5.0,0.001
aptos2019,macro_auprc,LoRA,5.5,0.0
aptos2019,macro_auprc,LoRA,6.0,0.0
aptos2019,macro_auprc,LoRA,mean,1.557
aptos2019,macro_auprc,LoRA-fusion,1.0,0.042
aptos2019,macro_auprc,LoRA-fusion,1.5,0.0
aptos2019,macro_auprc,LoRA-fusion,2.0,0.179
aptos2019,macro_auprc,LoRA-fusion,2.5,0.0
aptos2019,macro_auprc,LoRA-fusion,3.0,0.323
aptos2019,macro_auprc,LoRA-fusion,3.5,0.0
aptos2019,macro_auprc,LoRA-fusion,4.0,0.219
aptos2019,macro_auprc,LoRA-fusion,4.5,0.0
aptos2019,macro_auprc,LoRA-fusion,5.0,0.158
aptos2019,macro_auprc,LoRA-fusion,5.5,0.0
aptos2019,macro_auprc,LoRA-fusion,6.0,0.079
aptos2019,macro_auprc,LoRA-fusion,mean,3.509
aptos2019,macro_auprc,Full FT,1.0,0.374
aptos2019,macro_auprc,Full FT,1.5,0.0
aptos2019,macro_auprc,Full FT,2.0,0.287
aptos2019,macro_auprc,Full FT,2.5,0.0
aptos2019,macro_auprc,Full FT,3.0,0.168
aptos2019,macro_auprc,Full FT,3.5,0.0
aptos2019,macro_auprc,Full FT,4.0,0.083
aptos2019,macro_auprc,Full FT,4.5,0.0
aptos2019,macro_auprc,Full FT,5.0,0.053
aptos2019,macro_auprc,Full FT,5.5,0.0
aptos2019,macro_auprc,Full FT,6.0,0.035
aptos2019,macro_auprc,Full FT,mean,2.259
