cell,comparison,n_folds,mean_diff,sd,se_nb,mde_80
hk_u_N500_IR1p74,L0 - L23,15,-0.14641867764470065,0.05746752950453201,0.03233878527911721,0.09743163336135088
hk_u_N500_IR1p74,L1 - L23,15,-0.12433024082773654,0.05185002056639425,0.029177636419575017,0.08790759298614062
hk_u_N500_IR1p74,L2 - L23,15,-0.11629154340418192,0.06487921130620392,0.03650957160676866,0.1099975513696158
hk_u_N500_IR1p74,L3 - L23,15,-0.06477230188467402,0.07040041096302883,0.03961652420634258,0.11935830700530324
hk_u_N500_IR1p74,L4 - L23,15,-0.09562822487614688,0.06430580621676574,0.036186898538600104,0.10902538856875504
hk_u_N500_IR1p74,L5 - L23,15,-0.06675902382956944,0.05420561328676229,0.030503202488724138,0.09190131340980119
hk_u_N500_IR1p74,L6 - L23,15,-0.07627260200922817,0.0732239333061119,0.04120540898303291,0.12414536495073235
hk_u_N500_IR1p74,L7 - L23,15,-0.05098508281053039,0.034322157614434044,0.01931415696792166,0.058190493060891295
hk_u_N500_IR1p74,L8 - L23,15,-0.07395426506413293,0.048860920545298794,0.027495575878719723,0.08283981123448535
hk_u_N500_IR1p74,L9 - L23,15,-0.04654752744453298,0.05325208021458014,0.029966619455771525,0.09028467379630524
hk_u_N500_IR1p74,L10 - L23,15,-0.03772704509463887,0.05067817925249651,0.0285182044767359,0.08592082908245889
hk_u_N500_IR1p74,L11 - L23,15,-0.0017210179427783765,0.056147126149633624,0.03159575280592698,0.09519299431295729
hk_u_N500_IR1p74,L12 - L23,15,-0.010026197004031623,0.04535642252623165,0.025523484683451506,0.07689821309979603
hk_u_N500_IR1p74,L13 - L23,15,5.4592846845628413e-05,0.04664731371836631,0.026249909734973067,0.07908681661948523
hk_u_N500_IR1p74,L14 - L23,15,0.007014797694411919,0.03692216481823478,0.02077726274979173,0.06259859883473713
hk_u_N500_IR1p74,L15 - L23,15,0.0072470333513065905,0.050515866841059985,0.028426866180713144,0.08564564127645041
hk_u_N500_IR1p74,L16 - L23,15,0.009630357377853109,0.036461110492698005,0.020517812988089933,0.06181691783343672
