cell,task,bacc,mcc,qwk,mae_sample,mae_classmean,per_class_recall,arm,fold,lever,loss,n_train,n_test,base_arm
hk_l_N1510_IR9p35,hk_l,0.9617810232020856,0.9465104816249602,0.8970423640503788,0.0695364238410596,0.056264486140892064,"[0.9702380952380952, 0.9620253164556962, 0.9736842105263158, 0.9411764705882353]",H0,0,none,ce,1208,302,H1
hk_l_N1510_IR9p35,hk_l,0.922324663735592,0.9343177652734392,0.8812055775595464,0.07947019867549669,0.19803045935156713,"[0.9760479041916168, 0.9625, 0.972972972972973, 0.7777777777777778]",H0,1,none,ce,1208,302,H1
hk_l_N1510_IR9p35,hk_l,0.9274305555555555,0.9672209702615397,0.9452058618283322,0.039735099337748346,0.1451388888888889,"[1.0, 0.9875, 1.0, 0.7222222222222222]",H0,2,none,ce,1208,302,H1
hk_l_N1510_IR9p35,hk_l,0.9343553067083687,0.9453260373543082,0.8772897432823095,0.076158940397351,0.16453900992152937,"[0.9820359281437125, 0.9746835443037974, 0.9473684210526315, 0.8333333333333334]",H0,3,none,ce,1208,302,H1
hk_l_N1510_IR9p35,hk_l,0.9736234282489873,0.9674647484441884,0.9701671430264873,0.029801324503311258,0.04659457456395226,"[0.9880239520958084, 0.9620253164556962, 1.0, 0.9444444444444444]",H0,4,none,ce,1208,302,H1
hk_l_N1510_IR9p35,hk_l,0.9629593926178066,0.967169433442328,0.9166453489154874,0.04966887417218543,0.10498107470836436,"[0.9821428571428571, 0.9873417721518988, 1.0, 0.8823529411764706]",H0,5,none,ce,1208,302,H1
hk_l_N1510_IR9p35,hk_l,0.9437214534894175,0.9407654844982574,0.8945008320524384,0.076158940397351,0.13032212601823379,"[0.9880239520958084, 0.925, 0.972972972972973, 0.8888888888888888]",H0,6,none,ce,1208,302,H1
hk_l_N1510_IR9p35,hk_l,0.9469545705885526,0.9671136644290685,0.9425043516100957,0.039735099337748346,0.12561487385589182,"[0.9940119760479041, 0.9875, 0.972972972972973, 0.8333333333333334]",H0,7,none,ce,1208,302,H1
hk_l_N1510_IR9p35,hk_l,0.9782849911990366,0.9782001914930577,0.9641401147832971,0.026490066225165563,0.055821900502791885,"[0.9940119760479041, 0.9746835443037974, 1.0, 0.9444444444444444]",H0,8,none,ce,1208,302,H1
hk_l_N1510_IR9p35,hk_l,0.906656817388984,0.9346710688172931,0.9179470459578052,0.06622516556291391,0.1689461959935337,"[0.9940119760479041, 0.9367088607594937, 0.9736842105263158, 0.7222222222222222]",H0,9,none,ce,1208,302,H1
hk_l_N1510_IR9p35,hk_l,0.9501127982838705,0.9513380918014813,0.9583075851006482,0.04304635761589404,0.06254542956423076,"[0.9940476190476191, 0.9240506329113924, 1.0, 0.8823529411764706]",H0,10,none,ce,1208,302,H1
hk_l_N1510_IR9p35,hk_l,0.9315686757116397,0.956341599501927,0.931622641509434,0.04966887417218543,0.14086978070885256,"[0.9880239520958084, 0.9875, 0.972972972972973, 0.7777777777777778]",H0,11,none,ce,1208,302,H1
hk_l_N1510_IR9p35,hk_l,0.9120446606786426,0.9561492772137499,0.8587662111038209,0.076158940397351,0.26074101796407184,"[0.9940119760479041, 0.9875, 1.0, 0.6666666666666666]",H0,12,none,ce,1208,302,H1
hk_l_N1510_IR9p35,hk_l,0.9512382075733055,0.9617656222775703,0.9414266796859325,0.04304635761589404,0.09658702803143436,"[0.9940119760479041, 0.9746835443037974, 0.9473684210526315, 0.8888888888888888]",H0,13,none,ce,1208,302,H1
hk_l_N1510_IR9p35,hk_l,0.9198101686921515,0.9147829528769074,0.8321085792426547,0.11589403973509933,0.17392746153263094,"[0.9520958083832335, 0.9493670886075949, 1.0, 0.7777777777777778]",H0,14,none,ce,1208,302,H1
hk_l_N1510_IR9p35,hk_l,0.9715844199105358,0.9469032074339748,0.8888211846548354,0.0728476821192053,0.046272722946607024,"[0.9642857142857143, 0.9746835443037974, 0.9473684210526315, 1.0]",H1,0,rebalance,ce,1208,302,H1
hk_l_N1510_IR9p35,hk_l,0.922324663735592,0.9343177652734392,0.8812055775595464,0.07947019867549669,0.19803045935156713,"[0.9760479041916168, 0.9625, 0.972972972972973, 0.7777777777777778]",H1,1,rebalance,ce,1208,302,H1
hk_l_N1510_IR9p35,hk_l,0.9398224384564204,0.9672521176339305,0.9459452017072835,0.039735099337748346,0.12035512308715901,"[0.9940119760479041, 0.9875, 1.0, 0.7777777777777778]",H1,2,rebalance,ce,1208,302,H1
hk_l_N1510_IR9p35,hk_l,0.9655474748925423,0.9569044836163253,0.9259087094066757,0.052980132450331126,0.06048800688651566,"[0.9820359281437125, 0.9620253164556962, 0.9736842105263158, 0.9444444444444444]",H1,3,rebalance,ce,1208,302,H1
