cell,task,bacc,mcc,qwk,mae_sample,mae_classmean,per_class_recall,arm,fold,lever,loss,n_train,n_test,base_arm
hk_u_N500_IR4,hk_u,0.5643621084797555,0.42407635799873233,0.5263157894736843,0.57,0.6873567608861726,"[0.7272727272727273, 0.42857142857142855, 0.6470588235294118, 0.45454545454545453]",H0,0,none,ce,400,100,H1
hk_u_N500_IR4,hk_u,0.46939457601222306,0.3342545342801297,0.5138551288283908,0.62,0.7367742551566081,"[0.7272727272727273, 0.32142857142857145, 0.6470588235294118, 0.18181818181818182]",H0,1,none,ce,400,100,H1
hk_u_N500_IR4,hk_u,0.6433823529411765,0.5406856559063792,0.5308056872037914,0.51,0.6074293353705118,"[0.7954545454545454, 0.5, 0.8235294117647058, 0.45454545454545453]",H0,2,none,ce,400,100,H1
hk_u_N500_IR4,hk_u,0.5515572390572391,0.4235690162040946,0.4179847165452283,0.65,0.783459595959596,"[0.75, 0.37037037037037035, 0.7222222222222222, 0.36363636363636365]",H0,3,none,ce,400,100,H1
hk_u_N500_IR4,hk_u,0.4978956228956229,0.3522572798707987,0.4642518490422909,0.65,0.7906144781144782,"[0.6818181818181818, 0.37037037037037035, 0.6666666666666666, 0.2727272727272727]",H0,4,none,ce,400,100,H1
hk_u_N500_IR4,hk_u,0.6092914438502672,0.5339310198399688,0.49160447761194026,0.53,0.7105137509549275,"[0.8409090909090909, 0.5, 0.8235294117647058, 0.2727272727272727]",H0,5,none,ce,400,100,H1
hk_u_N500_IR4,hk_u,0.5517570664629488,0.4057579009782962,0.4570349386213409,0.63,0.7201585179526356,"[0.6590909090909091, 0.39285714285714285, 0.8823529411764706, 0.2727272727272727]",H0,6,none,ce,400,100,H1
hk_u_N500_IR4,hk_u,0.6024159663865546,0.5010616718335184,0.5564317397732873,0.5,0.6265756302521008,"[0.7954545454545454, 0.5714285714285714, 0.5882352941176471, 0.45454545454545453]",H0,7,none,ce,400,100,H1
hk_u_N500_IR4,hk_u,0.498526936026936,0.4088829956486245,0.5157277412475565,0.61,0.7693602693602695,"[0.7954545454545454, 0.48148148148148145, 0.4444444444444444, 0.2727272727272727]",H0,8,none,ce,400,100,H1
hk_u_N500_IR4,hk_u,0.5843855218855218,0.48222635042868717,0.40952034883720934,0.62,0.7651515151515151,"[0.75, 0.48148148148148145, 0.8333333333333334, 0.2727272727272727]",H0,9,none,ce,400,100,H1
hk_u_N500_IR4,hk_u,0.5376718869365928,0.4035896298036802,0.42188879082082953,0.67,0.7716768525592055,"[0.7954545454545454, 0.2857142857142857, 0.7058823529411765, 0.36363636363636365]",H0,10,none,ce,400,100,H1
hk_u_N500_IR4,hk_u,0.4866310160427807,0.3480102089944603,0.41925624044829346,0.66,0.8259644766997708,"[0.5909090909090909, 0.5, 0.7647058823529411, 0.09090909090909091]",H0,11,none,ce,400,100,H1
hk_u_N500_IR4,hk_u,0.6233288770053476,0.49914115929971264,0.6559139784946236,0.48,0.5269289533995416,"[0.7954545454545454, 0.5, 0.47058823529411764, 0.7272727272727273]",H0,12,none,ce,400,100,H1
hk_u_N500_IR4,hk_u,0.570496632996633,0.47037724123618085,0.44712878647091625,0.59,0.7150673400673401,"[0.75, 0.48148148148148145, 0.7777777777777778, 0.2727272727272727]",H0,13,none,ce,400,100,H1
hk_u_N500_IR4,hk_u,0.5789141414141413,0.415181070025002,0.49396471680594256,0.61,0.6729797979797979,"[0.6590909090909091, 0.4444444444444444, 0.6666666666666666, 0.5454545454545454]",H0,14,none,ce,400,100,H1
hk_u_N500_IR4,hk_u,0.5951107715813598,0.4424506880921652,0.6016869728209935,0.53,0.5974503437738732,"[0.7272727272727273, 0.42857142857142855, 0.5882352941176471, 0.6363636363636364]",H1,0,rebalance,ce,400,100,H1
hk_u_N500_IR4,hk_u,0.46046600458365167,0.32311151438646024,0.4768799626342831,0.66,0.7659950343773874,"[0.7272727272727273, 0.2857142857142857, 0.6470588235294118, 0.18181818181818182]",H1,1,rebalance,ce,400,100,H1
hk_u_N500_IR4,hk_u,0.622994652406417,0.5128417589839012,0.5099398982894129,0.54,0.6334988540870894,"[0.7727272727272727, 0.5, 0.7647058823529411, 0.45454545454545453]",H1,2,rebalance,ce,400,100,H1
hk_u_N500_IR4,hk_u,0.5747053872053872,0.4530301683994416,0.4165008141849105,0.63,0.7603114478114478,"[0.75, 0.4074074074074074, 0.7777777777777778, 0.36363636363636365]",H1,3,rebalance,ce,400,100,H1
hk_u_N500_IR4,hk_u,0.4978956228956229,0.3514989683958073,0.47074672825250186,0.64,0.7813552188552189,"[0.6818181818181818, 0.37037037037037035, 0.6666666666666666, 0.2727272727272727]",H1,4,rebalance,ce,400,100,H1
hk_u_N500_IR4,hk_u,0.6239973262032086,0.5514816043186199,0.4783010156971377,0.53,0.6982429335370512,"[0.8409090909090909, 0.5, 0.8823529411764706, 0.2727272727272727]",H1,5,rebalance,ce,400,100,H1
hk_u_N500_IR4,hk_u,0.5078304048892284,0.34407957534498684,0.4061650045330917,0.71,0.7763559969442322,"[0.6136363636363636, 0.32142857142857145, 0.8235294117647058, 0.2727272727272727]",H1,6,rebalance,ce,400,100,H1
hk_u_N500_IR4,hk_u,0.6024159663865546,0.5010616718335184,0.5564317397732873,0.5,0.6265756302521008,"[0.7954545454545454, 0.5714285714285714, 0.5882352941176471, 0.45454545454545453]",H1,7,rebalance,ce,400,100,H1
hk_u_N500_IR4,hk_u,0.5656565656565656,0.4527855453707021,0.6104111405835544,0.56,0.6035353535353536,"[0.7727272727272727, 0.4444444444444444, 0.5, 0.5454545454545454]",H1,8,rebalance,ce,400,100,H1
hk_u_N500_IR4,hk_u,0.5936447811447811,0.4987376938535576,0.40087145969498905,0.62,0.7615740740740741,"[0.75, 0.5185185185185185, 0.8333333333333334, 0.2727272727272727]",H1,9,rebalance,ce,400,100,H1
hk_u_N500_IR4,hk_u,0.5352368220015279,0.39779462192404613,0.34038054968287523,0.74,0.8284950343773874,"[0.75, 0.32142857142857145, 0.7058823529411765, 0.36363636363636365]",H1,10,rebalance,ce,400,100,H1
hk_u_N500_IR4,hk_u,0.43458747135217723,0.2954288214407083,0.3670264965652601,0.73,0.8983002291825821,"[0.5681818181818182, 0.4642857142857143, 0.7058823529411765, 0.0]",H1,11,rebalance,ce,400,100,H1
hk_u_N500_IR4,hk_u,0.5860867074102368,0.4421514314314738,0.5862369337979094,0.55,0.6185542398777694,"[0.75, 0.42857142857142855, 0.5294117647058824, 0.6363636363636364]",H1,12,rebalance,ce,400,100,H1
hk_u_N500_IR4,hk_u,0.570496632996633,0.47077091429087936,0.4371822803195352,0.6,0.7171717171717171,"[0.75, 0.48148148148148145, 0.7777777777777778, 0.2727272727272727]",H1,13,rebalance,ce,400,100,H1
hk_u_N500_IR4,hk_u,0.5824915824915825,0.42031836552978613,0.4732881866064711,0.62,0.671506734006734,"[0.6363636363636364, 0.48148148148148145, 0.6666666666666666, 0.5454545454545454]",H1,14,rebalance,ce,400,100,H1
hk_u_N500_IR4,hk_u,0.5359530175706647,0.39448766864874857,0.4901394901394902,0.6,0.7465145148968679,"[0.7045454545454546, 0.42857142857142855, 0.6470588235294118, 0.36363636363636365]",H2,0,aug,ce,2000,100,H1
hk_u_N500_IR4,hk_u,0.49374522536287246,0.33642567284024383,0.518400726942299,0.64,0.7132352941176471,"[0.75, 0.21428571428571427, 0.6470588235294118, 0.36363636363636365]",H2,1,aug,ce,2000,100,H1
hk_u_N500_IR4,hk_u,0.63292589763178,0.5324550321398132,0.498539435248296,0.53,0.6203208556149733,"[0.75, 0.5357142857142857, 0.8823529411764706, 0.36363636363636365]",H2,2,aug,ce,2000,100,H1
hk_u_N500_IR4,hk_u,0.5191498316498316,0.39262103674013843,0.39247213594006936,0.67,0.8070286195286196,"[0.75, 0.4074074074074074, 0.5555555555555556, 0.36363636363636365]",H2,3,aug,ce,2000,100,H1
hk_u_N500_IR4,hk_u,0.5732323232323232,0.4339870425448637,0.541370273305878,0.56,0.6651936026936027,"[0.7272727272727273, 0.4444444444444444, 0.6666666666666666, 0.45454545454545453]",H2,4,aug,ce,2000,100,H1
hk_u_N500_IR4,hk_u,0.6451012223071046,0.5776204825222984,0.5057581573896355,0.49,0.6657754010695187,"[0.8181818181818182, 0.6071428571428571, 0.8823529411764706, 0.2727272727272727]",H2,5,aug,ce,2000,100,H1
hk_u_N500_IR4,hk_u,0.4583174178762414,0.2818653311368084,0.42749882684185836,0.72,0.813598166539343,"[0.6136363636363636, 0.21428571428571427, 0.8235294117647058, 0.18181818181818182]",H2,6,aug,ce,2000,100,H1
hk_u_N500_IR4,hk_u,0.5846543162719633,0.4574446495891736,0.5217599234815877,0.54,0.658040488922842,"[0.7727272727272727, 0.4642857142857143, 0.6470588235294118, 0.45454545454545453]",H2,7,aug,ce,2000,100,H1
hk_u_N500_IR4,hk_u,0.598063973063973,0.48497330310987813,0.5658012533572068,0.53,0.6079545454545454,"[0.7727272727272727, 0.5185185185185185, 0.5555555555555556, 0.5454545454545454]",H2,8,aug,ce,2000,100,H1
hk_u_N500_IR4,hk_u,0.5374579124579124,0.42277551682161135,0.43225558121632024,0.62,0.7929292929292929,"[0.7272727272727273, 0.4074074074074074, 0.8333333333333334, 0.18181818181818182]",H2,9,aug,ce,2000,100,H1
hk_u_N500_IR4,hk_u,0.5570569136745607,0.45937245235647284,0.4362159579550884,0.6,0.7595970206264324,"[0.7727272727272727, 0.5357142857142857, 0.6470588235294118, 0.2727272727272727]",H2,10,aug,ce,2000,100,H1
hk_u_N500_IR4,hk_u,0.40130825057295644,0.2018269074309659,0.3135345666991237,0.79,0.9243697478991597,"[0.5227272727272727, 0.2857142857142857, 0.7058823529411765, 0.09090909090909091]",H2,11,aug,ce,2000,100,H1
hk_u_N500_IR4,hk_u,0.5415393430099313,0.41224674777519216,0.5712809917355373,0.53,0.6704067990832696,"[0.75, 0.4642857142857143, 0.5882352941176471, 0.36363636363636365]",H2,12,aug,ce,2000,100,H1
