pair,layer,bhattacharyya,fisher_J,perdim_fisher_mean,perdim_fisher_max
OLP_vs_OT,0,2.4798285961151123,4.589601516723633,0.032716140151023865,0.4046928286552429
OLP_vs_OT,1,2.8516530990600586,4.94310188293457,0.03392374515533447,0.34810230135917664
OLP_vs_OT,2,3.2350001335144043,5.672667980194092,0.051371753215789795,0.5253667831420898
OLP_vs_OT,3,3.0140151977539062,5.6269211769104,0.04648410156369209,0.5544376969337463
OLP_vs_OT,4,2.863398790359497,6.2036824226379395,0.049042895436286926,0.4439965486526489
OLP_vs_OT,5,2.588359832763672,5.903000354766846,0.04619922116398811,0.4819754660129547
OLP_vs_OT,6,2.5252809524536133,6.137431621551514,0.04669438302516937,0.5170758366584778
OLP_vs_OT,7,2.3570306301116943,6.674436569213867,0.05826379358768463,0.515120804309845
OLP_vs_OT,8,2.3813750743865967,6.981034755706787,0.058113694190979004,0.5705693960189819
OLP_vs_OT,9,2.3141472339630127,6.901961803436279,0.05707456171512604,0.7814531326293945
OLP_vs_OT,10,2.4218075275421143,7.203794002532959,0.06505833566188812,0.724494993686676
OLP_vs_OT,11,2.6662096977233887,7.888129234313965,0.07454536855220795,0.7296072840690613
OLP_vs_OT,12,2.6737875938415527,7.429807186126709,0.07401223480701447,0.7020841836929321
OLP_vs_OT,13,2.7286324501037598,7.6834564208984375,0.07999759912490845,0.9306685328483582
OLP_vs_OT,14,2.9254379272460938,7.963496208190918,0.08620978146791458,0.8460668325424194
OLP_vs_OT,15,3.178194999694824,8.148344039916992,0.08539043366909027,0.8023957014083862
OLP_vs_OT,16,3.60996675491333,7.853304386138916,0.08583444356918335,0.8146670460700989
OLP_vs_OT,17,3.804831027984619,8.132439613342285,0.09428279101848602,0.8470627069473267
OLP_vs_OT,18,3.9823782444000244,8.405179977416992,0.09770278632640839,0.8102121949195862
OLP_vs_OT,19,4.167725563049316,8.706059455871582,0.0975942462682724,0.8166717886924744
