pair,layer,n_pos,n_neg,lin_bacc_mean,lin_bacc_std,lin_auroc_mean
OLP_vs_OT,0,84,57,0.7296145276292333,0.07151219002145205,0.8281411541889482
OLP_vs_OT,1,84,57,0.6936018270944743,0.07313234445567676,0.792080548128342
OLP_vs_OT,2,84,57,0.7545231729055257,0.07980104094154916,0.8501632130124779
OLP_vs_OT,3,84,57,0.7479188948306595,0.07943055930200095,0.8331896167557933
OLP_vs_OT,4,84,57,0.7827462121212122,0.0696607624307515,0.8745120320855614
OLP_vs_OT,5,84,57,0.8002896613190731,0.06783958324463443,0.8885450089126559
OLP_vs_OT,6,84,57,0.7904389483065954,0.06966250758574524,0.8608700980392158
OLP_vs_OT,7,84,57,0.8288892602495546,0.06398816073686754,0.8883405748663101
OLP_vs_OT,8,84,57,0.8330225044563281,0.06429675307888613,0.8966410427807487
OLP_vs_OT,9,84,57,0.8245543672014258,0.05972546201484466,0.8922058823529413
OLP_vs_OT,10,84,57,0.829956550802139,0.06869484958730362,0.9016326871657752
OLP_vs_OT,11,84,57,0.8549431818181819,0.0574038166747171,0.9049554367201428
OLP_vs_OT,12,84,57,0.8350713012477717,0.06045279214196271,0.8921479500891267
OLP_vs_OT,13,84,57,0.8370176024955436,0.057847174384523324,0.8954701426024956
OLP_vs_OT,14,84,57,0.841979723707665,0.05721049081696081,0.8968972816399287
OLP_vs_OT,15,84,57,0.8308611853832443,0.06089272048450973,0.8912622549019606
OLP_vs_OT,16,84,57,0.8290073529411766,0.05410839877566363,0.8878503787878789
OLP_vs_OT,17,84,57,0.8427684937611407,0.05640312391922182,0.8935611631016043
OLP_vs_OT,18,84,57,0.8327495543672013,0.06275338312100548,0.9044992201426024
OLP_vs_OT,19,84,57,0.8303877005347593,0.06455101613945786,0.9102033199643493
OLP_vs_OT,20,84,57,0.8276448306595364,0.060477288947055306,0.9152712789661318
OLP_vs_OT,21,84,57,0.8289683600713014,0.05239800606560325,0.9156940730837789
OLP_vs_OT,22,84,57,0.81524064171123,0.06301985098915744,0.914600601604278
OLP_vs_OT,23,84,57,0.8262644830659537,0.07248563385066159,0.9137110071301248
OLP_vs_OC,0,84,48,0.6566135620915032,0.08489731996242962,0.708766339869281
OLP_vs_OC,1,84,48,0.726734477124183,0.08546082846169652,0.8131707516339869
OLP_vs_OC,2,84,48,0.7490514705882352,0.09588674386375974,0.8480343137254903
OLP_vs_OC,3,84,48,0.7727099673202615,0.09564755833676883,0.8495588235294116
OLP_vs_OC,4,84,48,0.7951045751633987,0.08485258418749138,0.8830163398692811
OLP_vs_OC,5,84,48,0.7975130718954249,0.08560101161605509,0.88203431372549
OLP_vs_OC,6,84,48,0.7613553921568627,0.07448688627903592,0.859250816993464
OLP_vs_OC,7,84,48,0.7783137254901961,0.07733394842366759,0.8622883986928103
OLP_vs_OC,8,84,48,0.7651380718954246,0.07814512763064063,0.8680212418300655
OLP_vs_OC,9,84,48,0.7807900326797386,0.0812230424699527,0.8788096405228758
OLP_vs_OC,10,84,48,0.8103611111111111,0.07199582207635441,0.8888921568627448
OLP_vs_OC,11,84,48,0.8152450980392157,0.079590074648741,0.8980400326797384
OLP_vs_OC,12,84,48,0.8174803921568627,0.06551971821397538,0.887954248366013
OLP_vs_OC,13,84,48,0.8045596405228759,0.07813225526565719,0.8924812091503267
OLP_vs_OC,14,84,48,0.8233692810457517,0.06458911499051041,0.8958218954248366
OLP_vs_OC,15,84,48,0.825092320261438,0.07138973589515285,0.8979779411764707
OLP_vs_OC,16,84,48,0.8100400326797386,0.07134459653846417,0.8900727124183007
OLP_vs_OC,17,84,48,0.8099289215686274,0.07202235917029337,0.8887361111111111
OLP_vs_OC,18,84,48,0.8391960784313724,0.0768710549347598,0.9096797385620916
OLP_vs_OC,19,84,48,0.8433700980392156,0.07951009826785213,0.9242042483660131
OLP_vs_OC,20,84,48,0.842235294117647,0.07906903047642526,0.9207647058823529
OLP_vs_OC,21,84,48,0.8420024509803922,0.07590124632938294,0.9114795751633986
OLP_vs_OC,22,84,48,0.8478635620915033,0.07021547803802018,0.9148464052287583
OLP_vs_OC,23,84,48,0.8500857843137254,0.07432210793533682,0.9173055555555554
OLP_vs_MC,0,84,81,0.6531617647058823,0.05843557730956142,0.7114705882352941
OLP_vs_MC,1,84,81,0.714595588235294,0.07614094852282191,0.7935294117647058
OLP_vs_MC,2,84,81,0.6941544117647058,0.06598613354714557,0.7786764705882352
OLP_vs_MC,3,84,81,0.7744852941176471,0.06728487602368373,0.8477205882352941
OLP_vs_MC,4,84,81,0.7756617647058823,0.06591447319683748,0.8660294117647058
OLP_vs_MC,5,84,81,0.8420220588235294,0.05853722836143469,0.9025
OLP_vs_MC,6,84,81,0.8239338235294116,0.064855369185575,0.8880147058823531
OLP_vs_MC,7,84,81,0.8134191176470587,0.07842976886381307,0.8850735294117648
OLP_vs_MC,8,84,81,0.8205147058823531,0.07048356976818382,0.8921323529411767
OLP_vs_MC,9,84,81,0.8048161764705885,0.07271022535156067,0.8873529411764706
OLP_vs_MC,10,84,81,0.8163235294117647,0.05916815409050301,0.8986764705882352
OLP_vs_MC,11,84,81,0.817389705882353,0.06998691679824076,0.9027941176470587
OLP_vs_MC,12,84,81,0.8047058823529412,0.0650128081604963,0.8880147058823529
OLP_vs_MC,13,84,81,0.7771323529411767,0.07032018652718429,0.8694117647058824
OLP_vs_MC,14,84,81,0.795110294117647,0.06027753762352121,0.8789705882352941
OLP_vs_MC,15,84,81,0.8186764705882353,0.055006880664288015,0.8930882352941175
OLP_vs_MC,16,84,81,0.8052573529411765,0.059455941005485305,0.8819852941176471
OLP_vs_MC,17,84,81,0.8075,0.05807780993564077,0.8873529411764706
OLP_vs_MC,18,84,81,0.8007720588235294,0.05848349560532434,0.8877941176470588
OLP_vs_MC,19,84,81,0.8044485294117648,0.057037322074489645,0.8867647058823529
OLP_vs_MC,20,84,81,0.8180514705882354,0.06599494097274836,0.8961764705882354
OLP_vs_MC,21,84,81,0.8255514705882354,0.06475312655274958,0.9025
OLP_vs_MC,22,84,81,0.8274632352941177,0.05572735130816401,0.9009558823529411
OLP_vs_MC,23,84,81,0.8179411764705882,0.06438124612758885,0.8870588235294118
OLP_vs_Gum,0,84,54,0.7047967914438503,0.07979822056486596,0.7603863636363636
