dataset,fold,arm,actual_arm,seed,bacc,epoch,lr,inner_bacc,n_train,n_test,predictions_sha256,ref_frozen_lr
aptos2019,10,full_llrd,full_llrd,0,0.6652131529404257,11,0.0001,0.6877490357714678,2926,736,6bbb6ffd70415ef205bc8f46e4b6e23b434c819f0f2cb16b1208b3260856786b,0.6795556287876037
aptos2019,10,full_llrd_ema,full_llrd_ema,0,0.6909691002324231,5,0.0001,0.7020658560595038,2926,736,d7f3909b64d72694e5025a10bad50177a63027e03c42086f6efe714da62953a8,0.6795556287876037
aptos2019,10,selected_surgical,full_llrd,0,0.6652131529404257,11,0.0001,0.6877490357714678,2926,736,6bbb6ffd70415ef205bc8f46e4b6e23b434c819f0f2cb16b1208b3260856786b,0.6795556287876037
aptos2019,11,full_llrd,full_llrd,0,0.6952906548420931,0,1e-05,0.6664837763011394,2923,739,be6e63c157def4d5942cc6f7e706df1f2fac94e5516b51d1120bd9c23ad7bdc2,0.6952906548420931
aptos2019,11,full_llrd_ema,full_llrd_ema,0,0.7182054829663912,7,0.0001,0.69129283224013,2923,739,6eb42ff3516db690098b14ed03e7803e90e7dd99dc08dc5430d8c64b34b31742,0.6952906548420931
aptos2019,11,selected_surgical,full_llrd,0,0.6952906548420931,0,1e-05,0.6664837763011394,2923,739,be6e63c157def4d5942cc6f7e706df1f2fac94e5516b51d1120bd9c23ad7bdc2,0.6952906548420931
aptos2019,12,full_llrd,full_llrd,0,0.6855762398314221,17,0.0001,0.6959355292893332,2931,731,ee9b562674828ec6e011defd343d944edcc934ffcfb9585a4b1a9abbd6533bcc,0.6711402372419593
aptos2019,12,full_llrd_ema,full_llrd_ema,0,0.7183681900535079,6,0.0001,0.7036783533965391,2931,731,5d9c222c39debbac59eae9a31c51893636b6168608899a935b28c32ede082444,0.6711402372419593
aptos2019,12,selected_surgical,full_llrd,0,0.6855762398314221,17,0.0001,0.6959355292893332,2931,731,ee9b562674828ec6e011defd343d944edcc934ffcfb9585a4b1a9abbd6533bcc,0.6711402372419593
aptos2019,13,full_llrd,full_llrd,0,0.6819298910689814,0,1e-05,0.6707456655785888,2935,727,a380031e61be0af94981c42ebbfa9b2a5f36d044554a3a6f9afc13e052c75672,0.6819298910689814
aptos2019,13,full_llrd_ema,full_llrd_ema,0,0.7343586551112471,5,0.0001,0.6730749831726417,2935,727,e5fee84ef1ed0ae13b78446180544e08c574923673ebadb704891014eab7bb95,0.6819298910689814
aptos2019,13,selected_surgical,full_llrd,0,0.6819298910689814,0,1e-05,0.6707456655785888,2935,727,a380031e61be0af94981c42ebbfa9b2a5f36d044554a3a6f9afc13e052c75672,0.6819298910689814
aptos2019,14,full_llrd,full_llrd,0,0.7146816401655112,18,0.0001,0.6874071749877997,2933,729,ab877eaaba6923c939c942871c8adf150c10c4ceca495d54db83bc00c496fd79,0.7031415113269952
aptos2019,14,full_llrd_ema,full_llrd_ema,0,0.7072536937859518,4,0.0001,0.7167929825638094,2933,729,e3eb7b836ff6d46287069af11477e3b3a1768933d4696809000bb81f665a54ac,0.7031415113269952
aptos2019,14,selected_surgical,full_llrd,0,0.7146816401655112,18,0.0001,0.6874071749877997,2933,729,ab877eaaba6923c939c942871c8adf150c10c4ceca495d54db83bc00c496fd79,0.7031415113269952
