dataset,arm,reference,family,n,mean_diff,sd,se_nb,ci_lo,ci_hi,p_nb,wins,tost_p,mde_post,holm_p,passes_improvement_gate,verdict
aptos2019,full_llrd_ema,frozen_lr,F1_gate_m1,15,0.02625464100856456,0.020896620661285552,0.011759185307786461,0.0010336968996758449,0.051475585117453274,0.042414430991108906,14,0.6984309429668552,0.03542856114253252,0.042414430991108906,True,gate_passed
aptos2019,full_llrd,frozen_lr,auxiliary_no_gate,15,-0.008691150504006403,0.025699815841739863,0.014462094218846455,-0.03970925766398863,0.022326956655975824,0.5574713452929884,6,0.22362964530974377,0.043571997197985816,,False,not_registered_for_gate
