dataset,fold,arm,label,recall
aptos2019,7,full_llrd,3,0.5588235294117647
aptos2019,7,full_llrd,4,0.4576271186440678
aptos2019,7,full_llrd_ema,0,0.9914772727272727
aptos2019,7,full_llrd_ema,1,0.8658536585365854
aptos2019,7,full_llrd_ema,2,0.697560975609756
aptos2019,7,full_llrd_ema,3,0.7058823529411765
aptos2019,7,full_llrd_ema,4,0.576271186440678
aptos2019,7,selected_surgical,0,0.9801136363636364
aptos2019,7,selected_surgical,1,0.7560975609756098
aptos2019,7,selected_surgical,2,0.751219512195122
aptos2019,7,selected_surgical,3,0.5588235294117647
aptos2019,7,selected_surgical,4,0.4576271186440678
aptos2019,8,full_llrd,0,0.9723756906077348
aptos2019,8,full_llrd,1,0.8205128205128205
aptos2019,8,full_llrd,2,0.6294416243654822
aptos2019,8,full_llrd,3,0.48717948717948717
aptos2019,8,full_llrd,4,0.6111111111111112
aptos2019,8,full_llrd_ema,0,0.9751381215469613
aptos2019,8,full_llrd_ema,1,0.7564102564102564
aptos2019,8,full_llrd_ema,2,0.700507614213198
aptos2019,8,full_llrd_ema,3,0.5384615384615384
aptos2019,8,full_llrd_ema,4,0.5555555555555556
aptos2019,8,selected_surgical,0,0.9723756906077348
aptos2019,8,selected_surgical,1,0.8205128205128205
aptos2019,8,selected_surgical,2,0.6294416243654822
aptos2019,8,selected_surgical,3,0.48717948717948717
aptos2019,8,selected_surgical,4,0.6111111111111112
aptos2019,9,full_llrd,0,0.981081081081081
aptos2019,9,full_llrd,1,0.7540983606557377
aptos2019,9,full_llrd,2,0.8520408163265306
aptos2019,9,full_llrd,3,0.34146341463414637
aptos2019,9,full_llrd,4,0.2631578947368421
aptos2019,9,full_llrd_ema,0,0.981081081081081
aptos2019,9,full_llrd_ema,1,0.7540983606557377
aptos2019,9,full_llrd_ema,2,0.7040816326530612
aptos2019,9,full_llrd_ema,3,0.5121951219512195
aptos2019,9,full_llrd_ema,4,0.5964912280701754
aptos2019,9,selected_surgical,0,0.981081081081081
aptos2019,9,selected_surgical,1,0.7540983606557377
aptos2019,9,selected_surgical,2,0.8520408163265306
aptos2019,9,selected_surgical,3,0.34146341463414637
aptos2019,9,selected_surgical,4,0.2631578947368421
aptos2019,10,full_llrd,0,0.9338842975206612
aptos2019,10,full_llrd,1,0.8243243243243243
aptos2019,10,full_llrd,2,0.7142857142857143
aptos2019,10,full_llrd,3,0.55
aptos2019,10,full_llrd,4,0.30357142857142855
aptos2019,10,full_llrd_ema,0,0.9614325068870524
aptos2019,10,full_llrd_ema,1,0.8243243243243243
aptos2019,10,full_llrd_ema,2,0.6798029556650246
aptos2019,10,full_llrd_ema,3,0.525
aptos2019,10,full_llrd_ema,4,0.4642857142857143
aptos2019,10,selected_surgical,0,0.9338842975206612
aptos2019,10,selected_surgical,1,0.8243243243243243
aptos2019,10,selected_surgical,2,0.7142857142857143
aptos2019,10,selected_surgical,3,0.55
aptos2019,10,selected_surgical,4,0.30357142857142855
aptos2019,11,full_llrd,0,0.9805013927576601
aptos2019,11,full_llrd,1,0.6835443037974683
aptos2019,11,full_llrd,2,0.6019900497512438
aptos2019,11,full_llrd,3,0.6341463414634146
aptos2019,11,full_llrd,4,0.576271186440678
aptos2019,11,full_llrd_ema,0,0.9888579387186629
aptos2019,11,full_llrd_ema,1,0.7215189873417721
aptos2019,11,full_llrd_ema,2,0.7562189054726368
aptos2019,11,full_llrd_ema,3,0.4634146341463415
aptos2019,11,full_llrd_ema,4,0.6610169491525424
aptos2019,11,selected_surgical,0,0.9805013927576601
aptos2019,11,selected_surgical,1,0.6835443037974683
aptos2019,11,selected_surgical,2,0.6019900497512438
aptos2019,11,selected_surgical,3,0.6341463414634146
aptos2019,11,selected_surgical,4,0.576271186440678
aptos2019,12,full_llrd,0,0.9692737430167597
aptos2019,12,full_llrd,1,0.625
aptos2019,12,full_llrd,2,0.6666666666666666
aptos2019,12,full_llrd,3,0.5263157894736842
aptos2019,12,full_llrd,4,0.640625
aptos2019,12,full_llrd_ema,0,0.9860335195530726
aptos2019,12,full_llrd_ema,1,0.8125
aptos2019,12,full_llrd_ema,2,0.7053140096618358
aptos2019,12,full_llrd_ema,3,0.4473684210526316
aptos2019,12,full_llrd_ema,4,0.640625
aptos2019,12,selected_surgical,0,0.9692737430167597
aptos2019,12,selected_surgical,1,0.625
aptos2019,12,selected_surgical,2,0.6666666666666666
aptos2019,12,selected_surgical,3,0.5263157894736842
aptos2019,12,selected_surgical,4,0.640625
aptos2019,13,full_llrd,0,0.9654178674351584
aptos2019,13,full_llrd,1,0.7283950617283951
aptos2019,13,full_llrd,2,0.5862068965517241
aptos2019,13,full_llrd,3,0.6666666666666666
aptos2019,13,full_llrd,4,0.46296296296296297
aptos2019,13,full_llrd_ema,0,0.9798270893371758
aptos2019,13,full_llrd_ema,1,0.7530864197530864
aptos2019,13,full_llrd_ema,2,0.7536945812807881
aptos2019,13,full_llrd_ema,3,0.6666666666666666
aptos2019,13,full_llrd_ema,4,0.5185185185185185
aptos2019,13,selected_surgical,0,0.9654178674351584
aptos2019,13,selected_surgical,1,0.7283950617283951
aptos2019,13,selected_surgical,2,0.5862068965517241
aptos2019,13,selected_surgical,3,0.6666666666666666
